AmountSaved,Shranjeni znesek
CouponLimitExceededLeadthru,"Pritisnite ""Odobri"", da dovolite polog kupona na vrsti ali pritisnite ""Odobri & Vzemi"" in vzemite kupon stranke."
VisualApproveLeadthru,"Pritisnite ""Vizualna odobritev"" ali pritisnite ""Način asistence"", da spremenite transakcijo."
UnknownItemLeadthru,"Vzemite izdelek na vrsti in pritisnite ""Briši varnost"" ali pritisnite ""Način asistence"", da zaključite transakcijo."
ItemNotForSaleLeadthru,"Vzemite izdelek na vrsti in pritisnite ""Briši varnost""."
OffLineLaneButtonText,Nepovezan
ExitText,Izhod
EnterDataLaneButtonText,Vnesi podatke
AgeCheckLaneButtonText,Starost
CouponLaneButtonText,Kupon
VoidLaneButtonText,Razveljavi
VerifyItemLaneButtonText,Overi izdelek
NotFoundLaneButtonText,Ni najden
NoSaleLaneButtonText,Brez prodaje
QuantityLaneButtonText,Količina
HelpLaneButtonText,Pomoč
NoInterventionLeadthru,Trenutno ni potreben poseg.
OffLineLeadthru,Vrsta trenutno ni povezana in sistem jo poskuša samodejno ponovno povezati.
CancelRequestButtonText,Prekliči zahtevo
HelpRequestTitle,Zahtevana pomoč
SecurityLaneButtonText,Varnost
VoidLeadthru,"Vzemite razveljavljeni izdelek in pritisnite ""Odobri razveljavljeno""."
ApproveVoidButtonText,Odobri raz-\nveljavljeno
SecurityLeadthru,"Kontrolirajte transakcijo stranke zaradi varnosti in se dotaknite ""Odobrite ali odstranite predmet""."
SecurityViolationText,Varnostna kršitev
OtherPaymentText,Izbrano drugo plačilo
SuspendTransactionLeadthru,"Pritisnite ""Začasna zaustavitev transakcije"" ali ""Način asistence"" in sprejmite plačilo."
EASText,EAS izdelek je še zmeraj aktiven
DeactivateLeadthru,"Izklopite izdelek ali odstranite varovanje in pritisnite ""Briši varnost""."
CompareSignatureTitle,Primerjaj podpise
CompareSignatureLeadthru,"Primerjajte podpise in pritisnite ""Odobri"" ali ""Ponovno podpiši""."
EnterPriceLeadthru,"Vnesite ceno izdelka in pritisnite ""Vnesi""."
UtilityButtonText,Orodja
ReturnToMainButtonText,Vrni na glavni
GetDiagFilesButtonText,Pridobi Diag datoteke
CouponApprovalLeadthru,"Sprejmite kupone stranke na odobritveni postaji in pritisnite ""Odobri""."
RebootSystemButtonText,Ponovno zaženi celotni sistem
ShutDownSystemButtonText,Izklopi celotni sistem
LaneStatusTitle,Status vrste
LaneStatusLeadthru,Izberite funkcijo.
AgeRestrictedText,Starostno omejen izdelek; %2d let star
BirthdateEnterText,"Vnesen datum rojstva:%2d/%2d/%4d,%d let"
HelpRequestLeadthru,"Pritisnite ""Prekliči zahtevo"" po nudenju pomoči stranki."
TotalText,Skupaj:
ItemText,Izdelki:
MultimediaTrainingText,Multimedijsko izobraževanje
VolumeControlButtonText,Upravljanje glasnosti
SecurityViolationNumText,Varnostne kršitve:
ItemPurchasedText,Kupljeni izdelki:
EnterPriceTitle,Vnos cene
CancelTransactionGenericTitle,Preklici transakcijo
CancelTransactionGenericLeadthru,"Pritisnite ""Da"", da preklicete transakcijo ali ""Ne"", da obnovite transakcijo."
YesButtonText,Da
NoButtonText,Ne
ConfirmSuspendTitle,Začasna zaustavitev:
ConfirmSuspendLeadthru,Potrdite začasno zaustavitev.
ConfirmSuspendButtonText,Potrdi zač. zaust.
IncorrectItemWeightTitle,Nepravilna teža na varnostni tehtnici.
IncorrectItemWeightLeadthru,"Odstranite izdelek in pritisnite ""Briši varnost"" ali ""Odobri & Posodobi težo""."
ApproveUpdateButtonText,Odobri & Posodobi težo
UnexpectedIncreaseTitle,Neznani izdelek na varnostni tehtnici.
UnexpectedIncreaseLeadthru,"Pojdite do vrste, odstranite dodatne izdelke in pritisnite ""Briši varnost""."
SkipBaggingBtnThresholdLeadthru,"Preverite izdelke na vrsti in pritisnite ""Briši varnost""."
NewWeightItemTitle,Ni zapisa glede teže izdelka.
NewWeightItemLeadthru,"Overite težo izdelka in pritisnite ""Odobri & Posodobi težo"" ali pritisnite ""Odobri/Brez posodobitve""."
ApproveNoUpdateButtonText,Odobri/Brez posodobitve.
BagItemTimerExpiredTitle,Pričakovana teža na varnostni tehtnici.
TakeChangeTimerExpiredTitle,Vzemi drobiž
TakeChangeTimerExpiredBottomCaption,Časovnik potekel
PickingUpItemsTimerExpiredTitle,Izdelki niso bili vrnjeni na območje pakiranja v vrečke.
DeviceFailureTitle,Okvara naprave
DeviceFailureLeadthru,Pojdite v vrsto in preverite napravo.
WLDBFailureTitle,WLDB ne komunicira pravilno.
WLDBFailureLeadthru,Preverite komunikacijo.
UnexpectedDecreaseTitle,Izdelki odstranjeni z območja pakiranja v vrečke.
ClosedLaneTitle,"Pojdite v vrsto in se prijavite v Način trgovine, da odprete vrsto."
ClosedLaneLeadthru,Vrsta zaprta
BagAreaBackupTitle,Nakopičeni izdelki na traku
BagAreaBackupLeadthru,Odstranite nakopičene izdelke na traku.
MinimumAgeText,Starostni minimum.
SafetyCoverOpenLeadthru,Odstranite vse izdelke s traku in zaprite varnostni pokrov.
VerifySignatureLeadthru,Primerjajte podpis stranke s podpisom na kartici.
AssistedTenderTitle,Ponudba s pomočjo upravitelja
AssistedTenderLeadthru,"Uporabite način asistence, da sprejmete ček stranke."
AssistedTenderHHLeadthru,"Uporabite spremljajočo postajo, da sprejmete plačilo."
AssistedEndorsementLeadthru,"Potrebno potrdilo. Prosim, počakajte na asistenco upravitelja."
StartTransactionButtonText,Zaženi transakcijo
StartTransactionTitle,Funkcije s pomočjo upravitelja
StartTransactionLeadthru,Izberite želeno funkcijo.
StartTransactionAMButtonText,Start & Assist
ItemsForgottenTitle,Ostanki teže \nehtnica brez vrečke.
InsertCouponTimerExpiredTitle,Vstavi kupon
CollectGiftCardTitle,Vzemi darilno kartico
HostOfflineLeadthru,Vrsta ni povezana in sistem jo poskuša ponovno povezati.
SpaceButtonText,Presledek
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tKol %s @ %s/each\t%s
LaneReceiptItemType4,%s\t%s\tKol %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Zapri vrsto
ReportingButtonText,Poročanje
KeyInCodeTitle,Vnesi kodo
KeyInCodeLeadthru,"Vnesite kodo izdelka in pritisnite ""OK""."
VoidItemButtonText,Razveljavi izdelek
ChangePriceButtonText,Sprememba cene
ChangeQuantityButtonText,Sprememba količine
ReturnToShoppingButtonText,Vrni se na Način nakupovanja
BasicAssistModeTitle,Funkcije asistence
BasicAssistModeLeadthru,Skenirajte izdelke ali izberite funkcijo.
ChangePriceTitle,Spremeni ceno
KeyInPriceLeadthru,Vnesite ceno za: %d %s
VoidAllButtonText,Razveljavi vse
VoidItemTitle,Razveljavi izdelke
VoidItemLeadthru,"Skenirajte ali se pomaknite na izdelek na izpisu in pritisnite ""Razveljavi izdelek"" ali ""Razveljavi vse""."
ChangeQuantityTitle,Spremeni količino
KeyInQuantityLeadthru,Vnesite količino za: %s
FullAssistButtonText,Popolna asistenca
CloseButtonText,Zapri
UpdateItemLeadthru,"Premaknite se na izdelek na izpisu in pritisnite ""Vnesi""."
OKButtonText,V REDU
CouponNoMatchLeadthru,Kupon se ne ujema z nobenim izdelkom na izpisu. Ta kupon ne more biti sprejet.
CouponTooHighLeadthru,"Znesek, ki ste ga vnesli za ta kupon, je bil previsok.  Ta sistem ne more sprejeti tega kupona."
EnterCouponValueLeadthru,"Vnesite vrednost kupona v centih in pritisnite ""Vnesi""."
ItemQuantityExceededLeadthru,"Presegli ste dovoljeno količino za ta izdelek.  Prosim, postavite ga na stran in nadaljujte."
ProcessingLeadthru,"Obdelovanje ... Prosim, počakajte."
VoidNoMatchLeadthru,Ni mogoče najti skeniranega izdelka.  Ni še bil kupljen ali pa je bil že preklican.
ConfirmAbortLeadthru,Želite prekiniti preverjanje in preklicati vaš celotni nakup?
ContinueTransLeadthru,Želite nadaljevati z vašim nakupom?
ConfirmQuantityTitle,Potrdi količino
ConfirmVoidTitle,Potrdi preklic
CouponNoMatchTitle,Neujemajoči kupon
CouponTooHighTitle,Kupon previsok
CrateableItemTitle,Nakupovalna košara
EnterCouponValueTitle,Vnesi vrednost kupona
EnterQuantityLeadthru,"Vnesite količino in pritisnite ""Vnesi""."
EnterWeightTitle,Tehtaj izdelek
EnterWeightLeadthru,Pojdite do vrste in postavite izdelek na tehtnico.
AMItemQuantityExceededTitle,Omejitev količine
ProcessingTitle,Obdelovanje …
SelectContainerTitle,Izberi embalažo
SelectContainerLeadthru,"S seznama izberite embalažo in pritisnite ""Vnesi""."
VoidNoMatchTitle,Ni mogoče preklicati izdelka
ConfirmAbortTitle,Prekliči vse izdelke
ContinueTransTitle,Nadaljujem?
ScaleBrokenTitle,Ponastavi tehtnico
ScaleBrokenLeadthru,"Odstranite izdelek s tehtnice in pritisnite gumb ""Ničla tehtnice"" na skenerju."
UpdateNotAllowedTitle,Ni mogoče posodobiti izdelka
UpdateNotAllowedLeadthru,Sprememba količine za tehtan izdelek ni dovoljena.
SmEnterBirthdateTitle,Izdelki z omejitvami
SmEnterBirthdateLeadthru,Vnesite datum rojstva stranke
SmVisualItemsTitle,Vizualne overitve
SmVisualItemsLeadthru,Odobri vizualno overjene izdelke
SmCouponItemsTitle,Odobri uporabljene kupone
SmCouponItemsLeadthru,Preveri uporabljene kupone
SmRestrictedItemsTitle,Izdelki z omejitvami
SmRestrictedItemsLeadthru,Izberite želeno funkcijo.
KeyInBirthDateButtonText,Vnesi datum
KeyInCodeButtonText,Vnesi \nKodo
SmRunReportsTitle,Vsebina poročila
PrintReportButtonText,Natisni poročilo
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Izdelek z omejitvami
AM_RestrictedNotAllowedLeadthru,"Omejen izdelek je bil preklican – starostna meja ni znana. \n\nProsimo, postavite izdelek na stran."
TransactionCancelTitle,Prekliči transakcijo
TransactionCancelLeadThru,Preklicana transakcija. Odstranite izdelke z \nblagajne.
OutOfSyncNeedAssistTitle,ASISTENCA
OutOfSyncNeedAssistLeadthru,"POS ni sinhroniziran, prosim, pojdite na Način asistence, da ga ponovno sinhronizirate."
OutOfSyncStopTitle,PONOVNI ZAGON
OutOfSyncStopLeadthru,"POS strežnik se je zrušil ali pa ni sinhroniziran prosim, izklopite terminal s stikalom."
MultiPackItemTitle,Preveri glede večpaketnega pakiranja
MultiPackItemLeadthru,"Če je izdelek v večpaketnem pakiranju, pritisnite ""Način asistence"" in ga razveljavite ter nato skenirajte črtno kodo večpaketnega pakiranja."
CancelActionButtonText,Prekliči dejanje
EnterIDFpLeadthru,"Vnesite ID uporabnika in pritisnite ""Vnesi"" ali pa postavite vaš prst na čitalca prstnih odtisov, da se prijavite."
ReEnterIDFpLeadthru,"Neveljavna prijava. Prosim, ponovno se prijavite z uporabo tipkovnice ali vašega prstnega odtisa."
HH_SuspendLeadthru1,Začasno zaustavim trenutno transakcijo? Potrdi ali Prekliči.
HH_SuspendLeadthru2,"Začasna zaustavitev trenutne transakcije. Potrdi. Za preklic pritisnite ""Pojdi nazaj"" in prekličite."
HH_ReEnterIDLeadthru,"Nepravilni ID ali geslo. Prosim, ponovno vnesite na tipkovnici."
HH_CheckAgeLeadthru,"Vnesite rojstni datum %s\nin pritisnite ""Enter"""
HH_CouponLimitExceededLeadthru,"Odobrite kupone na vrsti ali pritisnite ""Odobri & Vzemi"", da vzamete kupon stranke."
HH_VisualApproveLeadthru,"Vizualna odobritev ali ""Način asistence"" za spremembo transakcije."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Vzemite izdelek, pritisnite ""Briši varnost"" ali ""Način asistence"" za zaključitev."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Vzemite izdelek na vrsti in pritisnite ""Briši varnost""."
HH_NoInterventionLeadthru,Ni potreben poseg.
HH_OffLineLeadthru,Vrsta je nepovezana. Sistem se poskuša ponovno povezati.
HH_InvalidBirthDateFormatLeadthru,Format datuma ni veljaven \nVnesi v %s formatu.
HH_VoidLeadthru,"Vzemite razveljavljeni izdelek in pritisnite ""Odobri razveljavljeno""."
HH_SuspendTransactionLeadthru,"Pritisnite ""Začasno zaustavi trans"", da začasno zaustavite transakcijo."
HH_DeactivateLeadthru,"Izklopite izdelek ali odstranite varovanje in pritisnite ""Briši varnost""."
HH_CompareSignatureLeadthru,"Primerjajte podpise in pritisnite ""Odobri"", ali ""Ponovno podpiši""."
HH_EnterPriceLeadthru,"Vnesite ceno izdelka in pritisnite ""Enter""."
HH_CouponApprovalLeadthru,"Sprejmite kupone stranke in pritisnite ""Odobri""."
HH_HelpRequestLeadthru,Pritisnite Prekliči zahtevo po nudenju pomoči stranki.
HH_CancelTransactionGenericLeadthru,"Pritisnite ""Da"", da preklicete transakcijo ali ""Ne"", da nadaljujete."
HH_IncorrectItemWeightLeadthru,"Odstranite izdelek in pritisnite ""Briši varnost"" ali ""Odobri & Posodobi težo""."
HH_UnexpectedIncreaseLeadthru,"Odstranite dodatne izdelke na vrsti in pritisnite ""Briši varnost""."
HH_SkipBaggingBtnThresholdLeadthru,"Preverite izdelke na vrsti in pritisnite ""Briši varnost""."
HH_NewWeightItemLeadthru,"Overite težo izdelka in pritisnite ""Odobri & Posodobi težo"" ali pritisnite ""Odobri/Brez posodobitve""."
HH_SafetyCoverOpenLeadthru,S traka odstranite vse izdelke. Zaprite varnostni pokrov.
HH_VerifySignatureLeadthru,Primerjajte podpis stranke s podpisom na kartici.
HH_AssistedEndorsementLeadthru,"Potrebno potrdilo. Prosim, počakajte na asistenco upravitelja."
HH_HostOfflineLeadthru,Vrsta je nepovezana. Sistem se poskuša ponovno povezati.
HH_KeyInCodeLeadthru,"Vnesite kodo izdelka in pritisnite ""Enter""."
HH_VoidItemLeadthru,"Skenirajte in se premikajte do izdelka na izpisu. ""Razveljavi izdelek"" ali ""Razveljavi vse""."
HH_UpdateItemLeadthru,"Premaknite se na izdelek na izpisu in pritisnite ""Enter""."
HH_CouponNoMatchLeadthru,Kupon se ne ujema z nobenim izdelkom na izpisu. Kupon ni sprejet.
HH_CouponTooHighLeadthru,Znesek kupona previsok. Sistem ne more sprejeti.
HH_ItemQuantityExceededLeadthru,Dovoljena količina presežena. \n\nPostavite izdelek na stran in nadaljujte.
HH_VoidNoMatchLeadthru,Ni mogoče najti skeniranega izdelka. Izdelek ni bil kupljen ali pa je bil preklican.
HH_ConfirmAbortLeadthru,Prekinem preverjanje in prekličem celoten nakup?
HH_ContinueTransLeadthru,Nadaljujem z vašim nakupom?
HH_EnterQuantityLeadthru,"Vnesite količino izdelka in pritisnite ""Enter""."
HH_SelectContainerLeadthru,"S seznama izberite embalažo in pritisnite ""Enter""."
HH_ScaleBrokenLeadthru,"Odstranite izdelek s tehtnice in pritisnite gumb ""Ničla tehtnice"" na skenerju."
HH_UpdateNotAllowedLeadthru,Sprememba količine ni dovoljena.
HH_AM_RestrictedNotAllowedLeadthru,Izdelek z omejitvami je bil preklican – starostna meja ni znana. Položite izdelek na stran.
HH_OutOfSyncNeedAssistLeadthru,"POS ni sinhroniziran, ""Način asistence"" za ponovno sinhronizacijo."
HH_OutOfSyncStopLeadthru,"POS strežnik se je zrušil ali pa ni sinhroniziran, izklopite terminal z uporabo stikala."
HH_MultiPackItemLeadthru,"Če imate večpaketno pakiranje, izberite ""Način asistence"", razveljavite in nato skenirajte črtno kodo večpaketnega pakiranja."
HH_ReturnToShoppingButtonText,Vrnitev
DoneButtonText,Končano
ConfirmSuspendFromLaneStatusLeadthruText,Potrdite ali prekličite začasno zaustavitev.
HH_SuspendTransactionButtonText,Začasno zaustavi trans
HH_TransactionCancelTitle,Prekliči transakcijo
HH_TransactionCancelLeadThru,Preklicana transakcija. Odstranite izdelke z blagajne.
ShiftButtonText,Dvigalka
FixLaterButtonText,Popravi kasneje
HopperLaneButtonText,Nadomestitev kovancev
HopperLeadThru,"%sPojdite do vrste in napolnite kovance ali odstranite zastoj ali pritisnite ""Popravi kasneje"" za nadaljevanje"
TransactionCountText,Štetje:
SecurityDisableText,Varnost onemogočena
SecurityDisableButtonOn,Vklop
SecurityDisableButtonOff,Izklop
SecurityDisableStatusTextOn,Varovanje pakiranja v vrečke je vklopljeno
SecurityDisableStatusTextOff,Varovanje pakiranja v vrečke je izklopljeno
SuspendDeclinedLaneButtonText,Zavrnjena začasna zaustavitev
ConfirmSuspendDeclinedLeadthru,Potrdite ali Prekličite zavrnitev začasne zaustavitve.
ConfirmSuspendDeclinedButtonText,Potrdi zavrnitev
CancelSuspendDeclinedButtonText,Pojdi nazaj
TMTransLeadthru,"Vrsta je v načinu usposabljanja,\nnadaljujem s transakcijo?"
