AmountSaved,Economie
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Chercher ou encoder un article
SelectCashBack,Sélectionnez un montant.
SelectLanguage,Sélectionnez une langue
SelectPaymentType,Choisir mode paiement
SellBags,"Combien de sacs en plastique avez-vous utilisés? Saisissez 0 si vous n'en avez pas utilisé."
SignNeeded,Signature requise
SignSignature,Signez électroniquement.
SkipBagging,"Sauter l'ensachage"
Space,"Barre d'espace"
StartScanning,Commencer à scanner
StoreLogin,Connexion au magasin
TakeCash,Récupérez votre monnaie
TakeChange,Prenez votre monnaie
TakeReceipt,Prenez votre reçu
Tax,Taxe
TimeRestrictedItem,Articles avec restriction horaire
Total,Total
TouchCancel,"Appuyez sur ""annuler"" sur le clavier à code PIN pour annuler le paiement."
TryAgain,Essayez à nouveau
UnexpectedDecreaseMessage,"Remettez l'article dans la zone des sacs."
UnexpectedIncreaseMessage,"Enlevez l'article de la zone des sacs."
UsePinpad,Utilisez le clavier à code PIN
VoidItem,"Scannez les articles non désirés ou appuyez sur ""Retirer"" sur le ticket."
Volume,Volume
Yes,Oui
ItemNumberAmount,NBA :  
WeightExpected,PP :  
WeightObserved,PO :  
UnknownPriceMessage,"Le prix de l'article est inconnu.\nDe l'aide arrive.\n\nMettez l'article de côté et continuez."
SetAllItemsAsideMessage,Tous les achats sont annulés.\n\nMettez tous les articles de côté.
ConfirmAbortMessage,Voulez-vous vraiment vider le chariot? La transaction sera annulée.
NoKeep,"Non, garder."
NoReturn,"Non, retour à la transaction"
YesEmpty,"Oui, videz le chariot et terminez la transaction."
YesRemove,"Oui, retirez."
HostOfflineMessage,Lane est déconnectée et le système tente de se reconnecter.
LaneClosedMessage,Caisse fermée
LoadingText,Chargement
VerifyBagsMessage,"Si vous avez placé par erreur autre chose qu'un sac dans la zone d'ensachage, veuillez retirer cet objet."
HelpOnWay,"De l'aide arrive. Veuillez continuer."
OwnBagMessage,Veuillez placer vos sacs sur la balance.
UseOwnBag,Mettre en sac ou en carton
AttendantMode,Mode préposé
AttendantTrainingMode,Mode préposé et formation
TrainingMode,Mode formation
ScaleBroken,"Retirez l'article de la balance et appuyez sur le bouton "">0<"" du scanner."
Refunded,Remboursé:
EnterIDMessage,"Tapez votre ID puis appuyez sur ""Entrée""."
EnterIDText,Saisir ID
EnterPasswordMessage,"Saisir mot de passe et appuyer sur ""Entrée""."
EnterPasswordText,Saisir le mot de passe
VisualVerify,Vérification visuelle
SingleItemAddedFormat,{0} article à ajouter au chariot.
Approved,Approuvé
VoidItemBeforeCouponMessage,"Impossible d'annuler l'article avant d'annuler son coupon. Annulez d'abord le coupon de l'article."
VerifyBags,Un préposé vérifiera vos sacs.
CancelItems,Annuler des articles
EnterQuantityTitle,Quantité requise
SecUnExpectedIncreaseTitle,Alerte de mise en sac
WeightMismatchTitle,Aide requise
AssistanceNeededTitle,Aide requise
CheckBasketTitle,Vérifiez panier
ConfirmDebitAmountTitle,Confirmez le montant
DropoffCouponsTitle,Déposez les Coupons.
InsufficientBalanceTitle,Solde insuffisant
OperatorPasswordStateInvalidPasswordWithFPTitle,Échec de la connexion par empreinte digitale
PurchaseCrateTitle,"Achat d'un panier"
RestrictedItemTitle,Article à vente restreinte
SecBagAreaBackupTitle,Articles empilés
SignChargeTitle,Signez le reçu
TakeCardTitle,Prenez votre carte
ContinueTitle,Continuer?
ApprovalNeededTitle,Autorisation requise
IncorrectLoginTitle,Numéro incorrect
RecalledItemTitle,Article rappelé
RemovedItemTitle,Alerte de mise en sac
SetAllItemsAsideTitle,Mettre les articles de côté
TakeLoyaltyCardTitle,Prenez la carte de fidélité
UnknownPriceTitle,Prix inconnu
ConfirmEBTAmountTitle,Confirmez le montant
DisconnectedTitle,Déconnecté
ShuttingDown,Arrêt en cours
NoneText,Aucun
SMText,Mode magasin
SMLogInReceiptText,Ouverture de session en Mode magasin
SMLogOutReceiptText,Fermeture de session en Mode magasin
WLDBOffLineText,Base de données des poids : Off-Line
OperatorIDText,# Opérateur : 
SignOnButtonText,Ouverture de session
SignOffButtonText,Fermeture de session
AlertText,Alertes :
SuspendInProgressText,Mise en attente en cours
SuspendLeadthru1,Il a été demandé une mise en attente de la transaction en cours.\nVeuillez confirmer ou annuler cette demande.
SuspendLeadthru2,"Vous avez mis en attente la transaction en cours. Veuillez confirmer cette demande. Pour annuler, appuyez sur Retour et annulez sur le terminal NCR SelfServ Checkout."
ReceiptText,Ticket:
SuspendReasonText1,Mise en attente : Général
CancelSuspendButtonText,Annuler mise en attente
ConfirmSuspendNowButtonText,Confirmer mise en attente\nmaintenant
ConfirmAllowSuspendButtonText,Confirmer mise en attente\npermise
ConfirmSuspendRequestButtonText,Confirmer demande\nmise en attente
CancelSuspendNowButtonText,Annuler la mise en attente\nmaintenant
GoBackButtonText,Retour
CancelSuspendRequestButtonText,Annuler demande\nde mise en attente
CouponText,Coupons:
SuspendReasonText2,Mise en attente : Coupons
CouponReceiptText,%d coupon(s) totalisant $%.2f
SuspendNowButtonText,Mettre en attente maintenant
RequestSuspendButtonText,Demande de mise en attente
NotConnectedText,Non connecté.
ConnectingText,Connexion en cours...Veuillez patienter
ApprovalNeededText,Autres autorisations :
SuspendReasonText3,Mise en attente : Autres
ClearRequestButtonText,Effacer demande
ApproveButtonText,Approuver
RestrictedItemText,Articles restreints :
SuspendReasonText4,Mise en attente : Restreint
SecurityLogText,Journal de sécurité :
SuspendReasonText5,Mise en attente : Sécurité
SignatureText,Signature :
SignatureAndNameText,Signature: %s
ConnectingLeadthru,Connexion en cours avec NCR SelfServ Checkout...Veuillez patienter.
EnterIDLeadthru,"Saisissez l'ID à l'aide du clavier ci-dessous."
EnterPasswordLeadthru,"Saisissez le mot de passe à l'aide du clavier ci-dessous."
LoggingInLeadthru,Ouverture de session en cours...Veuillez patienter
ApproveSecurityButtonText,Approuver\nsécurité
ApprovalNeededButtonText,Autres autorisations
VerifySignatureButtonText,Vérifier \nsignature
AllowSuspendButtonText,Autoriser la mise en attente
MainButtonText,Menu principal
SuspendTransactionButtonText,Mettre en attente la transaction
ApproveAndCollectButtonText,Approuver & encaisser
ClearApprovalsButtonText,Effacer approbations
BirthDateOver30ButtonText,Plus de 30 ans
SignAgainButtonText,Signer de nouveau
BackSpaceButtonText,Retour en arrière
EnterButtonText,Entrée
LaneNumberText,Caisse : %d
RAPTitle,NCR SelfServ Checkout\nRemote Approval Station
CancelSuspendText,Annuler mise en attente
OtherPaymentSelectedText,Autre paiement sélectionné
CouponCollectionText,Collecte de coupon
PendingSuspendText,Mise en attente en suspens
SignatureApprovalText,Approbation de signature
LaneText,Caisse :
VideoButtonText,Vidéo
ClearButtonText,Effacer
QuantityButtonText,Quantité
FeesAndCustomerAgreementsTitle,Frais && Contrats client:
FeesButtonText,Frais
CustomerAgreementButtonText,Customer Agreement
FeesAndCustomerAgreementsLeadthru,Frais & Contrats client
TransactionSuspendedText,Transaction interrompue
POSMessageText,Message TPV :
ConnectingWaitingText,"Veuillez patienter, connexion en cours avec NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Date non requise
AssistModeButtonText,Mode Aide
ClearSecurityButtonText,Effacer Sécurité
VisualApproveButtonText,Approbation visuelle
CheckAgeTitle,"Vérifiez l'âge du client"
CouponLimitExceededTitle,Dépassement de la limite du coupon
VerifyItemAndPriceTitle,Vérifiez article et prix
UnknownItemTitle,Article inconnu mis de côté
ItemNotForSaleTitle,Article non destiné à la vente
ItemQuantityExceededTitle,"Dépassement de quantité d'article"
TimeRestrictedItemTitle,Article réglementé dans le temps
CheckAgeLeadthru,"Saisissez la date de naissance %s et appuyez sur ""Entrée""."
InvalidBirthDateFormatLeadthru,Format de date invalide. \nRecommencez en utilisant le format %s.
CouponLimitExceededLeadthru,"""Approuver"" pour les coupons à la caisse ou ""Approuver & Ramasser"" pour prendre les coupons du client."
VisualApproveLeadthru,"Touchez ""Approbation visuelle"" ou touchez ""Mode Aide"" pour modifier la transaction."
UnknownItemLeadthru,"Prenez l'article à la caisse et touchez ""Effacer Sécurité"" ou touchez ""Mode Aide"" pour terminer la transaction."
ItemNotForSaleLeadthru,"Prenez l'article à la caisse et touchez ""Effacer sécurité""."
OffLineLaneButtonText,Hors ligne
ExitText,Quitter
EnterDataLaneButtonText,Saisir les données
AgeCheckLaneButtonText,"Vérification de l'âge"
CouponLaneButtonText,Coupon
VoidLaneButtonText,Nul
VerifyItemLaneButtonText,Vérifiez article
NotFoundLaneButtonText,Non trouvé
NoSaleLaneButtonText,Pas à vendre
QuantityLaneButtonText,Quantité
HelpLaneButtonText,Aide
NoInterventionLeadthru,"Pas d'intervention requise actuellement."
OffLineLeadthru,La caisse est actuellement offline et le système tente de se reconnecter automatiquement.
CancelRequestButtonText,Annuler la demande
HelpRequestTitle,Aide demandée
SecurityLaneButtonText,Sécurité
VoidLeadthru,"Reprenez l'article annulé et touchez ""Approuver annulation""."
ApproveVoidButtonText,Approuver annulation
SecurityLeadthru,"Examinez la sécurité de la transaction du client et appuyez sur ""Annuler l'alerte""."
SecurityViolationText,Violation de la sécurité
OtherPaymentText,"""Autre paiement"" sélectionné"
SuspendTransactionLeadthru,"Touchez ""Mettre transaction en attente"" ou ""Mode Aide"" et acceptez le paiement."
EASText,Article EAS encore actif
DeactivateLeadthru,"Désactivez l'article ou retirez le dispositif antivol et touchez ""Effacer sécurité""."
CompareSignatureTitle,Comparez les signatures
CompareSignatureLeadthru,"Comparez les signatures et touchez ""Approuver"" ou ""Signez à nouveau""."
EnterPriceLeadthru,"Saisissez le prix de l'article et touchez ""Entrée""."
UtilityButtonText,Utilitaire
ReturnToMainButtonText,Revenir menu principal
GetDiagFilesButtonText,Obtenir fichiers Diag
CouponApprovalLeadthru,"Acceptez coupons du client au point d’approbation et touchez ""Approuver""."
RebootSystemButtonText,Relancez tout le système
ShutDownSystemButtonText,Arrêtez tout le système
LaneStatusTitle,Etat de caisse
LaneStatusLeadthru,Sélectionnez une fonction.
AgeRestrictedText,"Article avec restriction d'âge; %2d ans"
BirthdateEnterText,"Date de naissance saisie : %2d/%2d/%4d,%d ans"
HelpRequestLeadthru,"Touchez ""Annuler la demande"" après avoir aidé le client."
TotalText,Total:
ItemText,Articles:
MultimediaTrainingText,Formation multimédia
VolumeControlButtonText,Contrôle du volume
SecurityViolationNumText,Violations de sécurité :
ItemPurchasedText,Articles achetés :
EnterPriceTitle,Saisie du prix
CancelTransactionGenericTitle,AnnulerTrans
CancelTransactionGenericLeadthru,"Touchez ""Oui"" pour annuler la transaction ou ""Non"" pour continuer."
YesButtonText,Oui
NoButtonText,Non
ConfirmSuspendTitle,Mise en attente:
ConfirmSuspendLeadthru,Confirmer la mise en attente.
ConfirmSuspendButtonText,Confirmer la mise en attente
IncorrectItemWeightTitle,Poids incorrect sur la balance de sécurité.
IncorrectItemWeightLeadthru,"Retirez l'article et touchez ""Effacer Sécurité"" ou touchez ""Approuver & Mettre poids à jour""."
ApproveUpdateButtonText,Approuver & Mettre à jour
UnexpectedIncreaseTitle,Article imprévu sur la balance de sécurité.
UnexpectedIncreaseLeadthru,"Allez à la caisse, retirez les articles en trop, puis touchez ""Effacer sécurité""."
SkipBaggingBtnThresholdLeadthru,"Vérifiez les articles à la caisse et touchez ""Effacer sécurité""."
NewWeightItemTitle,"Pas d'enregistrement du poids de l'article."
NewWeightItemLeadthru,"Vérifiez le poids de l'article et touchez ""Approuver & Mettre à jour"" ou touchez ""Approuver/ Pas de mise à jour""."
ApproveNoUpdateButtonText,Approuver/ Pas de mise à jour.
BagItemTimerExpiredTitle,Poids attendu sur la balance de sécurité.
TakeChangeTimerExpiredTitle,Prenez votre monnaie
TakeChangeTimerExpiredBottomCaption,Délai expiré
PickingUpItemsTimerExpiredTitle,Articles non remis dans la zone de mise en sac.
DeviceFailureTitle,"Dysfonctionnement de l'appareil"
DeviceFailureLeadthru,"Allez à la caisse et vérifiez l'appareil."
WLDBFailureTitle,Problème de communication avec WLDB.
WLDBFailureLeadthru,Vérifiez la communication.
UnexpectedDecreaseTitle,Article retiré de la balance de sécurité.
ClosedLaneTitle,Allez à la caisse et connectez-vous en Mode magasin pour ouvrir la caisse.
ClosedLaneLeadthru,Caisse fermée
BagAreaBackupTitle,Articles empilés sur le tapis roulant
BagAreaBackupLeadthru,Dégagez articles empilés sur tapis
MinimumAgeText,Ans minimum.
SafetyCoverOpenLeadthru,Retirez tous les articles du tapis roulant et fermez le capot de sécurité.
VerifySignatureLeadthru,Comparez la signature du client à celle se trouvant sur la carte.
AssistedTenderTitle,Paiement assisté par opérateur
AssistedTenderLeadthru,Utilisez le mode Aide pour accepter le chque du client.
AssistedTenderHHLeadthru,Utilisez le mode Aide pour accepter le chque du client.
AssistedEndorsementLeadthru,"Endossement requis. Veuillez attendre l'aide de l'op�érateur."
StartTransactionButtonText,Démarrer transaction
StartTransactionTitle,Fonctions assistées par un opérateur
StartTransactionLeadthru,Sélectionnez la fonction voulue.
StartTransactionAMButtonText,Démarrer & Aide
ItemsForgottenTitle,Poids restant\nsur la balance de mise en sac.
InsertCouponTimerExpiredTitle,Ins�érer coupon
CollectGiftCardTitle,Prendre la carte cadeau
HostOfflineLeadthru,La caisse est déconnectée et le système tente de se reconnecter.
SpaceButtonText,"Barre d'espace"
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tQté %s @ %s/chacun\t%s
LaneReceiptItemType4,%s\t%s\tQté %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Fermer la caisse
ReportingButtonText,Rapport
KeyInCodeTitle,Tapez le code
KeyInCodeLeadthru,"Tapez le code article puis appuyez sur ""OK""."
VoidItemButtonText,Annuler article
ChangePriceButtonText,Changement de prix
ChangeQuantityButtonText,Changement de quantité
ReturnToShoppingButtonText,Revenir en mode achat
BasicAssistModeTitle,"Fonctions d'aide"
BasicAssistModeLeadthru,"Scannez l'article ou sélectionnez une fonction."
ChangePriceTitle,Changer le prix
KeyInPriceLeadthru,Tapez le prix pour : %d %s
VoidAllButtonText,Annuler tout
VoidItemTitle,Annuler articles
VoidItemLeadthru,"Scannez l'article ou cherchez sur le reçu et touchez ""Annuler article"" ou ""Annuler tout""."
ChangeQuantityTitle,Changer la quantité
KeyInQuantityLeadthru,Tapez la quantité pour : %s
FullAssistButtonText,Aide complète
CloseButtonText,Fermer
UpdateItemLeadthru,"Cherchez l'article sur le reçu et touchez ""Entrée""."
OKButtonText,OK
CouponNoMatchLeadthru,Le coupon ne correspond à aucun article du reçu. Ce coupon ne peut pas être accepté.
CouponTooHighLeadthru,Le montant saisi pour ce coupon est trop élevé. Ce système ne peut pas accepter ce coupon.
EnterCouponValueLeadthru,"Saisissez la valeur du coupon en cents et appuyez sur ""Entrée""."
ItemQuantityExceededLeadthru,Vous avez dépassé la quantité autorisée pour cet article. Veuillez le mettre de côté et continuer.
ProcessingLeadthru,Traitement en cours...Veuillez patienter.
VoidNoMatchLeadthru,"Impossible de trouver l'article scanné. Il n'a pas encore été\nacheté ou a déjà été annulé."
ConfirmAbortLeadthru,Voulez-vous cesser le scanning des articles et annuler tous vos achats ?
ContinueTransLeadthru,Voulez-vous poursuivre vos achats ?
ConfirmQuantityTitle,Confirmez la quantité
ConfirmVoidTitle,"Confirmez l'annulation"
CouponNoMatchTitle,Coupon sans correspondance
CouponTooHighTitle,Coupon trop élevé
CrateableItemTitle,"Achat d'un panier"
EnterCouponValueTitle,Saisissez la valeur du coupon
EnterQuantityLeadthru,"Saisissez la quantité et appuyez sur ""Entrée""."
EnterWeightTitle,"Pesez l'article"
EnterWeightLeadthru,"Allez à la caisse, placez l'article sur la balance."
AMItemQuantityExceededTitle,Limite de quantité
ProcessingTitle,Traitement en cours...
SelectContainerTitle,Sélection emballage
SelectContainerLeadthru,"Sélectionnez un conteneur dans la liste et touchez ""Entrée""."
VoidNoMatchTitle,"Impossible d'annuler l'article"
ConfirmAbortTitle,Annuler tous les articles
ContinueTransTitle,Continuer?
ScaleBrokenTitle,Remettez la balance à zéro
ScaleBrokenLeadthru,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanner."
UpdateNotAllowedTitle,"Impossible de mettre à jour l'article."
UpdateNotAllowedLeadthru,"Le changement de quantité pour l'article pesé n'est pas autorisé."
SmEnterBirthdateTitle,Articles à vente restreinte
SmEnterBirthdateLeadthru,Saisir la date
SmVisualItemsTitle,Validations visuelles
SmVisualItemsLeadthru,Approuver des articles à validation visuelle
SmCouponItemsTitle,Approuvez les coupons utilisés
SmCouponItemsLeadthru,Vérifiez les coupons utilisés
SmRestrictedItemsTitle,Articles à vente restreinte
SmRestrictedItemsLeadthru,Sélectionnez la fonction voulue.
KeyInBirthDateButtonText,Saisir la date
KeyInCodeButtonText,Tapez le \ncode
SmRunReportsTitle,Contenu de rapport
PrintReportButtonText,"Impression de l'état"
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Article à vente restreinte
AM_RestrictedNotAllowedLeadthru,"L'article a vente restreinte a ete annule - la limite d'age n'a pas ete respectee.\n\nVeuillez mettre l'article de cote."
TransactionCancelTitle,Annulation de transaction
TransactionCancelLeadThru,Transaction annulée. Retirez les articles \nde cette caisse.
OutOfSyncNeedAssistTitle,Aide
OutOfSyncNeedAssistLeadthru,"POS n'est pas synchronisé, veuillez passer en mode Aide pour resynchroniser."
OutOfSyncStopTitle,Redémarrer
OutOfSyncStopLeadthru,"Le serveur POS est déconnecté ou non synchronisé, veuillez arrêter le terminal."
MultiPackItemTitle,Vérifiez le multi-pack
MultiPackItemLeadthru,"Dans le multi-pack, touchez ""Mode Assistance"" pour annuler l'article, puis scannez le code à barres du multi-pack"
CancelActionButtonText,Annuler action
EnterIDFpLeadthru,"Saisissez votre identif. et appuyez sur ""Entrée"" ou placez votre doigt sur le lecteur d'empreintes pour vous connecter."
ReEnterIDFpLeadthru,Informations de connexion non valides. Veuillez vous reconnecter via le pavé numérique ou votre empreinte digitale.
HH_SuspendLeadthru1,Suspendre la transaction courante ? Confirmez ou annulez.
HH_SuspendLeadthru2,"Transaction courante suspendue. Pour annuler, touchez ""Retour"" et annulez."
HH_ReEnterIDLeadthru,ID ou mot de passe incorrect. Tapez-le à nouveau.
HH_CheckAgeLeadthru,"Saisissez la date de naissance %s et appuyez sur ""Entrée""."
HH_CouponLimitExceededLeadthru,"""Approuver"" pour les coupons à la caisse ou ""Approuver & Ramasser"" pour prendre les coupons du client."
HH_VisualApproveLeadthru,"""Approbation visuelle"" ou ""Mode Aide"" pour modifier la transaction."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Reprenez l'article, ""Effacer Sécurité"" ou ""Mode Aide"" pour terminer."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Reprenez l'article à la caisse et touchez ""Effacer sécurité""."
HH_NoInterventionLeadthru,"Aucune intervention n'est nécessaire."
HH_OffLineLeadthru,La caisse est déconnectée. Le système tente de se reconnecter.
HH_InvalidBirthDateFormatLeadthru,Format de date incorrect \nEntrez la date au format %s.
HH_VoidLeadthru,"Reprenez l'article annulé et touchez ""Approuver annulation""."
HH_SuspendTransactionLeadthru,"Touchez ""Suspendre Trans"" pour mettre la transaction en attente."
HH_DeactivateLeadthru,"Désactivez l'article ou retirez le dispositif antivol et touchez ""Effacer sécurité""."
HH_CompareSignatureLeadthru,"Comparez les signatures et touchez ""Approuver"" ou ""Signer à nouveau""."
HH_EnterPriceLeadthru,"Tapez le prix de l'article et appuyez sur ""Entrée""."
HH_CouponApprovalLeadthru,"Acceptez les coupons du client et touchez ""Approuver""."
HH_HelpRequestLeadthru,"Touchez ""Annuler la demande"" après avoir aidé le client."
HH_CancelTransactionGenericLeadthru,"Touchez ""Oui"" pour annuler la transaction ou ""Non"" pour continuer."
HH_IncorrectItemWeightLeadthru,"Retirez l'article et touchez ""Effacer Sécurité"" ou ""Approuver & Mettre  poids à jour""."
HH_UnexpectedIncreaseLeadthru,"Retirez les articles en trop de la caisse et touchez ""Effacer Sécurité""."
HH_SkipBaggingBtnThresholdLeadthru,"Vérifiez les articles à la caisse et touchez ""Effacer sécurité""."
HH_NewWeightItemLeadthru,"Vérifiez le poids et touchez ""Approuver & Mettre poids à jour"" ou ""Approuver/Pas de mise à jour""."
HH_SafetyCoverOpenLeadthru,Retirez tous les articles du tapis roulant. Fermez le capot de sécurité.
HH_VerifySignatureLeadthru,Comparez la signature du client avec celle de la carte.
HH_AssistedEndorsementLeadthru,"Endossement requis. Veuillez attendre l'aide de l’opérateur."
HH_HostOfflineLeadthru,La caisse est déconnectée. Le système tente de se reconnecter.
HH_KeyInCodeLeadthru,"Tapez le code article et appuyez sur ""Entrée""."
HH_VoidItemLeadthru,"Scannez ou accédez à l'article du reçu."
HH_UpdateItemLeadthru,"Accédez à l'article du reçu et appuyez sur ""Entrée""."
HH_CouponNoMatchLeadthru,Le coupon ne correspond à aucun article du reçu. Coupon non accepté.
HH_CouponTooHighLeadthru,"Montant du coupon trop élevé. Le système ne peut pas l'accepter."
HH_ItemQuantityExceededLeadthru,"Quantité autorisée dépassée.\n\nMettez l'article de côté et continuez."
HH_VoidNoMatchLeadthru,"Impossible de trouver l'article scanné. Il n'a pas été acheté ou a été annulé."
HH_ConfirmAbortLeadthru,Cesser le scannage et annuler tous vos achats ?
HH_ContinueTransLeadthru,Poursuivre vos achats ?
HH_EnterQuantityLeadthru,"Tapez la quantité et appuyez sur ""Entrée""."
HH_SelectContainerLeadthru,"Sélectionnez un emballage dans la liste et appuyez sur ""Entrée""."
HH_ScaleBrokenLeadthru,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanner."
HH_UpdateNotAllowedLeadthru,Modification de la quantité non autorisée.
HH_AM_RestrictedNotAllowedLeadthru,"Article restreint annulé - l'âge limite ne correspond pas. Mettez l'article de côté."
HH_OutOfSyncNeedAssistLeadthru,"TPV non synchronisé, ""Mode Aide"" pour resynchroniser."
HH_OutOfSyncStopLeadthru,"Serveur TPV en panne ou non synchronisé, arrêtez le terminal avec l'interrupteur."
HH_MultiPackItemLeadthru,"Si multi-pack, touchez ""Mode Aide"", annulez, puis scannez le code à barres du multi-pack."
HH_ReturnToShoppingButtonText,Retour
DoneButtonText,Terminé
ConfirmSuspendFromLaneStatusLeadthruText,Confirmer ou annuler la mise en attente
HH_SuspendTransactionButtonText,Suspendre Trans
HH_TransactionCancelTitle,Annulation de transaction
HH_TransactionCancelLeadThru,Transaction annulée. Retirez les articles de cette caisse.
ShiftButtonText,MAJ
FixLaterButtonText,Réparer après
HopperLaneButtonText,Substitution de monnaie
HopperLeadThru,"%sAllez à la caisse et remplissez-la de pièces, éliminez le bourrage ou appuyez sur ""Régler plus tard"" pour continuer."
TransactionCountText,Nombre:
SecurityDisableText,Sécurité désactivée
SecurityDisableButtonOn,Allumez
SecurityDisableButtonOff,Éteignez
SecurityDisableStatusTextOn,Sécurité ensachage active
SecurityDisableStatusTextOff,Sécurité ensachage inactive
SuspendDeclinedLaneButtonText,Interruption abandonnée
ConfirmSuspendDeclinedLeadthru,"Confirmer ou annuler l'abandon d'interruption."
ConfirmSuspendDeclinedButtonText,"Confirmer l'abandon"
CancelSuspendDeclinedButtonText,Retour
TMTransLeadthru,La caisse est en Mode Formation.\nPoursuivre la transaction?
HH_TMTransLeadthru,La caisse est en Mode Formation.\nPoursuivre la transaction?
TMTransLaneButtonText,Trn formation
DateFormat1,(mmjjaaaa)
DateFormat2,(mmjjaa)
DateFormat3,(jjmmaaaa)
DateFormat4,(jjmmaa)
DateFormat5,(aaaammjj)
DateFormat6,(aammjj)
GoBackCouponButtonText,Retour
ApproveCouponButtonText,Approuver bon\nde réduction
CouponExceededLimitLeadthru,"Appuyez sur ""Approuver bon de réduction"" pour accepter le bon de réduction ou passez en mode d'assistance pour l'annuler."
CouponExceededLimitFinalizationLeadthru,La transaction a été finalisée en utilisant un bon de réduction qui dépasse la limite de bon de réduction du magasin.
ClearSecurityFinalizationButtonText,Effacer sécurité
ExpandReceiptButtonText,Développer le ticket
CollapseReceiptButtonText,Réduire le ticket
InvalidBarcodeLeadThru,"Retirez l'article de la caisse et appuyez sur ""Approuver"" pour continuer la transaction."
InvalidBarcodeLaneButtonText,Vérifier art.
HH_InvalidBarcodeLeadThru,"Retirez l'article, appuyez sur ""Approuver"" pour continuer la transaction."
GoToLaneOrHHRapLeadthru,Veuillez vous rendre à la caisse ou au PAD pour approbation
GoToLaneOrRapLeadthru,Veuillez vous rendre à la caisse ou au PADP pour approbation
GoToLaneLeadthru,Veuillez vous rendre à la caisse pour approbation
DisableRapApprovalText," Désactiver l'approbation du PAD"
DisableHHRapApprovalText," Désactiver l'approbation du PADP"
UpdateItemButtonText,"Mettre à jour l'article"
SuspendConfirmationTitle,Confirmation stand-by
DoNotApproveButtonText,Ne pas approuver
SmVoidAndRemoveItemLeadthru,"Veuillez retirer l'article annulé de la zone d'ensachage."
RestrictedItemsNotApprovedTitle,Articles avec limitation - non approuvés
