AmountSaved,Epargné
TakeCash,Prendre la monnaie qui vous est remise.
TakeChange,Prenez la monnaie
TakeReceipt,Prenez le reçu
Tax,Taxe
TimeRestrictedItem,Art. avec restriction d’heure
Total,Total
TouchCancel,"Pour annuler le paiement, appuyez sur Annuler sur le clavier d'identification personnelle"
TryAgain,Essayez à nouveau
UnexpectedDecreaseMessage,"Retournez l'article à la zone d’ensachage."
UnexpectedIncreaseMessage,"Retirez l'article de la zone d’ensachage."
UsePinpad,"Utilisez le clavier d'identification personnelle"
VoidItem,"Scannez les articles non désirés ou tapez sur ""Retirez"" sur le reçu."
Volume,Volume
Yes,Oui
ItemNumberAmount,NA :  
WeightExpected,PA :  
WeightObserved,PI :  
UnknownPriceMessage,"Le prix de l'article n'est pas connu.\nDe l'aide arrive.\n\nMettez l’article de côté et continuez."
SetAllItemsAsideMessage,Achat annulé.\n\nRemettez vos articles annulés à la caissière.
ConfirmAbortMessage,Êtes-vous certain de vouloir vider le chariot? La transaction sera annulée.
NoKeep,"Non, gardez-les."
NoReturn,"Non, retournez à la transaction."
YesEmpty,"Oui, videz le chariot et terminez la transaction."
YesRemove,"Oui, retirez-le."
HostOfflineMessage,Le poste est hors ligne et le système tente de se rebrancher.
LaneClosedMessage,Couloir fermé
LoadingText,Chargement
VerifyBagsMessage,"Si vous avez placé par mégarde autre chose qu'un sac dans la zone d’ensachage, veuillez le retirer maintenant."
HelpOnWay,"De l'aide arrive. Veuillez continuer."
OwnBagMessage,Veuillez placer vos sacs sur la balance.
UseOwnBag,J’utilise mon propre sac.
AttendantMode,Mode préposé
AttendantTrainingMode,Mode préposé et formation
TrainingMode,Mode formation
ScaleBroken,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanneur."
Refunded,Remboursé:
EnterIDMessage,"Entrez num. identification et appuyez ""Entrée""."
EnterIDText,Num. Identification
EnterPasswordMessage,"Entrez votre mot de passe et appuyez sur ""Entrée""."
EnterPasswordText,Entrez mot de passe
VisualVerify,Vérifiez visuellement
SingleItemAddedFormat,{0} article à ajouter au chariot.
Approved,Approuvé
VoidItemBeforeCouponMessage,"Impossible d'annuler l'article jusqu'à ce que son coupon soit annulé. Annulez d'abord le coupon de l'article."
VerifyBags,Le préposé va vérifier vos sacs.
CancelItems,Annulez des articles
EnterQuantityTitle,Quantité requise
SecUnExpectedIncreaseTitle,Alerte de mise en sac
WeightMismatchTitle,Assistance requise
AssistanceNeededTitle,Aide requise
CheckBasketTitle,Vérifiez Panier
ConfirmDebitAmountTitle,Confirmez le montant
DropoffCouponsTitle,Remettez les coupons.
InsufficientBalanceTitle,Solde insuffisant
OperatorPasswordStateInvalidPasswordWithFPTitle,Échec d’ouverture de session avec l’empreinte
PurchaseCrateTitle,"Achat d'un panier"
RestrictedItemTitle,Article réglementé
SecBagAreaBackupTitle,Articles entassés
SignChargeTitle,Signez le reçu
TakeCardTitle,Prenez votre carte
ContinueTitle,Continuer?
ApprovalNeededTitle,Approbation
IncorrectLoginTitle,Numéro incorrect
RecalledItemTitle,Article rappelé
RemovedItemTitle,Alerte de mise en sac
SetAllItemsAsideTitle,Mettez de côté
TakeLoyaltyCardTitle,Prenez la carte de fidélisation
UnknownPriceTitle,Prix inconnu
ConfirmEBTAmountTitle,Confirmez le montant
DisconnectedTitle,Déconnecté
ShuttingDown,"Mise à l'arrêt"
NoneText,Aucun
SMText,Mode magasin
SMLogInReceiptText,Ouverture de session du mode magasin
SMLogOutReceiptText,Fermeture de session du mode magasin
WLDBOffLineText,Base de données Poids: Hors ligne
OperatorIDText,Num Opérateur: 
SignOnButtonText,Ouverture session
SignOffButtonText,Fermeture session
AlertText,Alertes:
SuspendInProgressText,Mise en attente en cours
SuspendLeadthru1,Une demande a été faite pour mettre en attente la transaction courante. \nVeuillez confirmer ou annuler cette demande.
SuspendLeadthru2,"Vous avez mis en attente la transaction courante. Veuillez confirmer cette demande. Pour annuler, appuyez ""Retour"" et annuler à partir de NCR SelfServ Checkout."
ReceiptText,Reçus:
SuspendReasonText1,Mise en attente: Générale
CancelSuspendButtonText,Annuler mise en attente
ConfirmSuspendNowButtonText,Confirmer mise en attente \nmaintenant
ConfirmAllowSuspendButtonText,Confirmer mise en attente\npermise
ConfirmSuspendRequestButtonText,Confirmer demande\nmise en attente
CancelSuspendNowButtonText,Annuler la mise en attente\nmaintenant
GoBackButtonText,Retour
CancelSuspendRequestButtonText,Annuler demande\nmise en attente
CouponText,Coupons:
SuspendReasonText2,Mise en attente: Coupons
CouponReceiptText,%d coupon(s) totalisant $%.2f
SuspendNowButtonText,Mise en attente maintenant
RequestSuspendButtonText,Demande de mise en attente
NotConnectedText,Non connecté.
ConnectingText,En communication...Veuillez patienter
ApprovalNeededText,Autres approbations:
SuspendReasonText3,Mise en attente: Autres
ClearRequestButtonText,Effacer demande
ApproveButtonText,Approuver
RestrictedItemText,Articles réglementés:
SuspendReasonText4,Mise en attente: Réglementé
SecurityLogText,Journal de sécurité:
SuspendReasonText5,Mise en attente: Sécurité
SignatureText,Signature:
SignatureAndNameText,Signature: %s
ConnectingLeadthru,En communication avec NCR SelfServ Checkout...Veuillez patienter
EnterIDLeadthru,Entrez num. identification en utilisant le clavier ci-dessous.
EnterPasswordLeadthru,Entrez le mot de passe en utilisant le clavier ci-dessous.
LoggingInLeadthru,Ouverture de session...Veuillez patienter
ApproveSecurityButtonText,Approuver\njournal de sécurité
ApprovalNeededButtonText,Autres approbations
VerifySignatureButtonText,Vérifier \nsignature
AllowSuspendButtonText,Mise en attente permise
MainButtonText,Menu principal
SuspendTransactionButtonText,Suspendre Trans.
ApproveAndCollectButtonText,Approuver et Ramasser
ClearApprovalsButtonText,Effacer approbations
BirthDateOver30ButtonText,Plus de 30 ans
SignAgainButtonText,Signer de nouveau
BackSpaceButtonText,Retour en arrière
EnterButtonText,Entrée
LaneNumberText,Caisse: %d
RAPTitle,NCR SelfServ Checkout\nPoste d’autorisation à distance
CancelSuspendText,Annuler mise en attente
OtherPaymentSelectedText,Autre paiement sélectionné
CouponCollectionText,Collection de coupon
PendingSuspendText,Mise en attente en suspens
SignatureApprovalText,Approbation de signature
LaneText,Caisse
VideoButtonText,Vidéo
ClearButtonText,Effacer
QuantityButtonText,Quantité
FeesAndCustomerAgreementsTitle,Frais && ententes client:
FeesButtonText,Frais
CustomerAgreementButtonText,Entente client
FeesAndCustomerAgreementsLeadthru,Frais & ententes client
TransactionSuspendedText,Transaction suspendue
POSMessageText,Message POS:
ConnectingWaitingText,"Veuillez patienter, en communication avec NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Date non requise
AssistModeButtonText,Mode assistance
ClearSecurityButtonText,Effacer sécurité
VisualApproveButtonText,Approb. visuelle
CheckAgeTitle,Vérifiez l’ôge du client
CouponLimitExceededTitle,Limite de coupons excédée
VerifyItemAndPriceTitle,Vérifiez article et prix
UnknownItemTitle,Article inconnu mis de côté
ItemNotForSaleTitle,Article non à vendre
ItemQuantityExceededTitle,Quantité article excédée
TimeRestrictedItemTitle,Articles avec heures réglementés
CheckAgeLeadthru,"Entrez date de naissance %s et appuyez sur ""Entrée""."
InvalidBirthDateFormatLeadthru,Le format est invalide. Entrez la date à nouveau dans le format %s.
CouponLimitExceededLeadthru,"""Approuver"" les coupons à la caisse ou ""Approuver et Ramasser"" pour recevoir les coupons du client."
VisualApproveLeadthru,"Appuyez ""Approb. visuelle"" ou appuyez ""Mode assistance"" pour modifier la transaction."
UnknownItemLeadthru,"Prenez l’article et appuyez sur ""Effacer securité"" ou ""Mode assistance"" pour compléter la transaction."
ItemNotForSaleLeadthru,"Ramassez article à la caisse et appuyez ""Effacer sécurité""."
OffLineLaneButtonText,Hors ligne
ExitText,Quitter
EnterDataLaneButtonText,Entrez donnée
AgeCheckLaneButtonText,Vérification de l’âge
CouponLaneButtonText,Coupon
VoidLaneButtonText,Annuler
VerifyItemLaneButtonText,Vérifier article
NotFoundLaneButtonText,Non trouvé
NoSaleLaneButtonText,Non-vente
QuantityLaneButtonText,Quantité
HelpLaneButtonText,Aide
NoInterventionLeadthru,"Aucune intervention est requise présentement. Veuillez appuyer sur le bouton ""Menu principal"" pour retourner à la fenêtre du menu principal."
OffLineLeadthru,La caisse est présentement hors ligne et le système essaie de se remettre en communication automatiquement.
CancelRequestButtonText,Annuler demande
HelpRequestTitle,Aide demandée
SecurityLaneButtonText,Sécurité
VoidLeadthru,"Recueillez les articles annulés puis appuyez sur ""Approuver annulation""."
ApproveVoidButtonText,Approuver annulation
SecurityLeadthru,Contrôlez la transaction du client relativement à la sécurité et appuyez sur « Accepter ».
SecurityViolationText,Violation de la sécurité
OtherPaymentText,"""Autre paiement"" sélectionné"
SuspendTransactionLeadthru,"Appuyez sur ""Suspendre Trans."" ou ""Mode assistance"" et acceptez le paiement."
EASText,Article EAS encore actif.
DeactivateLeadthru,"Désactivez l’article ou retirez l’étiquette et appuyez sur ""Effacer sécurité""."
CompareSignatureTitle,Comparez les signatures
CompareSignatureLeadthru,"Comparez les signatures puis appuyez sur ""Approuver"" ou ""Signer de nouveau""."
EnterPriceLeadthru,"Entrez le prix de l’article puis appuyez sur ""Entrée""."
UtilityButtonText,Soutiens
ReturnToMainButtonText,Retourner au menu principal
GetDiagFilesButtonText,Obtener les fichiers de diagnostics
CouponApprovalLeadthru,"Acceptez les coupons du client au comptoir d’approbation et appuyez sur ""Approuver""."
RebootSystemButtonText,Redémarrez le système
ShutDownSystemButtonText,Stoppez le système
LaneStatusTitle,État de la ligne
LaneStatusLeadthru,Choisir la fonction.
AgeRestrictedText,"Article restriction d'âge; %2d ans"
BirthdateEnterText,"Date de naissance entrée:%2d/%2d/%4d,%d ans"
HelpRequestLeadthru,"Appuyez sur ""Annuler la demande"" après avoir aidé le client."
TotalText,Total:
ItemText,Articles:
MultimediaTrainingText,Entraînement Multimédia
VolumeControlButtonText,Contrôle du volume
SecurityViolationNumText,Violations de sécurité:
ItemPurchasedText,Articles achetés:
EnterPriceTitle,Prix
CancelTransactionGenericTitle,Annul. Trans.
CancelTransactionGenericLeadthru,"Appuyez ""Oui"" pour annuler transaction ou ""Non"" pour reprendre transaction."
YesButtonText,Oui
NoButtonText,Non
ConfirmSuspendTitle,Mise en attente:
ConfirmSuspendLeadthru,Confirmer la mise en attente.
ConfirmSuspendButtonText,Confirmer la mise en attente
IncorrectItemWeightTitle,Poids incorrect sur la balance de sécurité.
IncorrectItemWeightLeadthru,"Retirez l’article et appyez sur ""Effacer sécurité"" ou appuyez sur ""Approuver & MAJ poids""."
ApproveUpdateButtonText,Approuver & MAJ poids
UnexpectedIncreaseTitle,Article inattendu sur la balance de sécurité.
UnexpectedIncreaseLeadthru,"Retirez l'article de la zone d’ensachage."
SkipBaggingBtnThresholdLeadthru,"Vérifiez articles dans l'allée et appuyez sur ""Effacer sécurité""."
NewWeightItemTitle,Aucune donnée
NewWeightItemLeadthru,"Vérifiez le poids de l’article et appuyez sur ""Approuver & MAJ poids"", ou appuyez sur ""Approuver/Pas de MAJ""."
ApproveNoUpdateButtonText,Approuver/Pas de MAJ.
BagItemTimerExpiredTitle,Poids attendu sur la balance de sécurité.
TakeChangeTimerExpiredTitle,Prenez la monnaie
TakeChangeTimerExpiredBottomCaption,Minuteur expiré
PickingUpItemsTimerExpiredTitle,Articles non retournés dans la zone de mise en sac.
DeviceFailureTitle,Mauvais fonctionnement de l’appareil
DeviceFailureLeadthru,"Allez à la caisse et vérifiez l'appareil."
WLDBFailureTitle,WLDB ne communique pas correctement.
WLDBFailureLeadthru,Vérifiez la communication.
UnexpectedDecreaseTitle,Article retiré de la balance de sécurité.
ClosedLaneTitle,"Allez à la caisse et à partir du Mode magasin, procéder à l’ouverture de la caisse."
ClosedLaneLeadthru,Caisse fermée
BagAreaBackupTitle,Articles entassés sur le convoyeur
BagAreaBackupLeadthru,Dégagez les articles entassés sur le convoyeur.
MinimumAgeText,Age minimum.
SafetyCoverOpenLeadthru,Retirez tous les articles du convoyeur et fermez le couvercle de sécurité.
VerifySignatureLeadthru,Comparez la signature du client à celle se trouvant sur la carte.
AssistedTenderTitle,Paiement assisté par opérateur
AssistedTenderLeadthru,"Utiliser le mode d'assistance pour accepte le chèque du client."
AssistedTenderHHLeadthru,"Utiliser le mode d'assistance pour accepte le chèque du client."
AssistedEndorsementLeadthru,"Endossement est nécessaire. S.V.P. attendez qu'un opérateur vous aide."
StartTransactionButtonText,Commencez la transaction
StartTransactionTitle,Fonctions assistées par opérateur
StartTransactionLeadthru,Sélectionnez la fonction voulue.
StartTransactionAMButtonText,Lancer et mode assist.
ItemsForgottenTitle,Poids reste\nsur la balance d’emballage.
InsertCouponTimerExpiredTitle,Insérez coupon
CollectGiftCardTitle,Récupérer la carte de fidélité
HostOfflineLeadthru,La caisse est hors ligne et le système tente de se reconnecter.
SpaceButtonText,Espace
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tQté %s @ %s/chacun\t%s
LaneReceiptItemType4,%s\t%s\tQté %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Débrancher/ Fermer couloir
ReportingButtonText,Rapport
KeyInCodeTitle,Entrez le code
KeyInCodeLeadthru,"Entrez le code de l'article et appuyez sur ""OK""."
VoidItemButtonText,Annuler l’article
ChangePriceButtonText,Changer prix
ChangeQuantityButtonText,Changer qt
ReturnToShoppingButtonText,Retournez à Magasinage
BasicAssistModeTitle,Fonctions d’aide
BasicAssistModeLeadthru,Scannez l’article ou sélectionnez la fonction.
ChangePriceTitle,Changer le prix
KeyInPriceLeadthru,Entrez le prix de : %d %s
VoidAllButtonText,Annuler tout
VoidItemTitle,Annuler les articles
VoidItemLeadthru,"Scannez ou faites défiler jusqu’à l’article indiqué sur le reçu puis appuyez sur ""Annuler l’article"" or ""Annuler tout""."
ChangeQuantityTitle,Changer la quantité
KeyInQuantityLeadthru,Entrez la quantité pour : %s
FullAssistButtonText,Aide complète
CloseButtonText,Fermer
UpdateItemLeadthru,"Faites défiler jusqu’à l’article indiqué sur le reçu puis appuyez sur ""Entrée""."
OKButtonText,OK
CouponNoMatchLeadthru,Le coupon ne correspond à aucun article indiqué sur le reçu. Il ne peut être accepté.
CouponTooHighLeadthru,Le montant entré pour ce coupon est trop élevé. Ce système ne peut accepter ce coupon.
EnterCouponValueLeadthru,"Entrez la valeur du coupon en cents\net appuyez sur ""Entrée""."
ItemQuantityExceededLeadthru,Vous avez dépassé la quantité permise pour cet article. Veuillez le mettre de côté et poursuivre.
ProcessingLeadthru,Traitement en cours...Veuillez attendre.
VoidNoMatchLeadthru,"Incapable de trouver l'article scanné. Il n'a pas encore été acheté ou a déjà été annulé."
ConfirmAbortLeadthru,Voulez-vous mettre fin au scan des articles et annuler tous vos achats?
ContinueTransLeadthru,Voulez-vous poursuivre vos achats ?
ConfirmQuantityTitle,Confirmez la quantité
ConfirmVoidTitle,Confirmez annulation
CouponNoMatchTitle,Coupon non assorti
CouponTooHighTitle,Coupon trop élevé
CrateableItemTitle,"Achat d'un panier"
EnterCouponValueTitle,Entrez la valeur du coupon
EnterQuantityLeadthru,"Entrez la quantité et appuyez sur ""Entrée""."
EnterWeightTitle,"Pesez l'article"
EnterWeightLeadthru,"Allez à la caisse, placez l'article sur la balance."
AMItemQuantityExceededTitle,Limite de quantité
ProcessingTitle,Traitement en cours...
SelectContainerTitle,Choisissez contenant
SelectContainerLeadthru,"Sélectionnez le contenant dans la liste puis appuyez sur ""Entrée""."
VoidNoMatchTitle,"Incapable d'annuler un article"
ConfirmAbortTitle,Annulez articles
ContinueTransTitle,Continuer?
ScaleBrokenTitle,Remettez la balance à zéro
ScaleBrokenLeadthru,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanneur."
UpdateNotAllowedTitle,Impossible de mettre l’article à jour
UpdateNotAllowedLeadthru,Changement de quantité non autorisé pour l’article pesé.
SmEnterBirthdateTitle,Articles réglementés
SmEnterBirthdateLeadthru,Entrez la date au clavier
SmVisualItemsTitle,Validations visuelles
SmVisualItemsLeadthru,Approuvez des articles à validation visuelle
SmCouponItemsTitle,Approuvez les coupons utilisés
SmCouponItemsLeadthru,Vérifiez les coupons utilisés
SmRestrictedItemsTitle,Articles réglementés
SmRestrictedItemsLeadthru,Sélectionnez la fonction voulue.
KeyInBirthDateButtonText,Entrez la date au clavier
KeyInCodeButtonText,Entrez le \ncode
SmRunReportsTitle,Contenu du rapport
PrintReportButtonText,Impression du rapport
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Article réglementé
AM_RestrictedNotAllowedLeadthru,"L'article réglementé a été annulé - la limite d'âge n'a pas été respectée.\n\nVeuillez mettre l'article de côté."
TransactionCancelTitle,Annulation de transaction
TransactionCancelLeadThru,Transaction annulée. Retirez les articles\nde cette caisse.
OutOfSyncNeedAssistTitle,Aide
OutOfSyncNeedAssistLeadthru,"PV désynchronisé, veuillez utiliser le mode Aide pour le resynchroniser."
OutOfSyncStopTitle,Redémarrage
OutOfSyncStopLeadthru,"Serveur PV hors ligne ou désynchronisé, veuillez fermer le terminal."
MultiPackItemTitle,Vérification de l’emballage collectif
MultiPackItemLeadthru,"Si emballage collectif, appuyez ""Mode d’assistance"" et annulez l’article, scannez ensuite le code d’emballage collectif"
CancelActionButtonText,Annuler action
EnterIDFpLeadthru,"Entrez votre nom d’utilisateur puis appuyez sur la touche ""Entrée"" ou placez votre doigt sur le lecteur d’empreinte pour ouvrir une session."
ReEnterIDFpLeadthru,Ouverture de session non valide. Veuillez ouvrir une session en utilisant le clavier ou avec votre empreinte.
HH_SuspendLeadthru1,Suspendre la transaction courante? Confirmer ou annuler.
HH_SuspendLeadthru2,"Transaction courante suspendue. Pour annuler, appuyez sur ""Retour"" puis annulez. "
HH_ReEnterIDLeadthru,ID ou mot de passe incorrect. Veuillez les entrez de nouveau.
HH_CheckAgeLeadthru,"Entrez date de naissance %s et appuyez sur ""Entrée"""
HH_CouponLimitExceededLeadthru,"""Approuver"" les coupons à la caisse ou ""Approuver et Ramasser"" pour recevoir les coupons du client."
HH_VisualApproveLeadthru,"""Approb. visuelle"" ou ""Mode assistance"" pour modifier la transaction."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Récupérez l'article, appuyez sur ""Effacer sécurité"" ou ""Mode assistance"" pour terminer."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Récupérez les articles de la caisse et appuyez sur ""Effacer sécurité"""
HH_NoInterventionLeadthru,Aucune intervention requise.
HH_OffLineLeadthru,La caisse est hors ligne. Le système tente de se reconnecter.
HH_InvalidBirthDateFormatLeadthru,Format de date incorrect \nEntrez la date selon le format %s.
HH_VoidLeadthru,"Recueillez les articles annulés puis appuyez sur ""Approuver annulation""."
HH_SuspendTransactionLeadthru,"Appuyez sur ""Suspendre Trans."" pour suspendre la transaction."
HH_DeactivateLeadthru,"Désactivez l’article ou retirez l’étiquette et appuyez sur ""Effacer sécurité""."
HH_CompareSignatureLeadthru,"Comparez les signatures puis appuyez sur ""Approuver"" ou ""Signer de nouveau""."
HH_EnterPriceLeadthru,"Entrez le prix de l’article puis appuyez sur ""Entrée""."
HH_CouponApprovalLeadthru,"Acceptez les coupons du client et appuyez sur ""Approuver""."
HH_HelpRequestLeadthru,"Appuyez sur ""Annuler la demande"" après avoir aidé le client."
HH_CancelTransactionGenericLeadthru,"Appuyez sur ""Oui"" pour annuler la transaction ou sur ""Non"" pour continuer."
HH_IncorrectItemWeightLeadthru,"Retirez l’article et appuyez sur ""Effacer sécurité"" ou sur ""Approuver et MAJ poids""."
HH_UnexpectedIncreaseLeadthru,"Récupérez les articles en trop et appuyez sur ""Effacer sécurité""."
HH_SkipBaggingBtnThresholdLeadthru,"Vérifiez les articles à la caisse et appuyez sur ""Effacer sécurité""."
HH_NewWeightItemLeadthru,"Vérifiez le poids et appuyez ""Approuver et MAJ poids"" ou sur ""Approuver/pas de MAJ""."
HH_SafetyCoverOpenLeadthru,Retirez tous les articles du tapis. Fermez le capot de sécurité.
HH_VerifySignatureLeadthru,Comparez la signature du client avec celle de la carte.
HH_AssistedEndorsementLeadthru,Endossement requis. Veuillez attendre qu’un opérateur vous aide.
HH_HostOfflineLeadthru,La caisse est déconnectée. Le système tente de se reconnecter.
HH_KeyInCodeLeadthru,"Enterz le code de l’article puis appuyez sur ""Entrée""."
HH_VoidItemLeadthru,"Scannez ou faites défiler jusqu’à l’article puis appuyez sur ""Annuler l’article"" ou ""Annuler tout""."
HH_UpdateItemLeadthru,"Faites défiler jusqu’à l’article indiqué sur le reçu puis appuyez sur ""Entrée""."
HH_CouponNoMatchLeadthru,Le coupon ne correspond à aucun article indiqué sur le reçu. Coupon refusé.
HH_CouponTooHighLeadthru,"Montant du coupon trop élevé. Le système ne peut l'accepter."
HH_ItemQuantityExceededLeadthru,"Quantité autorisée dépassée. \n\nMettez l'article de côté et continuez."
HH_VoidNoMatchLeadthru,"Impossible de trouver l'article scanné. Il n'a pas été acheté ou a été annulé."
HH_ConfirmAbortLeadthru,Arrêter de scanner et annuler tous vos achats?
HH_ContinueTransLeadthru,Continuer vos achats?
HH_EnterQuantityLeadthru,"Entrez la quantité et appuyez sur ""Entrée""."
HH_SelectContainerLeadthru,"Sélectionnez le contenant dans la liste puis appuyez sur ""Entrée""."
HH_ScaleBrokenLeadthru,"Retirez l'article de la balance et appuyez sur ""Balance zéro"" du scanneur."
HH_UpdateNotAllowedLeadthru,Modification de la quantité non autorisée.
HH_AM_RestrictedNotAllowedLeadthru,"Article restreint annulé - l'âge limite ne correspond pas. Mettez l'article de côté."
HH_OutOfSyncNeedAssistLeadthru,"PV désynchronisé, veuillez utiliser le mode Aide pour le resynchroniser."
HH_OutOfSyncStopLeadthru,"Serveur PV hors ligne ou désynchronisé, veuillez fermer le terminal avec le bouton."
HH_MultiPackItemLeadthru,"Si multi-pack, appuyez sur ""Mode assistance"", annulez, puis scannez le code à barres du multi-pack."
HH_ReturnToShoppingButtonText,Retour
DoneButtonText,Terminé
ConfirmSuspendFromLaneStatusLeadthruText,Confirmer ou annuler la mise en attente
HH_SuspendTransactionButtonText,Suspendre Trans.
HH_TransactionCancelTitle,Annulation de transaction
HH_TransactionCancelLeadThru,Transaction annulée. Retirez les articles de cette caisse.
ShiftButtonText,Maj
FixLaterButtonText,Réparer après
HopperLaneButtonText,Substitution de monnaie
HopperLeadThru,"%sOuvrez la caisse et remplissez-la de monnaie ou remédiez au blocage ou appuyez sur ""Réparer plus tard"" pour continuer."
TransactionCountText,Nombre:
SecurityDisableText,Sécurité désactivée
SecurityDisableButtonOn,Activer
SecurityDisableButtonOff,Désactiver
SecurityDisableStatusTextOn,Sécurité d’emballage activée
SecurityDisableStatusTextOff,Sécurité pour sac si désactivé
SuspendDeclinedLaneButtonText,Mise en attente refusée
ConfirmSuspendDeclinedLeadthru,Confirmer ou annuler le refus de mise en attente.
ConfirmSuspendDeclinedButtonText,Confirmer le refus
CancelSuspendDeclinedButtonText,Retour
TMTransLeadthru,Caisse en mode entraînement. \nVoulez-vous poursuivre la transaction?
HH_TMTransLeadthru,Caisse en mode entraînement.\nVoulez-vous poursuivre la transaction?
TMTransLaneButtonText,Transac. entraîn.
DateFormat1,(mmjjaaaa)
DateFormat2,(mmjjaa)
DateFormat3,(jjmmaaaa)
DateFormat4,(jjmmaa)
DateFormat5,(aaaammjj)
DateFormat6,(aammjj)
GoBackCouponButtonText,Retour
ApproveCouponButtonText,Approuver \nle coupon
CouponExceededLimitLeadthru,"Appuyez sur ""Approuver le coupon"" pour l’accepter ou passez en mode Aide pour l’annuler."
CouponExceededLimitFinalizationLeadthru,La transaction a été finalisée avec un coupon qui dépasse la limite pour le magasin.
ClearSecurityFinalizationButtonText,Effacer sécurité
ExpandReceiptButtonText,Agrandissez le reçu
CollapseReceiptButtonText,Comprimez le reçu
InvalidBarcodeLeadThru,"Prenez l’article à l’allée et appuyez sur ""Approuver"" pour continuer la transaction."
InvalidBarcodeLaneButtonText,Vérifiez article
HH_InvalidBarcodeLeadThru,"Prenez l’article, appuyez sur ""Approuver"" pour continuer la transaction."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Veuillez aller dans l’allée pour l’approbation
DisableRapApprovalText,Désactivez l’approbation du PAD (programme d’approbation à distance)
DisableHHRapApprovalText,Désactivez l’approbation du PADP (programme d’approbation à distance portatif)
UpdateItemButtonText,Mettez à jour l’article
SuspendConfirmationTitle,Confirmation
