AmountSaved,Úspora
ScaleBroken,"Dejte zboží z váhy a stiskněte tlačítko\n""Vynulovat váhu"" na čtečce."
Refunded,Vráceno:
EnterIDMessage,"Zadejte kód uživatele a stiskněte ""Potvrdit""."
EnterIDText,Zadat ID
EnterPasswordMessage,"Zadejte heslo a stiskněte tlačítko ""Potvrdit""."
EnterPasswordText,Zadejte heslo
VisualVerify,Vizuální ověření
SingleItemAddedFormat,{0} položka pro přidání do nákupního košíku.
Approved,Schváleno
VoidItemBeforeCouponMessage,"Nelze stornovat zboží, dokud není stornován jeho kupón. Stornujte nejprve kupón."
VerifyBags,Obsluha zkontroluje vaše tašky.
CancelItems,Zrušit zboží
EnterQuantityTitle,Zadejte množství
SecUnExpectedIncreaseTitle,Upozornění - tašky
WeightMismatchTitle,Nutná asistence
AssistanceNeededTitle,Nutná asistence
CheckBasketTitle,Zkontrolujte košík
ConfirmDebitAmountTitle,Potvrďte částku
DropoffCouponsTitle,Odevzdejte kupóny.
InsufficientBalanceTitle,Poukázka nestačí
OperatorPasswordStateInvalidPasswordWithFPTitle,Přihlášení pomocí otisku prstů se nezdařilo
PurchaseCrateTitle,Zakoupení celého balení
RestrictedItemTitle,Zboží s omezeným prodejem
SecBagAreaBackupTitle,Nahromaděné zboží
SignChargeTitle,Podepište paragon
TakeCardTitle,Odeberte kartu
ContinueTitle,Pokračovat?
ApprovalNeededTitle,Nutné schválení
IncorrectLoginTitle,Nesprávný počet
RecalledItemTitle,Staženo z oběhu
RemovedItemTitle,Upozornění - tašky
SetAllItemsAsideTitle,Dejte zboží stranou
TakeLoyaltyCardTitle,Odeberte věrnostní kartu
UnknownPriceTitle,Cena neznámá
ConfirmEBTAmountTitle,Potvrďte částku
DisconnectedTitle,Odpojeno
ShuttingDown,Vypínání...
NoneText,Není
SMText,Režim zaměstnance
SMLogInReceiptText,Přihlášen do režimu zaměstnance
SMLogOutReceiptText,Odhlášen z režimu zaměstnance
WLDBOffLineText,Databáze hmotností: offline
OperatorIDText,Kód obsluhy: 
SignOnButtonText,Přihlásit
SignOffButtonText,Odhlásit
AlertText,Upozornění:
SuspendInProgressText,Pozastavování...
SuspendLeadthru1,Uživatel si vyžádal pozastavení aktuální transakce.\nPotvrďte tento požadavek nebo jej zrušte.
SuspendLeadthru2,"Přerušili jste aktuální transakci. Potvrďte prosím tento požadavek. Chcete-li pokyn zrušit, stiskněte tlačítko ""Zpět"" a akci zrušte z terminálu SelfServ Checkout."
ReceiptText,Paragon:
SuspendReasonText1,"Pozastavení, důvod: nespecifikován"
CancelSuspendButtonText,Zrušit pozastavení
ConfirmSuspendNowButtonText,Potvrdit pozastavení
ConfirmAllowSuspendButtonText,Povolit \npozastavení
ConfirmSuspendRequestButtonText,Potvrdit požadavek na \npozastavení
CancelSuspendNowButtonText,Zrušit \npozastavení
GoBackButtonText,Zpět
CancelSuspendRequestButtonText,Zrušit požadavek na \npozastavení 
CouponText,Kupóny:
SuspendReasonText2,"Pozastavení, důvod: Kupóny"
CouponReceiptText,"%d kupóny, celkem Kč%0.2f"
SuspendNowButtonText,Pozastavit
RequestSuspendButtonText,Vyžádat pozastavení
NotConnectedText,Nepřipojeno.
ConnectingText,Připojování... počkejte prosím.
ApprovalNeededText,Nutné schválení:
SuspendReasonText3,"Pozastavení, důvod: Jiné"
ClearRequestButtonText,Smazat požadavek
ApproveButtonText,Schválit
RestrictedItemText,Limitované zboží:
SuspendReasonText4,"Pozastavení, důvod: Omezeno"
SecurityLogText,Protokol alarmů:
SuspendReasonText5,"Pozastavení, důvod: Alarm"
SignatureText,Podpis:
SignatureAndNameText,Podpis: %s
ConnectingLeadthru,Připojování k NCR SelfServ Checkout... počkejte prosím.
EnterIDLeadthru,Zadejte už. jméno na klávesnici dole.
EnterPasswordLeadthru,Zadejte heslo na klávesnici dole.
LoggingInLeadthru,Přihlašování... počkejte prosím
ApproveSecurityButtonText,Schválit alarm
ApprovalNeededButtonText,Nutné schválení
VerifySignatureButtonText,Ověřit \npodpis
AllowSuspendButtonText,Povolit pozastavení
MainButtonText,Hlavní
SuspendTransactionButtonText,Pozastavit transakci
ApproveAndCollectButtonText,Schválit a odebrat
ClearApprovalsButtonText,Smazat schválení
BirthDateOver30ButtonText,Věk přes 30
SignAgainButtonText,Podepsat znovu
BackSpaceButtonText,Opravit
EnterButtonText,Potvrdit
LaneNumberText,Pokladna: %d
RAPTitle,Vzdálená schvalovací přepážka\nNCR SelfServ Checkout
CancelSuspendText,Zrušit pozastavení
OtherPaymentSelectedText,"Zvoleno ""Jiné placení"""
CouponCollectionText,Výběr kupónu
PendingSuspendText,Systém čeká na pozastavení
SignatureApprovalText,Schválení podpisu
LaneText,Pokladna č
VideoButtonText,Video
ClearButtonText,Smazat
QuantityButtonText,Množství
FeesAndCustomerAgreementsTitle,Poplatky a smlouvy se zákazníky:
FeesButtonText,Poplatky
CustomerAgreementButtonText,Smlouva se zákazníkem
FeesAndCustomerAgreementsLeadthru,Poplatky a smlouvy se zákazníky
TransactionSuspendedText,Transakce pozastavena
POSMessageText,Zpráva:
ConnectingWaitingText,"Připojování k NCR SelfServ Checkout, počkejte prosím... "
DateOfBirthNotNeededButtonText,Datum není nutné
AssistModeButtonText,Asistenční režim
ClearSecurityButtonText,Smazat alarm
VisualApproveButtonText,Prohlédnout a schválit
CheckAgeTitle,Zkontrolovat věk zákazníka
CouponLimitExceededTitle,Limit pro kupóny byl překročen
VerifyItemAndPriceTitle,Zkontrolujte zboží a cenu
UnknownItemTitle,Neznámé zboží odloženo stranou
ItemNotForSaleTitle,Zboží není na prodej
ItemQuantityExceededTitle,Množství zboží překročeno
TimeRestrictedItemTitle,Zboží s časovým omezením
CheckAgeLeadthru,"Zadejte datum narození %s a stiskněte ""Potvrdit""."
InvalidBirthDateFormatLeadthru,Formát zadaného data je neplatný \nZadejte znovu ve formátu %s.
CouponLimitExceededLeadthru,"Stiskněte ""Schválit"", pokud smí zákazník zanechat kupón u pokladny, nebo stiskněte ""Schválit a odebrat"" a vyberte jej od zákazníka sami."
VisualApproveLeadthru,"Stiskněte tlačítko ""Prohlédnout a schválit"", nebo stiskněte ""Asistenční režim"" k úpravě transakce."
UnknownItemLeadthru,"Odeberte zboží u pokladny a stiskněte ""Smazat alarm"", nebo stiskněte ""Asistenční režim"" k dokončení transakce."
ItemNotForSaleLeadthru,"Odeberte zboží u pokladny a stiskněte ""Smazat alarm""."
OffLineLaneButtonText,Offline
ExitText,Ukončit
EnterDataLaneButtonText,Zadat data
AgeCheckLaneButtonText,Kontrola věku
CouponLaneButtonText,Kupón
VoidLaneButtonText,Storno
VerifyItemLaneButtonText,Zkontrolovat zboží
NotFoundLaneButtonText,Nebylo nalezeno
NoSaleLaneButtonText,Neprodejné
QuantityLaneButtonText,Množství
HelpLaneButtonText,Nápověda
NoInterventionLeadthru,Žádný zásah není v současnosti nutný.
OffLineLeadthru,Pokladna je offline a systém se automaticky snaží navázat spojení. 
CancelRequestButtonText,Zrušit požadavek
HelpRequestTitle,Žádost o pomoc
SecurityLaneButtonText,Zabezpečení 
VoidLeadthru,"Odeberte stornované zboží a stiskněte ""Schválit storno""."
ApproveVoidButtonText,Schválit storno
SecurityLeadthru,Zkontrolujte bezpečnost transakce zákazníka a stiskněte „Smazat alarm“.
SecurityViolationText,Narušení bezpečnosti
OtherPaymentText,"Zvoleno ""Jiné placení"" "
SuspendTransactionLeadthru,"Stiskněte tlačítko ""Pozastavit transakci"" a přijměte platbu."
EASText,Aktivní bezpečnostní visačka.
DeactivateLeadthru,"Deaktivujte zboží nebo sejměte visačku a stiskněte ""Smazat alarm""."
CompareSignatureTitle,Porovnání podpisů
CompareSignatureLeadthru,"Porovnejte podpisy a stiskněte ""Schválit"" nebo ""Podepsat znovu""."
EnterPriceLeadthru,"Zadejte cenu zboží a stiskněte tlačítko ""Potvrdit""."
UtilityButtonText,Nástroje
ReturnToMainButtonText,Návrat do hlavní nabídky
GetDiagFilesButtonText,Načíst diag soubory
CouponApprovalLeadthru,"Vyzvedněte kupóny od zákazníka u schvalovací přepážky a stiskněte tlačítko ""Schválit""."
RebootSystemButtonText,Restartovat celý systém
ShutDownSystemButtonText,Vypnout celý systém
LaneStatusTitle,Stav pokladny
LaneStatusLeadthru,Zvolte funkci.
AgeRestrictedText,Zboží s věkovým limitem; věk %2d let
BirthdateEnterText,"Zadané datum narození:%2d/%2d/%4d,%d let"
HelpRequestLeadthru,"Pomozte zákazníkovi a stiskněte tlačítko ""Zrušit požadavek""."
TotalText,Celkem:
ItemText,Zboží:
MultimediaTrainingText,Instruktáž
VolumeControlButtonText,Hlasitost
SecurityViolationNumText,Narušení bezpečnosti:
ItemPurchasedText,Zakoupené zboží: 
EnterPriceTitle,Zadání ceny
CancelTransactionGenericTitle,Zrušení transakce
CancelTransactionGenericLeadthru,"Stiskem ""Ano"" zrušíte transakci stiskem ""Ne"" v ní můžete pokračovat."
YesButtonText,Ano
NoButtonText,Ne
ConfirmSuspendTitle,"Pozastavení, důvod:"
ConfirmSuspendLeadthru,Potvrďte pozastavení.
ConfirmSuspendButtonText,Potvrdit pozastavení
IncorrectItemWeightTitle,Nesprávná hodnota na bezpečnostní váze.
IncorrectItemWeightLeadthru,"Odeberte zboží a stiskněte tlačítko ""Smazat alarm"" nebo stiskněte ""Schválit a aktualizovat hmotnost""."
ApproveUpdateButtonText,Schválit a aktualizovat hmotnost
UnexpectedIncreaseTitle,Neočekávané zboží na bezpečnostní váze.
UnexpectedIncreaseLeadthru,"Jděte k pokladně, odeberte přebývající zboží a stiskněte ""Smazat alarm""."
SkipBaggingBtnThresholdLeadthru,"Zkontrolujte zboží u pokladny a stiskněte ""Smazat alarm""."
NewWeightItemTitle,Chybí záznam o hmotnosti zboží. 
NewWeightItemLeadthru,"Zkontrolujte hmotnost zboží a stiskněte tlačítko ""Schválit a aktualizovat hmotnost"" nebo stiskněte ""Schválit bez aktualizace""."
ApproveNoUpdateButtonText,Schválit bez aktualizace. 
BagItemTimerExpiredTitle,Na bezpečnostní váze byla očekávána zátěž.
TakeChangeTimerExpiredTitle,Vyzvedněte drobné
TakeChangeTimerExpiredBottomCaption,Limit vypršel
PickingUpItemsTimerExpiredTitle,Zboží nebylo vráceno do taškové zóny.
DeviceFailureTitle,Porucha přístroje 
DeviceFailureLeadthru,Jděte k pokladně a zkontrolujte přístroj.
WLDBFailureTitle,Váhová DB nekomunikuje správně.
WLDBFailureLeadthru,Zkontrolujte komunikaci.
UnexpectedDecreaseTitle,Zboží odebráno z taškové zóny.
ClosedLaneTitle,Jděte k pokladně a otevřete ji přihlášením do režimu zaměstnance.
ClosedLaneLeadthru,Pokladna uzavřena
BagAreaBackupTitle,Nahromaděné zboží na pásu
BagAreaBackupLeadthru,Odstraňte nahromaděné zboží na pásu.
MinimumAgeText,let minimálně.
SafetyCoverOpenLeadthru,Odeberte všechno zboží z pásu a zavřete bezpečnostní kryt.
VerifySignatureLeadthru,Porovnejte podpis zákazníka s podpisem na kartě.
AssistedTenderTitle,Platba prováděná s obsluhou
AssistedTenderLeadthru,K přijmutí šeku od zákazníka použijte asistenční režim.
AssistedTenderHHLeadthru,Platbu přijměte na stanici obsluhy.
AssistedEndorsementLeadthru,Nutný podpis. Vyčkejte prosím na obsluhu.
StartTransactionButtonText,Zahájit transakci
StartTransactionTitle,Funkce prováděné s obsluhou
StartTransactionLeadthru,Zvolte požadovanou funkci.
StartTransactionAMButtonText,Spustit asistenci
ItemsForgottenTitle,Na taškové váze \nzůstává zátěž.
InsertCouponTimerExpiredTitle,Vložit kupón
CollectGiftCardTitle,Odebrat dárkovou kartu
HostOfflineLeadthru,Pokladna je offline a systém se snaží navázat spojení.
SpaceButtonText,Mezerník
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tMnož. %s po %s/ks\t%s
LaneReceiptItemType4,%s\t%s\tMnož. %s po %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss po %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss po %s/%s\t%s
CloseLaneButtonText,Zavřít pokladnu
ReportingButtonText,Sestavy
KeyInCodeTitle,Zadejte kód
KeyInCodeLeadthru,"Zadejte kód zboží a stiskněte tlačítko ""OK""."
VoidItemButtonText,Stornovat zboží
ChangePriceButtonText,Změna ceny
ChangeQuantityButtonText,Změna množství
ReturnToShoppingButtonText,Zpět
BasicAssistModeTitle,Asistenční funkce
BasicAssistModeLeadthru,Načtěte zboží nebo zvolte funkci.
ChangePriceTitle,Změna ceny
KeyInPriceLeadthru,Zadejte cenu pro:  %d %s
VoidAllButtonText,Stornovat vše
VoidItemTitle,Stornovat zboží
VoidItemLeadthru,"Načtěte zboží nebo je vyhledejte na paragonu a stiskněte ""Stornovat zboží"" nebo ""Stornovat vše""."
ChangeQuantityTitle,Změna množství
KeyInQuantityLeadthru,Zadejte množství pro: %s
FullAssistButtonText,Plná asistence
CloseButtonText,Zavřít
UpdateItemLeadthru,"Vyhledejte zboží na paragonu a stiskněte ""Potvrdit""."
OKButtonText,OK
CouponNoMatchLeadthru,Kupón neodpovídá žádnému zboží na paragonu. Tento kupón nelze akceptovat.
CouponTooHighLeadthru,"Částka, kterou jste zadali za tento kupón, je příliš vysoká. Tento systém nemůže daný kupón přijmout."
EnterCouponValueLeadthru,"Zadejte hodnotu kupónu v haléřích a stiskněte ""Potvrdit""."
ItemQuantityExceededLeadthru,"Překročili jste množství, které je u tohoto zboží povoleno. Odložte výrobek stranou a pokračujte."
ProcessingLeadthru,Probíhá zpracování... počkejte prosím.
VoidNoMatchLeadthru,"Načtené zboží není v evidenci. Dosud nebylo zakoupeno, nebo už bylo stornováno."
ConfirmAbortLeadthru,Chcete zastavit účtování a celý nákup zrušit?
ContinueTransLeadthru,Chcete pokračovat v nákupu?
ConfirmQuantityTitle,Potvrďte množství
ConfirmVoidTitle,Potvrdit zrušení
CouponNoMatchTitle,Neodpovídající kupón
CouponTooHighTitle,Kupón má příliš vysokou hodnotu
CrateableItemTitle,Zakoupení celého balení
EnterCouponValueTitle,Zadejte hodnotu kupónu
EnterQuantityLeadthru,"Zadejte množství a stiskněte tlačítko ""Potvrdit""."
EnterWeightTitle,Zvážení zboží
EnterWeightLeadthru,Jděte k pokladně a položte zboží na váhu.
AMItemQuantityExceededTitle,Limit množství
ProcessingTitle,Zpracování...
SelectContainerTitle,Vyberte krabičku
SelectContainerLeadthru,"Vyberte krabičku ze seznamu a stiskněte ""Potvrdit""."
VoidNoMatchTitle,Zboží nelze zrušit
ConfirmAbortTitle,Zrušení všeho zboží
ContinueTransTitle,Pokračovat?
ScaleBrokenTitle,Vynulovat váhu
ScaleBrokenLeadthru,"Dejte zboží z váhy a stiskněte tlačítko ""Vynulovat váhu"" na čtečce."
UpdateNotAllowedTitle,Zboží nelze aktualizovat
UpdateNotAllowedLeadthru,Změna množství u váženého zboží není povolena.
SmEnterBirthdateTitle,Limitované zboží
SmEnterBirthdateLeadthru,Zadejte datum narození zákazníka
SmVisualItemsTitle,Vizuální kontrola
SmVisualItemsLeadthru,Schválit zboží vyžadující vizuální kontrolu
SmCouponItemsTitle,Schválit použité kupóny
SmCouponItemsLeadthru,Zkontrolujte použité kupóny
SmRestrictedItemsTitle,Limitované zboží
SmRestrictedItemsLeadthru,Zvolte požadovanou funkci.
KeyInBirthDateButtonText,Zadejte datum
KeyInCodeButtonText,Zadejte \nkód
SmRunReportsTitle,Obsah sestavy
PrintReportButtonText,Tisk sestavy
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Zboží s omezeným prodejem
AM_RestrictedNotAllowedLeadthru,Zboží s omezeným prodejem zrušeno – věkový limit nebyl splněn. \n\nOdložte zboží stranou.
TransactionCancelTitle,Zrušení transakce
TransactionCancelLeadThru,Transakce zrušena. Odeberte zboží z \ntéto pokladny.
OutOfSyncNeedAssistTitle,ASISTENCE
OutOfSyncNeedAssistLeadthru,"Server nesynchronní, přejděte do asistenčního režimu a synchronizujte."
OutOfSyncStopTitle,RESTARTOVÁNÍ
OutOfSyncStopLeadthru,Server prodejny je mimo provoz nebo není synchronizován; vypněte prosím terminál pomocí přepínače.
MultiPackItemTitle,Kontrola vícedílného balení
MultiPackItemLeadthru,"Pokud je zboží ve vícedílném balení, stiskněte tlačítko ""Asistenční režim"" a stornujte je, a poté načtěte kód vícedílného balení."
CancelActionButtonText,Zrušit akci
EnterIDFpLeadthru,"Přihlaste se zadáním kódu uživatele a stiskem ""Potvrdit"", nebo položte prst na čtečku otisků."
ReEnterIDFpLeadthru,Neplatné přihlášení. Přihlaste se znovu pomocí klávesnice nebo otisku prstů.
HH_SuspendLeadthru1,Pozastavit aktuální transakci? Potvrďte nebo zrušte.
HH_SuspendLeadthru2,"Aktuální transakce pozastavena. Potvrďte. Chcete-li akci zrušit, stiskněte ""Zpět"" a zrušte ji."
HH_ReEnterIDLeadthru,Nesprávné jméno nebo heslo. Zadejte znovu na klávesnici.
HH_CheckAgeLeadthru,"Zadejte datum narození %s a stiskněte ""Potvrdit""."
HH_CouponLimitExceededLeadthru,"""Schválit"" – kupóny u pokl. nebo ""Schválit a odebrat"" – vybrat od zák."
HH_VisualApproveLeadthru,"Ke změně transakce stiskněte ""Prohlédnout a schválit"" nebo ""Asistenční režim""."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Odeberte položku a k dokončení stiskněte ""Smazat alarm"" nebo ""Asistenční režim""."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Odeberte u pokladny a ""Smazat alarm""."
HH_NoInterventionLeadthru,Žádný zásah není nutný.
HH_OffLineLeadthru,Pokladna je offline. Systém se pokouší obnovit připojení.
HH_InvalidBirthDateFormatLeadthru,Formát data je neplatný \nZadejte ve formátu %s.
HH_VoidLeadthru,"Odeberte stornované zboží a ""Schválit storno""."
HH_SuspendTransactionLeadthru,"Transakci pozastavíte stiskem ""Pozastavit trans""."
HH_DeactivateLeadthru,"Deaktivujte zboží nebo sejměte visačku a stiskněte ""Smazat alarm""."
HH_CompareSignatureLeadthru,"Porovnejte podpisy a ""Schválit"" nebo ""Podepsat znovu""."
HH_EnterPriceLeadthru,"Zadejte cenu zboží a ""Potvrdit""."
HH_CouponApprovalLeadthru,"Přijměte kupóny od zákazníka a stiskněte ""Schválit""."
HH_HelpRequestLeadthru,"Pomozte zákazníkovi a stiskněte ""Zrušit požadavek""."
HH_CancelTransactionGenericLeadthru,"Stiskem ""Ano"" zrušíte transakci, stiskem ""Ne"" můžete pokračovat."
HH_IncorrectItemWeightLeadthru,"Odeberte zboží a stiskněte ""Smazat alarm"" nebo ""Schválit a aktualizovat hmotnost""."
HH_UnexpectedIncreaseLeadthru,"Odeberte u pokladny nadbytečné zboží a stiskněte ""Smazat alarm""."
HH_SkipBaggingBtnThresholdLeadthru,"Zkontrolujte zboží u pokladny a stiskněte ""Smazat alarm""."
HH_NewWeightItemLeadthru,"Zkontrolujte hmotnost a stiskněte ""Schválit a aktualizovat hmotnost"" nebo ""Schválit bez aktualizace""."
HH_SafetyCoverOpenLeadthru,Odstraňte všechno zboží z pásu. Zavřete bezpečnostní kryt.
HH_VerifySignatureLeadthru,Porovnejte podpis zákazníka s podpisem na kartě.
HH_AssistedEndorsementLeadthru,Nutný podpis. Vyčkejte na obsluhu.
HH_HostOfflineLeadthru,Pokladna je offline. Systém se pokouší obnovit připojení.
HH_KeyInCodeLeadthru,"Zadejte kód zboží a ""Potvrdit""."
HH_VoidItemLeadthru,"Načtěte zboží nebo je vyhledejte na paragonu. ""Stornovat zboží"" nebo ""Stornovat vše""."
HH_UpdateItemLeadthru,"Vyhledejte zboží na paragonu a stiskněte ""Potvrdit""."
HH_CouponNoMatchLeadthru,Kupón neodpovídá žádnému zboží na paragonu. Kupón nebyl akceptován. 
HH_CouponTooHighLeadthru,Kupón má příliš vysokou hodnotu. Systém toto nemůže přijmout.
HH_ItemQuantityExceededLeadthru,Povolené množství překročeno. \n\nOdložte zboží stranou a pokračujte.
HH_VoidNoMatchLeadthru,Načtené zboží není v evidenci. Dosud nebylo zakoupeno nebo bylo stornováno.
HH_ConfirmAbortLeadthru,Chcete zastavit kontrolu nákupu a celý nákup zrušit?
HH_ContinueTransLeadthru,Pokračovat v nákupu? 
HH_EnterQuantityLeadthru,"Zadejte množství a ""Potvrdit""."
HH_SelectContainerLeadthru,"Vyberte krabičku ze seznamu a stiskněte ""Potvrdit""."
HH_ScaleBrokenLeadthru,"Dejte zboží z váhy a stiskněte ""Vynulovat váhu"" na čtečce."
HH_UpdateNotAllowedLeadthru,Změna množství není povolena.
HH_AM_RestrictedNotAllowedLeadthru,Zboží zrušeno – věkový limit nebyl splněn. Odložte zboží stranou.
HH_OutOfSyncNeedAssistLeadthru,"Server nesynchronní, synchronizujte v ""Asistenční režim""."
HH_OutOfSyncStopLeadthru,Server je mimo provoz nebo nesynchronní; vypněte terminál vypínačem.
HH_MultiPackItemLeadthru,"Pokud jde o vícedílné balení, stornujte a načtěte kód balení."
HH_ReturnToShoppingButtonText,Návrat
DoneButtonText,Hotovo
ConfirmSuspendFromLaneStatusLeadthruText,Potvrďte nebo zrušte pozastavení.
HH_SuspendTransactionButtonText,Pozastavit trans
HH_TransactionCancelTitle,Zrušení transakce
HH_TransactionCancelLeadThru,Transakce zrušena. Odeberte zboží z této pokladny.
ShiftButtonText,Shift
FixLaterButtonText,Vyřešit později
HopperLaneButtonText,Mince jsou nahrazovány jinými
HopperLeadThru,"%s Jděte k pokladně a doplňte mince, uvolněte zaseknutý materiál nebo pokračujte stiskem tlačítka ""Vyřešit později""."
TransactionCountText,Počet:
SecurityDisableText,Zabezpečení vypnuto
SecurityDisableButtonOn,Zapnout
SecurityDisableButtonOff,Vypnout
SecurityDisableStatusTextOn,Váha tašek zapnuta
SecurityDisableStatusTextOff,Váha tašek vypnuta
SuspendDeclinedLaneButtonText,Pozastavení odmítnuto
ConfirmSuspendDeclinedLeadthru,Potvrďte nebo zrušte odmítnutí pozastavení.
ConfirmSuspendDeclinedButtonText,Potvrdit odmítnutí
CancelSuspendDeclinedButtonText,Zpět
TMTransLeadthru,Pokladna je ve cvičném režimu.\nPokračovat v transakci?
HH_TMTransLeadthru,Pokladna je ve cvičném režimu. \nPokračovat v transakci?
TMTransLaneButtonText,Cvičná tran.
DateFormat1,(mmddrrrr)
DateFormat2,(mmddrr)
DateFormat3,(ddmmrrrr)
DateFormat4,(ddmmrr)
DateFormat5,(rrrrmmdd)
DateFormat6,(rrmmdd)
GoBackCouponButtonText,Zpět
ApproveCouponButtonText,Schválit kupón
CouponExceededLimitLeadthru,"Stiskem tlačítka ""Schválit kupón"" kupón přijměte nebo přejděte do asistenčního režimu a stornujte jej."
CouponExceededLimitFinalizationLeadthru,"K transakci byl použit kupón s vyšší hodnotou, než je limit obchodu."
ClearSecurityFinalizationButtonText,Smazat alarm
ExpandReceiptButtonText,Rozbalit paragon
