AmountSaved,Iznos Ušteđen
StartTransactionButtonText,Početak Prijenosa
StartTransactionTitle,Funkcije podrške operatera
StartTransactionLeadthru,Odaberite željenu funkciju.
StartTransactionAMButtonText,Pokreni i Podrška
ItemsForgottenTitle,Težina ostaje \nna vagi za pakiranje.
InsertCouponTimerExpiredTitle,Umetnite Kupon
CollectGiftCardTitle,Skupljajte Poklon-karticu
HostOfflineLeadthru,Traka nije spojena na mrežu (offline) i sustav se pokušava ponovo spojiti..
SpaceButtonText,Prostor
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tKol %s @ %s/svaki\t%s
LaneReceiptItemType4,%s\t%s\tKol %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Zatvori traku
ReportingButtonText,Izvještavanje
KeyInCodeTitle,Utipkajte Kod
KeyInCodeLeadthru,"Utipkajte kod proizvoda i pritisnite ""OK""."
VoidItemButtonText,Poništite Proizvod
ChangePriceButtonText,Promjena cijene
ChangeQuantityButtonText,Promjena količine
ReturnToShoppingButtonText,Povratak na Postupak kupovine
BasicAssistModeTitle,Pomoćne funkcije
BasicAssistModeLeadthru,Skenirajte proizvod ili izaberite funkciju.
ChangePriceTitle,Promijenite cijenu
KeyInPriceLeadthru,Unesite cijenu za: %d %s
VoidAllButtonText,Poništite Sve
VoidItemTitle,Poništi proizvode
VoidItemLeadthru,"Skenirajte ili pomaknite sadržaj na računu do proizvoda i pritisnite ""Poništite Proizvod"" ili ""Poništite Sve""."
ChangeQuantityTitle,Promijenite količinu
KeyInQuantityLeadthru,Unesite količinu za: %s
FullAssistButtonText,Puna podrška
CloseButtonText,Zatvori
UpdateItemLeadthru,"Pomaknite sadržaj na računu do proizvoda i pritisnite ""Unesite""."
OKButtonText,OK
CouponNoMatchLeadthru,Kupon ne odgovara niti jednom proizvodu na računu. Nije moguće prihvatiti ovaj kupon.
CouponTooHighLeadthru,Iznos koji ste unijeli za ovaj kupon je previsok. Ovaj sustav ne može prihvatiti ovaj kupon.
EnterCouponValueLeadthru,"Umetnite vrijednost kupona u centima i pritisnite tipku ""Unesite""."
ItemQuantityExceededLeadthru,Prekoračili ste dopuštenu količinu za ovaj proizvod.  Molimo stavite ga sa strane i nastavite.
ProcessingLeadthru,Obrada...Molim vas pričekajte.
VoidNoMatchLeadthru,"Nemože se naći skeniran proizvod. Još nije bio kupljen, ili je već bio poništen."
ConfirmAbortLeadthru,Dali želite zaustaviti odjavu i izbrisati vašu cijelu kupovinu?
ContinueTransLeadthru,Želite li nastaviti sa kupovinom?
ConfirmQuantityTitle,Potvrdite Količinu
ConfirmVoidTitle,Potvrdite Poništenje
CouponNoMatchTitle,Neodgovarajući Kupon
CouponTooHighTitle,Kupon je Previše Visok
CrateableItemTitle,Kupovinska Košara za pakiranje
EnterCouponValueTitle,Unesite vrijednost kupona
EnterQuantityLeadthru,"Utipkajte količinu i pritisnite ""Unesite""."
EnterWeightTitle,Izmjerite Proizvod
EnterWeightLeadthru,Otiđite na traku i stavite proizvod na vagu.
AMItemQuantityExceededTitle,Ograničenje Količine
ProcessingTitle,Obrada...
SelectContainerTitle,Odaberite Spremnik
SelectContainerLeadthru,"Odaberite spremnik sa liste i  pritisnite ""Unesite""."
VoidNoMatchTitle,Nemože se Poništiti Proizvod
ConfirmAbortTitle,Poništite Sve Proizvode
ContinueTransTitle,Nastaviti?
ScaleBrokenTitle,Ponovo Postavite Vagu
ScaleBrokenLeadthru,"Sklonite proizvod s vage, i pritisnite tipku ""Vaga na Nuli"" na skeneru."
UpdateNotAllowedTitle,Nije moguće ažurirati proizvod
UpdateNotAllowedLeadthru,Promjena količine za vagani proizvod nije dopuštena.
SmEnterBirthdateTitle,Ograničeni Proizvodi
SmEnterBirthdateLeadthru,Unesite datum rođenja kupca
SmVisualItemsTitle,Vizualni Dokaz Valjanosti
SmVisualItemsLeadthru,Potvrda vizualno vrednovanih proizvoda
SmCouponItemsTitle,Priznajte korištene kupone
SmCouponItemsLeadthru,Provjerite korištene kupone
SmRestrictedItemsTitle,Ograničeni Proizvodi
SmRestrictedItemsLeadthru,Odaberite željenu funkciju.
KeyInBirthDateButtonText,Unesite datum
KeyInCodeButtonText,Utipkajte \nKod
SmRunReportsTitle,Sadržaj izvještaja
PrintReportButtonText,Ispis Izvještaja
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Ograničen Proizvod.
AM_RestrictedNotAllowedLeadthru,Ograničen proizvod bio je poništen – starosna granica nije sastala. \n\nMolim vas stavite proizvod sa strane.
TransactionCancelTitle,Transakcija Poništena
TransactionCancelLeadThru,Transakcija je poništena. Uklonite proizvode sa \nblagajne.
OutOfSyncNeedAssistTitle,PODRŠKA/POMOĆ
OutOfSyncNeedAssistLeadthru,"MP (mjesto prodaje) nije sinkronizirano, molimo otiđite u Postupak podrške radi ponovnog sinkroniziranja."
OutOfSyncStopTitle,PONOVO POKRENITE SUSTAV
OutOfSyncStopLeadthru,"Server MP (mjesta prodaje) je pao ili  nije sinkroniziran, molimo ugasite terminal pomoću prekidača."
MultiPackItemTitle,Provjeri višestruko pakiranje
MultiPackItemLeadthru,"Ako je proizvod višestruko pakiranje, pritisnite ""Postupak podrške"" i poništite ga, zatim skenirajte bar kod višestrukog pakiranja."
CancelActionButtonText,Poništite Djelo
EnterIDFpLeadthru,"Utipkajte svoj korisnički ID i pritisnite ""Unesite"", ili stavite prst na čitač otisaka da biste se prijavili."
ReEnterIDFpLeadthru,Nevažeća prijava. Molimo prijavite se ponovo koristeći tipkovnicu ili svoj otisak prsta.
HH_SuspendLeadthru1,Želite li prekinuti trenutnu transakciju? Potvrdi ili Poništi.
HH_SuspendLeadthru2,"Trenutna transakcija je prekinuta. Potvrdi. Za poništenje, pritisnite ""Vrati se natrag"" i poništite."
HH_ReEnterIDLeadthru,Neispravan ID ili lozinka. Molimo ponovo utipkajte.
HH_CheckAgeLeadthru,"Utipkajte datum rođenja %s i dotaknite ""Unesite""."
HH_CouponLimitExceededLeadthru,"""Potvrdi"" za kupone na blagajni ili ""Potvrdi i skupi"" za preuzimanje kupona od kupca."
HH_VisualApproveLeadthru,"""Vizualno odobrenje"" ili ""Postupak podrške"" za izmjene transakcije."
HH_VisualApproveLeadthru2,"""Vizualno odobrenje"" ili ""Postupak podrške"" at Lane to modify."
HH_UnknownItemLeadthru,"Pokupite proizvod, ""Očisti zaštitu"" ili ""Postupak podrške"" da biste dovršili."
HH_UnknownItemLeadthru2,"Pokupite proizvod, ""Očisti zaštitu"" ili use ""Postupak podrške"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Pokupite proizvod na traci i ""Ocisti zaštitu""."
HH_NoInterventionLeadthru,Nije potrebna intervencija.
HH_OffLineLeadthru,Traka nije spojena na mrežu (offline). Sustav se pokušava ponovo spojiti.
HH_InvalidBirthDateFormatLeadthru,Format datuma je nevažeći\nUnesite format %s.
HH_VoidLeadthru,"Pokupite poništeni proizvod i ""Potvrdi poništenje""."
HH_SuspendTransactionLeadthru,"Pritisnite ""Prekini trans"" za prekid transakcije."
HH_DeactivateLeadthru,"Deaktivirajte proizvod ili uklonite tvrdu etiketu i zatim ""Očisti zaštitu""."
HH_CompareSignatureLeadthru,"Usporedite potpise i pritisnite ""Potvrdi"" ili ""Potpišite se ponovo""."
HH_EnterPriceLeadthru,"Unesite cijenu proizvoda i pritisnite ""Unesite""."
HH_CouponApprovalLeadthru,"Prihvatite kupone kupca i ""Potvrdi""."
HH_HelpRequestLeadthru,"""Poništi zahtjev"" nakon pomaganja kupcu."
HH_CancelTransactionGenericLeadthru,"""Da"" za poništenje transakcije ili ""Ne"" za nastavak."
HH_IncorrectItemWeightLeadthru,"Uklonite proizvod pa ""Očisti zaštitu"" ili ""Potvrdi i Ažuriraj težinu""."
HH_UnexpectedIncreaseLeadthru,"Uklonite sve suvišne proizvode na traci i ""Očisti zaštitu""."
HH_SkipBaggingBtnThresholdLeadthru,"Provjerite proizvode na traci i i ""Očisti zaštitu""."
HH_NewWeightItemLeadthru,"Provjerite težinu i ""Potvrdi i ažuriraj težinu"" ili ""Potvrdi/Nije ažurirano""."
HH_SafetyCoverOpenLeadthru,Uklonite sve proizvode s trake. Zatvorite sigurnosni poklopac.
HH_VerifySignatureLeadthru,Usporedite potpis kupca s onim na kartici.
HH_AssistedEndorsementLeadthru,Potrebna je Ovjera. Pričekajte do pomoći operatera.
HH_HostOfflineLeadthru,Traka nije spojena na mrežu (offline). Sustav se pokušava ponovo spojiti.
HH_KeyInCodeLeadthru,"Unesite kod proizvoda i ""Unesite""."
HH_VoidItemLeadthru,"Skenirajte ili pomaknite sadržaj na računu do proizvoda. ""Poništite Proizvod"" ili ""Poništite Sve""."
HH_UpdateItemLeadthru,"Pomaknite sadržaj računa do proizvoda i ""Unesite""."
HH_CouponNoMatchLeadthru,Kupon ne odgovara niti jednom proizvodu na računu. Kupon nije prihvaćen.
HH_CouponTooHighLeadthru,Iznos kupona je previsok. Sustav ne može prihvatiti.
HH_ItemQuantityExceededLeadthru,Dopuštena količina je prekoračena. \n\nStavite proizvod sa strane i nastavite.
HH_VoidNoMatchLeadthru,Nemože se naći skeniran proizvod. Proizvod nije kupljen ili je poništen.
HH_ConfirmAbortLeadthru,Želite li prekinuti provjeru i odustati od  kupovine?
HH_ContinueTransLeadthru,Želite li nastaviti s kupovinom?
HH_EnterQuantityLeadthru,"Unesite količinu i pritisnite ""Unesite""."
HH_SelectContainerLeadthru,"Odaberite spremnik sa liste i ""Unesite""."
HH_ScaleBrokenLeadthru,"Uklonite proizvod s vage i ""Vaga na Nuli"" na skeneru."
HH_UpdateNotAllowedLeadthru,Promjena količine nije dopuštena.
HH_AM_RestrictedNotAllowedLeadthru,Ograničeni proizvod poništen - nije zadovoljena dobna granica. Postavite proizvod sa strane.
HH_OutOfSyncNeedAssistLeadthru,"MP (mjesto prodaje) nije sinkronizirano, ""Postupak podrške"" za ponavljanje sinkronizacije."
HH_OutOfSyncStopLeadthru,"Server MP (mjesto prodaje) je pao ili nije sinkroniziran, isključite terminal pomoću prekidača."
HH_MultiPackItemLeadthru,"Ako se radi o višestrukom pakiranju, ""Postupak podrške"", poništite, zatim skenirajte bar kod višestrukog pakiranja."
HH_ReturnToShoppingButtonText,Povratak
DoneButtonText,Gotovo
ConfirmSuspendFromLaneStatusLeadthruText,Potvrdi ili poništi obustavu.
HH_SuspendTransactionButtonText,Prekini trans
HH_TransactionCancelTitle,Transakcija Poništena
HH_TransactionCancelLeadThru,Transakcija je poništena. Uklonite proizvode sa blagajne.
ShiftButtonText,Pomicati
FixLaterButtonText,Popravi kasnije
HopperLaneButtonText,Zamjena kovanica
HopperLeadThru,"%sZa nastavak, idite na traku i umetnite kovanice ili uklonite zaglavljenje ili pritisnite ""Popravi kasnije""."
TransactionCountText,Zbroj:
SecurityDisableText,Zaštita onemogućena
SecurityDisableButtonOn,Uključite
SecurityDisableButtonOff,Isključite
SecurityDisableStatusTextOn,Zaštita pakiranja je uključena
SecurityDisableStatusTextOff,Zaštita pakiranja je isključena
SuspendDeclinedLaneButtonText,Odbijena obustava
ConfirmSuspendDeclinedLeadthru,Potvrdi ili Poništi Odbijanje prekida.
ConfirmSuspendDeclinedButtonText,Potvrdi Odbijanje
CancelSuspendDeclinedButtonText,Vrati se natrag
