AmountSaved,Úspora
WLDBOffLineText,Databáza hmotnosti: off-line
OperatorIDText,Kód obsluhy:  
SignOnButtonText,Prihlásit
SignOffButtonText,Odhlásit
AlertText,Upozornenia:
SuspendInProgressText,Beží pozastavovanie
SuspendLeadthru1,Užívatel si vyžiadal pozastavenie aktuálnej transakcie. \nPotvrdte túto požiadavku alebo ju zrušte.
SuspendLeadthru2,"Prerušili ste aktuálnu transakciu. Potvrdte túto požiadavku. Ak chcete pokyn zrušit, stlacte tlacidlo ""Spät"" a zrušte z terminálu samoobslužnej pokladne NCR."
ReceiptText,Úctenka:
SuspendReasonText1,Pozastavenie: Dôvod neurcený
CancelSuspendButtonText,Zrušit pozasta-venie
ConfirmSuspendNowButtonText,Potvrdit pozastavenie \nTeraz
ConfirmAllowSuspendButtonText,Potvrdit \npozastavenie
ConfirmSuspendRequestButtonText,Potvrdit požiadavku \nna pozastavenie
CancelSuspendNowButtonText,Zrušit pozastavenie \nTeraz
GoBackButtonText,Spät
CancelSuspendRequestButtonText,Zrušit požiadavku \nna pozastavenie
CouponText,Kupóny:
SuspendReasonText2,Pozastavenie: dôvod – kupóny
CouponReceiptText,"%d kupóny, spolu $%.2f"
SuspendNowButtonText,Teraz pozastavit
RequestSuspendButtonText,Vyžiadat pozastavenie
NotConnectedText,Nepripojené.
ConnectingText,Pripájanie... Cakajte
ApprovalNeededText,Je potrebné schválenie:
SuspendReasonText3,Pozastavenie: dôvod – iný
ClearRequestButtonText,Vymazat požiadavku
ApproveButtonText,Schválit
RestrictedItemText,Limitovaný tovar:
SuspendReasonText4,Pozastavenie: dôvod – obmedzenie
SecurityLogText,Protokol alarmov:
SuspendReasonText5,Pozastavenie: dôvod – alarm
SignatureText,Podpis:
SignatureAndNameText,Podpis: %s
ConnectingLeadthru,Pripájanie k samoobslužnej pokladni NCR... Cakajte
EnterIDLeadthru,Zadajte prihlasovacie meno na klávesnici dolu:
EnterPasswordLeadthru,Zadajte heslo na klávesnici dolu:
LoggingInLeadthru,Prihlasovanie... Cakajte
ApproveSecurityButtonText,Schválit \nalarm
ApprovalNeededButtonText,Je potrebné schválenie.
VerifySignatureButtonText,Overit \npodpis
AllowSuspendButtonText,Povolit pozastavenie
MainButtonText,Hlavné
SuspendTransactionButtonText,Pozastavit transakciu
ApproveAndCollectButtonText,Schválit a zobrat
ClearApprovalsButtonText,Vymazat schválenia
BirthDateOver30ButtonText,Vek nad 30
SignAgainButtonText,Znova podpísat
BackSpaceButtonText,Backspace
EnterButtonText,Enter
LaneNumberText,Pokladna: %d
RAPTitle,Samoobslužná pokladna NCR\nStanica dialkového schválenia
CancelSuspendText,Zrušit pozastavenie
OtherPaymentSelectedText,Zvolená iná platba
CouponCollectionText,Zber kupónov
PendingSuspendText,Caká sa na pozastavenie
SignatureApprovalText,Schválenie podpisu
LaneText,Pokladna c.
VideoButtonText,Video
ClearButtonText,Vymazat
QuantityButtonText,Množstvo
FeesAndCustomerAgreementsTitle,Poplatky a zmluvy so zákazníkmi:
FeesButtonText,Poplatky
CustomerAgreementButtonText,Zmluva so zákazníkom
FeesAndCustomerAgreementsLeadthru,Poplatky a zmluvy so zákazníkmi
TransactionSuspendedText,Transakcia je pozastavená
POSMessageText,Hlásenie POS:
ConnectingWaitingText,"Cakajte, pripájanie k samoobslužnej pokladni NCR..."
DateOfBirthNotNeededButtonText,Dátum netreba
AssistModeButtonText,Režim pomoci
ClearSecurityButtonText,Vymazat alarm
VisualApproveButtonText,Prezriet a schválit
CheckAgeTitle,Overit vek zákazníka
CouponLimitExceededTitle,Prekrocený limit pre kupóny
VerifyItemAndPriceTitle,Skontrolovat tovar a cenu
UnknownItemTitle,Neznámy tovar odložený nabok
ItemNotForSaleTitle,Tovar nie je na predaj
ItemQuantityExceededTitle,Prekrocené množstvo tovaru
TimeRestrictedItemTitle,Tovar s casovým obmedzením
CheckAgeLeadthru,"Zadajte dátum narodenia {0} a stlačte ""Enter""."
InvalidBirthDateFormatLeadthru,Formát zadaného dátumu je neplatný \nZadajte znova vo formáte %s.
CouponLimitExceededLeadthru,"Stlacte tlacidlo ""Schválit"", aby mohol zákazník odovzdat kupón v pokladni, alebo stlacte ""Schválit a zobrat"" a zoberte ho od zákazníka."
VisualApproveLeadthru,"Stlacte tlacidlo ""Prezriet a schválit"" alebo ""Režim pomoci"" a upravte transakciu."
UnknownItemLeadthru,"Zoberte tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm"" alebo stlacte ""Režim pomoci"" pre dokoncenie transakcie."
ItemNotForSaleLeadthru,"Zoberte tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm"". "
OffLineLaneButtonText,Offline
ExitText,Ukoncit
EnterDataLaneButtonText,Zadat dáta
AgeCheckLaneButtonText,Kontrola veku
CouponLaneButtonText,Kupón
VoidLaneButtonText,Storno
VerifyItemLaneButtonText,Skontrolovat tovar
NotFoundLaneButtonText,Nenájdené
NoSaleLaneButtonText,Nepredajné
QuantityLaneButtonText,Množstvo
HelpLaneButtonText,Pomocník
NoInterventionLeadthru,Teraz netreba žiadny zásah.
OffLineLeadthru,Pokladna je teraz offline a systém sa pokúša automaticky znova pripojit.
CancelRequestButtonText,Zrušit požiadavku
HelpRequestTitle,Žiadost o pomoc
SecurityLaneButtonText,Zabezpecené
VoidLeadthru,"Zoberte stornovaný tovar a stlacte tlacidlo ""Schválit storno""."
ApproveVoidButtonText,Schválit storno
SecurityLeadthru,"Skontrolujte zákazníkov nákup (tovar, platba) a stlačte „Vymazať alarm“."
SecurityViolationText,Narušenie bezpecnosti
OtherPaymentText,Zvolená iná platba
SuspendTransactionLeadthru,"Stlacte tlacidlo ""Pozastavit transakciu"" alebo ""Režim pomoci"" a prijmite platbu."
EASText,Bezpecnostná visacka stále aktívna
DeactivateLeadthru,"Deaktivujte tovar alebo snímte visacku a stlacte tlacidlo ""Vymazat alarm""."
CompareSignatureTitle,Porovnat podpisy
CompareSignatureLeadthru,"Porovnajte podpisy a stlacte tlacidlo ""Schválit"" alebo ""Znova podpísat""."
EnterPriceLeadthru,"Zadajte cenu tovaru a stlacte tlacidlo ""Enter""."
UtilityButtonText,Nástroje
ReturnToMainButtonText,Návrat do hlavného menu
GetDiagFilesButtonText,Nacítat diagnostické súbory
CouponApprovalLeadthru,"Vezmite kupóny od zákazníka na schvalovacej stanici a stlacte ""Schválit""."
RebootSystemButtonText,Reštartovat celý systém
ShutDownSystemButtonText,Vypnút celý systém
LaneStatusTitle,Stav pokladne
LaneStatusLeadthru,Zvolte funkciu.
AgeRestrictedText,"Tovar s vekovým obmedzením, %2d rokov"
BirthdateEnterText,"Zadaný dátum narodenia:%2d/%2d/%4d,%d rokov"
HelpRequestLeadthru,"Ked ste pomohli zákazníkovi, stlacte tlacidlo ""Zrušit požiadavku""."
TotalText,Súcet:
ItemText,Tovar:
MultimediaTrainingText,Multimediálne školenie
VolumeControlButtonText,Hlasitost
SecurityViolationNumText,Narušenie bezpecnosti:
ItemPurchasedText,Tovar zakúpený:
EnterPriceTitle,Zadanie ceny
CancelTransactionGenericTitle,Zrušit transakciu
CancelTransactionGenericLeadthru,"Ak chcete transakciu zrušit, stlacte ""Áno"", ak v nej chcete pokracovat, stlacte ""Nie""."
YesButtonText,Áno
NoButtonText,Nie
ConfirmSuspendTitle,Pozastavenie:
ConfirmSuspendLeadthru,Potvrdte pozastavenie.
ConfirmSuspendButtonText,Potvrdit pozasta-venie
IncorrectItemWeightTitle,Nesprávna hmotnost na bezpecnostnej váhe.
IncorrectItemWeightLeadthru,"Zoberte tovar a stlacte ""Vymazat alarm"" alebo ""Schválit a aktualizovat hmotnost""."
ApproveUpdateButtonText,Schválit a aktualizovat hmotnost
UnexpectedIncreaseTitle,Neocakávaný tovar na bezpecnostnej váhe.
UnexpectedIncreaseLeadthru,"Chodte k pokladni, zoberte nadbytocný tovar a stlacte ""Vymazat alarm""."
SkipBaggingBtnThresholdLeadthru,"Skontrolujte tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm""."
NewWeightItemTitle,Chýba záznam o hmotnosti tovaru.
NewWeightItemLeadthru,"Skontrolujte hmotnost tovaru a stlacte ""Schválit a aktualizovat hmotnost"" alebo ""Schválit, neaktualizovat""."
ApproveNoUpdateButtonText,"Schválit, neaktualizovat."
BagItemTimerExpiredTitle,Ocakávaná hmotnost na bezpecnostnej váhe.
TakeChangeTimerExpiredTitle,Vezmite drobné
TakeChangeTimerExpiredBottomCaption,Limit uplynul
PickingUpItemsTimerExpiredTitle,Tovar nebol vrátený do baliaceho priestoru.
DeviceFailureTitle,Porucha zariadenia
DeviceFailureLeadthru,Chodte k pokladni a skontrolujte zariadenie.
WLDBFailureTitle,WLDB nekomunikuje správne.
WLDBFailureLeadthru,Skontrolujte komunikáciu.
UnexpectedDecreaseTitle,Tovar bol odstránený z baliaceho priestoru.
ClosedLaneTitle,Chodte k pokladni a otvorte ju prihlásením sa do režimu zamestnanca.
ClosedLaneLeadthru,Pokladna zatvorená
BagAreaBackupTitle,Na páse je nahromadený tovar
BagAreaBackupLeadthru,Odstránte nahromadený tovar z pása.
MinimumAgeText,rokov minimálne.
SafetyCoverOpenLeadthru,Zoberte všetok tovar z pása a zatvorte bezpecnostný kryt.
VerifySignatureLeadthru,Porovnajte zákazníkov podpis s podpisom na karte.
AssistedTenderTitle,Platba pri obsluhe
AssistedTenderLeadthru,Na prijatie šeku od zákazníka použite režim pomoci.
AssistedTenderHHLeadthru,Prijmite platbu na stanici obsluhy.
AssistedEndorsementLeadthru,"Je potrebné schválenie. Pockajte, prosím, na obsluhu."
StartTransactionButtonText,Zacat transakciu
StartTransactionTitle,Funkcie vykonávané obsluhou
StartTransactionLeadthru,Zvolte požadovanú funkciu.
StartTransactionAMButtonText,Zacat s pomocou
ItemsForgottenTitle,Na bezpecnostnej váhe\nzostáva zátaž.
InsertCouponTimerExpiredTitle,Vložit kupón
CollectGiftCardTitle,Zobrat darcekovú kartu
HostOfflineLeadthru,Pokladna je offline a systém sa pokúša znova pripojit.
SpaceButtonText,Medzerník
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tpocet %s @ %s/každý\t%s
LaneReceiptItemType4,%s\t%s\tpocet %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Zatvorit pokladnu
ReportingButtonText,Zostavy
KeyInCodeTitle,Zadajte kód
KeyInCodeLeadthru,"Zadajte kód tovaru a stlacte tlacidlo ""OK""."
VoidItemButtonText,Stornovat tovar
ChangePriceButtonText,Zmena ceny
ChangeQuantityButtonText,Zmena množstva
ReturnToShoppingButtonText,Návrat do nákupného režimu
BasicAssistModeTitle,Funkcie pomoci
BasicAssistModeLeadthru,Nacítajte tovar alebo zvolte funkciu.
ChangePriceTitle,Zmenit cenu
KeyInPriceLeadthru,Zadajte cenu pre: %d %s
VoidAllButtonText,Stornovat všetko
VoidItemTitle,Stornovat položky
VoidItemLeadthru,"Nacítajte tovar alebo sa nan presunte v úctenke a stlacte ""Stornovať tovar"" alebo ""Stornovat všetko""."
ChangeQuantityTitle,Zmenit množstvo
KeyInQuantityLeadthru,Zadajte množstvo pre: %s
FullAssistButtonText,Plná pomoc
CloseButtonText,Zatvorit
UpdateItemLeadthru,"Presunte sa na tovar v úctenke a stlacte ""Enter""."
OKButtonText,OK
CouponNoMatchLeadthru,Kupón nezodpovedá žiadnemu tovaru v úctenke. Tento kupón sa nedá akceptovat.
CouponTooHighLeadthru,"Suma, ktorú ste zadali za tento kupón, je príliš vysoká. Tento systém nemôže akceptovat tento kupón."
EnterCouponValueLeadthru,"Zadajte hodnotu kupónu v centoch a stlacte ""Enter""."
ItemQuantityExceededLeadthru,"Prekrocili ste množstvo povolené pre tento tovar. Odložte ho, prosím, nabok a pokracujte."
ProcessingLeadthru,Spracúva sa... Cakajte
VoidNoMatchLeadthru,Nacítaný tovar sa nedá nájst. Nebol ešte zakúpený alebo už bol zrušený.
ConfirmAbortLeadthru,Chcete zastavit úctovanie a zrušit celý nákup?
ContinueTransLeadthru,Chcete pokracovat v nákupe?
ConfirmQuantityTitle,Potvrdit množstvo
ConfirmVoidTitle,Potvrdit zrušenie
CouponNoMatchTitle,Nehodiaci sa kupón
CouponTooHighTitle,Kupón má príliš vysokú hodnotu
CrateableItemTitle,Nákup celého balenia
EnterCouponValueTitle,Zadajte hodnotu kupónu
EnterQuantityLeadthru,"Zadajte množstvo a stlacte tlacidlo ""Enter""."
EnterWeightTitle,Váženie tovaru
EnterWeightLeadthru,Chodte k pokladni a položte tovar na váhu.
AMItemQuantityExceededTitle,Limit množstva
ProcessingTitle,Spracúvanie...
SelectContainerTitle,Zvolit balenie
SelectContainerLeadthru,"Zvolte balenie zo zoznamu a stlacte ""Enter""."
VoidNoMatchTitle,Tovar sa nedá zrušit
ConfirmAbortTitle,Zrušit všetok tovar.
ContinueTransTitle,Chcete pokracovat?
ScaleBrokenTitle,Vynulovat váhu
ScaleBrokenLeadthru,"Odstránte tovar z váhy a stlacte tlacidlo ""Vynulovat váhu"" na cítacke."
UpdateNotAllowedTitle,Tovar sa nedá aktualizovat
UpdateNotAllowedLeadthru,Zmena množstva pri váženom tovare nie je povolená.
SmEnterBirthdateTitle,Limitovaný tovar
SmEnterBirthdateLeadthru,Zadajte dátum narodenia zákazníka
SmVisualItemsTitle,Vizuálna kontrola
SmVisualItemsLeadthru,Schválit tovar vyžadujúci vizuálnu kontrolu
SmCouponItemsTitle,Schválit použité kupóny
SmCouponItemsLeadthru,Skontrolovat použité kupóny
SmRestrictedItemsTitle,Limitovaný tovar
SmRestrictedItemsLeadthru,Zvolte požadovanú funkciu.
KeyInBirthDateButtonText,Zadajte dátum
KeyInCodeButtonText,Zadajte \nkód
SmRunReportsTitle,Obsah zostavy
PrintReportButtonText,Tlac zostavy
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Tovar s obmedzením predaja
AM_RestrictedNotAllowedLeadthru,"Tovar s obmedzením predaja bol zrušený – nedosiahnutý vekový limit. \n\nProsím, odložte tovar nabok."
TransactionCancelTitle,Zrušenie transakcie
TransactionCancelLeadThru,Transakcia je zrušená. Odstránte tovar \nz pultu.
OutOfSyncNeedAssistTitle,POMOC
OutOfSyncNeedAssistLeadthru,Server predajne je nesynchronizovaný. Prejdite do režimu pomoci a zasynchronizujte ho.
OutOfSyncStopTitle,REŠTART
OutOfSyncStopLeadthru,Server predajne je vypadnutý alebo nesynchronizovaný. Vypnite terminál vypínacom.
MultiPackItemTitle,Kontrola viackusového balenia
MultiPackItemLeadthru,"Ak je tovar vo viackusovom balení, stlacte ""Režim pomoci"" a zrušte ho. Potom nacítajte ciarový kód viackusového balenia."
CancelActionButtonText,Zrušit akciu
EnterIDFpLeadthru,"Zadajte kód užívatela a stlacte ""Enter"" alebo položte prst na cítacku odtlackov, aby ste sa prihlásili."
ReEnterIDFpLeadthru,Neplatné prihlásenie. Znova sa prihláste na klávesnici alebo odtlackom prsta.
HH_SuspendLeadthru1,Chcete pozastavit aktuálnu transakciu? Potvrdte alebo zrušte.
HH_SuspendLeadthru2,"Aktuálna transakcia he pozastavená. Potvrdte. Ak chcete zrušit, stlacte tlacidlo ""Spät"" a zrušte."
HH_ReEnterIDLeadthru,Nesprávne meno alebo heslo. Znova zadajte na klávesnici.
HH_CheckAgeLeadthru,"Zadajte dátum narodenia %s a stlačte ""Enter""."
HH_CouponLimitExceededLeadthru,"""Schválit"" – kupóny budú odovzdané v pokladni alebo ""Schválit a zobrat"" – obsluha ich zoberie od zákazníka."
HH_VisualApproveLeadthru,"""Prezriet a schválit"" alebo ""Režim pomoci"" pre úpravu transakcie."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Zoberte tovar a dokoncite stlacením ""Vymazat alarm"" alebo ""Režim pomoci""."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Zoberte tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm""."
HH_NoInterventionLeadthru,Netreba žiadny zásah.
HH_OffLineLeadthru,Pokladna je offline. Systém sa pokúša znova pripojit.
HH_InvalidBirthDateFormatLeadthru,Formát dátumu je neplatný \nZadajte znova vo formáte %s.
HH_VoidLeadthru,"Zoberte stornovaný tovar a stlacte tlacidlo ""Schválit storno""."
HH_SuspendTransactionLeadthru,"Pre pozastavenie transakcie stlacte tlacidlo ""Pozastavit trans""."
HH_DeactivateLeadthru,"Deaktivujte tovar alebo snímte visacku a stlacte tlacidlo ""Vymazat alarm""."
HH_CompareSignatureLeadthru,"Porovnajte podpisy a stlacte tlacidlo ""Schválit"" alebo ""Znova podpísat""."
HH_EnterPriceLeadthru,"Zadajte cenu tovaru a stlacte tlacidlo ""Enter""."
HH_CouponApprovalLeadthru,"Prijmite kupóny od zákazníka a stlacte tlacidlo ""Schválit""."
HH_HelpRequestLeadthru,"Ked ste pomohli zákazníkovi, stlacte tlacidlo ""Zrušit požiadavku""."
HH_CancelTransactionGenericLeadthru,Áno pre zrušenie transakcie alebo Nie pre pokracovanie.
HH_IncorrectItemWeightLeadthru,"Zoberte tovar a stlacte ""Vymazat alarm"" alebo ""Schválit a aktualizovat hmotnost""."
HH_UnexpectedIncreaseLeadthru,"Zoberte nadbytocný tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm""."
HH_SkipBaggingBtnThresholdLeadthru,"Skontrolujte tovar pri pokladni a stlacte tlacidlo ""Vymazat alarm""."
HH_NewWeightItemLeadthru,"Skontrolujte hmotnost a stlacte ""Schválit a aktualizovat hmotnost"" alebo ""Schválit, neaktualizovat""."
HH_SafetyCoverOpenLeadthru,Odstránte všetok tovar z pása. Zatvorte bezpecnostný kryt.
HH_VerifySignatureLeadthru,Porovnajte zákazníkov podpis s podpisom na karte.
HH_AssistedEndorsementLeadthru,Je potrebné schválenie. Pockajte na obsluhu.
HH_HostOfflineLeadthru,Pokladna je offline. Systém sa pokúša znova pripojit.
HH_KeyInCodeLeadthru,"Zadajte kód tovaru a stlacte tlacidlo ""Enter""."
HH_VoidItemLeadthru,"Nacítajte tovar alebo sa nan presunte v úctenke. Stlacte ""Stornovat tovar"" alebo ""Stornovat všetko""."
HH_UpdateItemLeadthru,"Presunte sa na tovar v úctenke a stlacte ""Enter""."
HH_CouponNoMatchLeadthru,Kupón nezodpovedá žiadnemu tovaru v úctenke. Kupón nebol akceptovaný.
HH_CouponTooHighLeadthru,Hodnota kupónu je príliš vysoká. Systém ho nemôže akceptovat.
HH_ItemQuantityExceededLeadthru,Prekrocené povolené množstvo. \n\nOdložte tovar nabok a pokracujte.
HH_VoidNoMatchLeadthru,Nacítaný tovar sa nedá nájst. Tovar nebol zakúpený alebo bol zrušený.
HH_ConfirmAbortLeadthru,Chcete zastavit úctovanie a zrušit celý nákup?
HH_ContinueTransLeadthru,Chcete pokracovat v nákupe?
HH_EnterQuantityLeadthru,"Zadajte množstvo a stlacte tlacidlo ""Enter""."
HH_SelectContainerLeadthru,"Zvolte balenie zo zoznamu a stlacte ""Enter""."
HH_ScaleBrokenLeadthru,"Odstránte tovar z váhy a stlacte tlacidlo ""Vynulovat váhu"" na cítacke."
HH_UpdateNotAllowedLeadthru,Zmena množstva nie je povolená.
HH_AM_RestrictedNotAllowedLeadthru,Tovar s obmedzením predaja zrušený – nedosiahnutý vekový limit. Dajte tovar nabok.
HH_OutOfSyncNeedAssistLeadthru,"POS je nesynchronizovaný, použite ""Režim pomoci"" na zosynchronizovanie."
HH_OutOfSyncStopLeadthru,Server predajne je vypadnutý alebo nesynchronizovaný. Vypnite terminál vypínacom.
HH_MultiPackItemLeadthru,"Ak ide o viackusové balenie, stlacte ""Režim pomoci"", stornujte, a potom nacítajte ciarový kód viackusového balenia."
HH_ReturnToShoppingButtonText,Spät
DoneButtonText,Hotovo
ConfirmSuspendFromLaneStatusLeadthruText,Potvrdte alebo zrušte pozastavenie.
HH_SuspendTransactionButtonText,Pozastavenie trans
HH_TransactionCancelTitle,Zrušenie transakcie
HH_TransactionCancelLeadThru,Transakcia je zrušená. Odstránte tovar z pultu.
ShiftButtonText,Shift
FixLaterButtonText,Vyriešit neskôr
HopperLaneButtonText,Náhrada mincí
HopperLeadThru,"{0}Chodte k pokladni a doplnte mince, odstránte zaseknutie alebo stlacením ""Vyriešit neskôr"" pokracujte."
TransactionCountText,Pocet:
SecurityDisableText,Alarm zrušený
SecurityDisableButtonOn,Zapnút
SecurityDisableButtonOff,Vypnút
SecurityDisableStatusTextOn,Váha tašiek je zapnutá
SecurityDisableStatusTextOff,Váha tašiek je vypnutá
SuspendDeclinedLaneButtonText,Pozastavenie zamietnuté
ConfirmSuspendDeclinedLeadthru,Potvrdte alebo zrušte zamietnutie pozastavenia.
