AmountSaved,Sutaupyta suma
SellBags,"Kiek plastikinių maišelių panaudojote? Įveskite 0, jei nepanaudojote nei vieno."
SignNeeded,Reikia parašo
SignSignature,Pasirašykite parašų klavišais.
SkipBagging,Praleisti dėjimą į maišelius
Space,Tarpas
StartScanning,Pradėti skenavimą
StoreLogin,Darbuotojo registracija
TakeCash,Paimkite grąžintus pinigus
TakeChange,Paimkite grąžą
TakeReceipt,Paimkite kvitą
Tax,Mokesčiai
TimeRestrictedItem,"Prekės, kurioms taikomi laiko apribojimai"
Total,Iš viso
TouchCancel,"Palieskite atšaukti arba klaviatūrą, kad atšauktumėte mokėjimą."
TryAgain,Paandykite dar kartą
UnexpectedDecreaseMessage,Padėkite prekę į dėjimo į maišelį sritį.
UnexpectedIncreaseMessage,Pašalinkite prekę iš dėjimo į maišelį srities.
UsePinpad,Naudokite klaviatūrą
VoidItem,"Nuskenuokite nepageidaujamas prekes arba spustelėkite ""Išimti"" ant kvito."
Volume,Garsumas
Yes,Taip
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Prekės kaina nežinoma.\nTuoj sulauksite pagalbos.\n\nPadėkite prekę į šalį ir tęskite.
SetAllItemsAsideMessage,Panaikinti visi pirkiniai.\n\nAtidėkite visas prekes į šalį.
ConfirmAbortMessage,Ar tikrai norite ištuštinti krepšelį? Operacija bus atšaukta.
NoKeep,"Ne, palikti."
NoReturn,"Ne, grįžti prie operacijos."
YesEmpty,"Taip, ištuštinti krepšelį ir baigti operaciją."
YesRemove,"Taip, pašalinti."
HostOfflineMessage,"Kasa neprijungta, sistema mėgina prisijungti iš naujo."
LaneClosedMessage,Kasos uždaryta
LoadingText,Įkeliama
VerifyBagsMessage,"Jei netyčia dėjimo į maišelius srityje padėjote ne maišelį, bet kažką kitą, nuimkite jį."
HelpOnWay,Tuoj sulauksite pagalbos. Tęskite.
OwnBagMessage,Prašome sudėti maišelius ant svarstyklių.
UseOwnBag,Naudoju savo maišą
AttendantMode,Pagalbininko režimas
AttendantTrainingMode,Pagalbininko ir mokymo režimas
TrainingMode,Mokymo režimas
ScaleBroken,"Nuimkite prekę nuo svarstyklių ir paspauskite mygtuką "">0<"", esantį ant skenerio."
Refunded,Grąžinta:
EnterIDMessage,"Įveskite savo naudotojo ID ir palieskite ""Įvesti""."
EnterIDText,Įveskite ID
EnterPasswordMessage,"Įveskite slaptažodį ir palieskite ""Įvesti""."
EnterPasswordText,Įveskite slaptažodį
VisualVerify,Vizualinė patikra
SingleItemAddedFormat,{0} prekė bus įdėta į krepšelį.
Approved,Patvirtinta
VoidItemBeforeCouponMessage,"Negalima anuliuoti prekės, kol nebus anuliuotas jos kuponas. Anuliuokite prekės kuponą."
VerifyBags,Pagalbininkas patikrins jūsų maišelius.
CancelItems,Panaikinti prekes
EnterQuantityTitle,Reikalingas kiekis
SecUnExpectedIncreaseTitle,Pakavimo įspėjimas
WeightMismatchTitle,Reikia pagalbos
AssistanceNeededTitle,Reikia pagalbos
CheckBasketTitle,Patikrinkite krepšį
ConfirmDebitAmountTitle,Patvirtinkite sumą
DropoffCouponsTitle,Kuponų atidavimas.
InsufficientBalanceTitle,Nepakankamas balansas
OperatorPasswordStateInvalidPasswordWithFPTitle,Prisijungimo pagal piršto atspaudą klaida
PurchaseCrateTitle,Pirkti dėžę
RestrictedItemTitle,Apribota prekė
SecBagAreaBackupTitle,Susikaupusios prekės
SignChargeTitle,Pasirašykite kvitą
TakeCardTitle,Paimkite kortelę
ContinueTitle,Tęsti?
ApprovalNeededTitle,Reikia patvirtinimo
IncorrectLoginTitle,Neteisingas numeris
RecalledItemTitle,Atšaukta prekė
RemovedItemTitle,Pakavimo įspėjimas
SetAllItemsAsideTitle,Atidėkite prekes į šalį
TakeLoyaltyCardTitle,Paimkite kliento kortelę
UnknownPriceTitle,Nežinoma kaina
ConfirmEBTAmountTitle,Patvirtinkite sumą
DisconnectedTitle,Atjungta
ShuttingDown,Išjungiama
NoneText,Nėra
SMText,Parduotuvės režimas
SMLogInReceiptText,Priregistruota į parduotuvės režimą.
SMLogOutReceiptText,Išregistruota iš parduotuvės režimo. 
WLDBOffLineText,Svorio duomenų bazė: atjungta
OperatorIDText,Operatoriaus ID:
SignOnButtonText,Įeiti į sistemą
SignOffButtonText,Išeiti iš sistemos
AlertText,Įspėjimai:
SuspendInProgressText,Vyksta laikinas sustabdymas
SuspendLeadthru1,Gauta užklausa laikinai sustabdyti šią operaciją. \nPrašome patvirtinti arba panaikinti šią užklausą.
SuspendLeadthru2,"Laikinai sustabdėte šią operaciją.  Prašome patvirtinti šią užklausą.  Jei norite panaikinti, palieskite ""Grįžti atgal"" ir panaikinkite iš NCR SelfServ Checkout galinio įrenginio."
ReceiptText,Kvitas:
SuspendReasonText1,Laikinas sustabdymas: bendras
CancelSuspendButtonText,Panaikinti laikin. sustabd.
ConfirmSuspendNowButtonText,Patvirtinti laikiną sustabdymą \ndabar
ConfirmAllowSuspendButtonText,Patvirtinti laikino sustabdymo \nleidimą
ConfirmSuspendRequestButtonText,Patvirtinti laikino sustabdymo \nužklausą
CancelSuspendNowButtonText,Panaikinti laikiną sustabdymą \ndabar
GoBackButtonText,Grįžti atgal
CancelSuspendRequestButtonText,Panaikinti laikino sustabdymo \nužklausą
CouponText,Kuponai:
SuspendReasonText2,Laikinas sustabdymas: kuponai
CouponReceiptText,"Kuponų: %d, suma: $%.2f"
SuspendNowButtonText,Laikinai sustabdyti dabar
RequestSuspendButtonText,Pateikti laikino sustabdymo užklausą
NotConnectedText,Neprijungta.
ConnectingText,Jungiama... prašome palaukti
ApprovalNeededText,Reikia patvirtinimų:
SuspendReasonText3,Laikinas sustabdymas: kita
ClearRequestButtonText,Išvalyti užklausą
ApproveButtonText,Patvirtinti
RestrictedItemText,Apribotos prekės:
SuspendReasonText4,Laikinas sustabdymas: apribota
SecurityLogText,Apsaugos žurnalas:
SuspendReasonText5,Laikinas sustabdymas: apsauga
SignatureText,Parašas:
SignatureAndNameText,Parašas: %s
ConnectingLeadthru,Jungiamasi prie NCR SelfServ Checkout... prašome palaukti
EnterIDLeadthru,Žemiau esančiais mygtukais įveskite ID.
EnterPasswordLeadthru,Žemiau esančiais mygtukais įveskite slaptažodį.
LoggingInLeadthru,Prisijungiama... Prašome palaukti
ApproveSecurityButtonText,Patvirtinti\nApsauga
ApprovalNeededButtonText,Reikia patvirtinimo
VerifySignatureButtonText,Patikrinti \nparašą
AllowSuspendButtonText,Leisti laikinai sustabdyti
MainButtonText,Pagrindinis
SuspendTransactionButtonText,Laikinai sustabdyti operaciją
ApproveAndCollectButtonText,Patvirtinti ir paimti
ClearApprovalsButtonText,Išvalyti patvirtinimus
BirthDateOver30ButtonText,Gimimo data virš 30
SignAgainButtonText,Pasirašyti dar kartą
BackSpaceButtonText,Grįžtis
EnterButtonText,Įvesti
LaneNumberText,Takelis: %d
RAPTitle,NCR SelfServ Checkout\nNuotolinio patvirtinimo stotis
CancelSuspendText,Panaikinti laikiną sustabdymą
OtherPaymentSelectedText,Pasirinktas Kitas mokėjimas
CouponCollectionText,Kuponų paėmimas
PendingSuspendText,Laukiama laikino sustabdymo
SignatureApprovalText,Parašo patvirtinimas
LaneText,Kasa
VideoButtonText,Vaizdo įrašas
ClearButtonText,Išvalyti
QuantityButtonText,Kiekis
FeesAndCustomerAgreementsTitle,Mokesčiai && susitarimai su klientu:
FeesButtonText,Mokesčiai
CustomerAgreementButtonText,Susitarimas su klientu
FeesAndCustomerAgreementsLeadthru,Mokesčiai & susitarimai su klientu
TransactionSuspendedText,Operacija laikinai sustabdyta
POSMessageText,POS pranešimas:
ConnectingWaitingText,"Palaukite, jungiamasi prie NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Datos nereikia
AssistModeButtonText,Pagalbos režimas
ClearSecurityButtonText,Apsaugos išjungimas
VisualApproveButtonText,Vizualinis patvirtini-mas
CheckAgeTitle,Patikrinti kliento amžių
CouponLimitExceededTitle,Viršytas kuponų limitas
VerifyItemAndPriceTitle,Patikrinti prekę ir kainą
UnknownItemTitle,Į šalį padėta nežinoma prekė
ItemNotForSaleTitle,Prekė neparduodama
ItemQuantityExceededTitle,Prekių kiekis viršytas
TimeRestrictedItemTitle,"Prekė, kuriai taikomi laiko apribojimai"
CheckAgeLeadthru,"Įveskite gimimo datą %s ir palieskite ""Įvesti"""
InvalidBirthDateFormatLeadthru,Datos formatas netinkamas\nĮveskite %s formatu.
CouponLimitExceededLeadthru,"Palieskite ""Patvirtinti"", jei kuponais įmokėti norite leisti kasoje, arba palieskite ""Patvirtinti ir paimti"", jei norite paimti juos iš kliento."
VisualApproveLeadthru,"Kad pakeistumėte operaciją, palieskite ""Vizualinis patvirtinimas"" arba ""Pagalbos režimas""."
UnknownItemLeadthru,"Norėdami užbaigti operaciją paimkite prekę kasoje ir palieskite ""Apsaugos išjungimas"" arba ""Pagalbos režimas""."
ItemNotForSaleLeadthru,"Paimkite prekę kasoje ir palieskite ""Apsaugos išjungimas""."
OffLineLaneButtonText,Atjungta
ExitText,Išeiti
EnterDataLaneButtonText,Įvesti duomenis
AgeCheckLaneButtonText,Amžiaus patikrinimas
CouponLaneButtonText,Kuponas
VoidLaneButtonText,Panaikinimas
VerifyItemLaneButtonText,Patikrinti prekę
NotFoundLaneButtonText,Nerasta
NoSaleLaneButtonText,Neparduodama
QuantityLaneButtonText,Kiekis
HelpLaneButtonText,Pagalba
NoInterventionLeadthru,Šiuo metu nereikia jokio įsikišimo.
OffLineLeadthru,"Kasos takelis neprijungtas, sistema mėgina prisijungti prie jo iš naujo."
CancelRequestButtonText,Panaikinti prašymą
HelpRequestTitle,Prašoma pagalbos
SecurityLaneButtonText,Apsauga
VoidLeadthru,"Paimkite panaikintą prekę ir palieskite ""Panaikinimo patvirtinimas""."
ApproveVoidButtonText,Panaikinimo patvirtini-mas
SecurityLeadthru,"Apsaugos sumetimais stebėkite kliento operaciją ir palieskite ""Apsaugos išjungimas""."
SecurityViolationText,Apsaugos pažeidimas
OtherPaymentText,"Pasirinktas ""Kitas mokėjimas"""
SuspendTransactionLeadthru,"Palieskite ""Laikinai sustabdyti operaciją"" arba ""Pagalbos režimas"" ir priimkite mokėjimą."
EASText,Prekė su EAS žymena vis dar aktyvi
DeactivateLeadthru,"Deaktyvinkite prekę arba nuimkite standžiąją žymeną ir palieskite ""Apsaugos išjungimas""."
CompareSignatureTitle,Palyginti parašus
CompareSignatureLeadthru,"Palyginkite parašus ir palieskite ""Patvirtinti"" arba ""Pasirašyti dar kartą""."
EnterPriceLeadthru,"Įveskite prekės kainą ir palieskite ""Įvesti""."
UtilityButtonText,Pagalbinės funkcijos
ReturnToMainButtonText,Grįžti į pagrindinį
GetDiagFilesButtonText,Gauti diag. failus
CouponApprovalLeadthru,"Priimkite kuponus iš kliento patvirtinimo stotyje ir palieskite ""Patvirtinti""."
RebootSystemButtonText,Įkrauti visą sistemą iš naujo
ShutDownSystemButtonText,Išjungti visą sistemą
LaneStatusTitle,Kasos būklė
LaneStatusLeadthru,Pasirinkite funkciją.
AgeRestrictedText,Apribotas amžius prekę; amžius – %2d m.
BirthdateEnterText,"Įvesta gimimo data: %2d/%2d/%4d,amžius – %d m."
HelpRequestLeadthru,"Padėję klientui palieskite ""Panaikinti prašymą""."
TotalText,Iš viso:
ItemText,Prekės:
MultimediaTrainingText,Multimedijinis mokymas
VolumeControlButtonText,Garsumo valdymas
SecurityViolationNumText,Apsaugos pažeidimai:
ItemPurchasedText,Nupirktos prekės:
EnterPriceTitle,Kainos įvestis
CancelTransactionGenericTitle,Panaikinti operaciją
CancelTransactionGenericLeadthru,"Palieskite ""Taip"", jei operaciją norite panaikinti, arba ""Ne"", jei operaciją norite tęsti."
YesButtonText,Taip
NoButtonText,Ne
ConfirmSuspendTitle,Laikinai sustabdyti:
ConfirmSuspendLeadthru,Patvirtinti laikiną sustabdymą.
ConfirmSuspendButtonText,Patvirtinti laikin. sustabd.
IncorrectItemWeightTitle,Neteisinga masė ant apsauginių svarstyklių.
IncorrectItemWeightLeadthru,"Nuimkite prekę nuo svarstyklių ir palieskite ""Apsaugos išjungimas"" arba ""Patvirtinti ir atnaujinti svorį""."
ApproveUpdateButtonText,Patvirtinti ir atnaujinti masę
UnexpectedIncreaseTitle,Nenumatyta prekė ant apsauginių svarstyklių.
UnexpectedIncreaseLeadthru,"Nueikite prie kasos, nuimkite papildomas prekes ir palieskite ""Apsaugos išjungimas""."
SkipBaggingBtnThresholdLeadthru,"Paimkite prekes kasoje ir palieskite ""Apsaugos išjungimas""."
NewWeightItemTitle,Nėra įrašo apie prekės masę.
NewWeightItemLeadthru,"Patikrinkite prekės masę ir palieskite ""Patvirtinti ir atnaujinti svorį"" arba ""Patvirtinti/neatnaujinti""."
ApproveNoUpdateButtonText,Patvirtinti/neatnaujinti.
BagItemTimerExpiredTitle,Laukiama masė ant apsauginių svarstyklių.
TakeChangeTimerExpiredTitle,Paimkite grąžą
TakeChangeTimerExpiredBottomCaption,Skirtasis laikas baigėsi
PickingUpItemsTimerExpiredTitle,Prekės negrąžintos į pakavimo zoną.
DeviceFailureTitle,Įtaiso sutrikimas
DeviceFailureLeadthru,Nueikite prie kasos ir patikrinkite įtaisą.
WLDBFailureTitle,WLDB ryšys nepalaikomas teisingai.
WLDBFailureLeadthru,Patikrinkite ryšį.
UnexpectedDecreaseTitle,Prekė pašalinta iš pakavimo zonos.
ClosedLaneTitle,"Nueikite prie kasos ir prisiregistruokite parduotuvės režimu, kad kasą atidarytumėte."
ClosedLaneLeadthru,Kasa uždaryta
BagAreaBackupTitle,Susikaupusios prekės ant juostos
BagAreaBackupLeadthru,Nuimkite susikaupusias ant juostos prekes.
MinimumAgeText,m. mažiausiai.
SafetyCoverOpenLeadthru,Nuimkite visas prekes nuo juostos ir uždarykite apsaugos gaubtą.
VerifySignatureLeadthru,Palyginkite kliento parašą su esančiu kortelėje.
AssistedTenderTitle,Mokėjimas padedant operatoriui
AssistedTenderLeadthru,"Norėdami priimti čekį iš kliento, naudokite pagalbos režimą."
AssistedTenderHHLeadthru,"Norėdami priimti mokėjimą, naudokite pagalbos stotį."
AssistedEndorsementLeadthru,"Reikalingas pritarimas. Palaukite, kol operatorius suteiks pagalbą. "
StartTransactionButtonText,Pradėti operaciją
StartTransactionTitle,Funkcijos padedant operatoriui
StartTransactionLeadthru,Pasirinkite reikiamą funkciją.
StartTransactionAMButtonText,Pradėti ir suteikti pagalbą
ItemsForgottenTitle,Svoris lieka\nant svarstyklių.
InsertCouponTimerExpiredTitle,Įdėkite kuponą
CollectGiftCardTitle,Paimkite dovanų kortelę
HostOfflineLeadthru,"Kasa neprijungta, sistema mėgina prisijungti prie jo iš naujo."
SpaceButtonText,Tarpas
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tkiekis %s @ %s/už kiekvieną\t%s
LaneReceiptItemType4,%s\t%s\tkiekis %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Uždaryti kasą
ReportingButtonText,Ataskaitos
KeyInCodeTitle,Įveskite kodą
KeyInCodeLeadthru,"Įveskite prekės kodą ir palieskite ""OK""."
VoidItemButtonText,Panaikinti prekę
ChangePriceButtonText,Kainos pokytis
ChangeQuantityButtonText,Kiekio pokytis
ReturnToShoppingButtonText,Grįžti į pirkimo režimą
BasicAssistModeTitle,Pagalbos funkcijos
BasicAssistModeLeadthru,Nuskenuokite prekę arba pasirinkite funkciją.
ChangePriceTitle,Pakeisti kainą
KeyInPriceLeadthru,Key in price for: %d %s
VoidAllButtonText,panaikinti viską
VoidItemTitle,Panaikinti prekes
VoidItemLeadthru,"Nuskenuokite prekę arba pasirinkite ją kvito sąraše ir palieskite ""Anuliuoti prekę"" arba ""Anuliuoti viską""."
ChangeQuantityTitle,Pakeisti kiekį
KeyInQuantityLeadthru,Įveskite kiekį: %s
FullAssistButtonText,Pilnos pagalbos teikimas
CloseButtonText,Uždaryti
UpdateItemLeadthru,"Pasirinkite prekę kvito sąraše ir palieskite ""Įvesti""."
OKButtonText,Gerai
CouponNoMatchLeadthru,Kuponas neatitinka jokios kvite įrašytos prekės. Šio kupono priimti negalima.
CouponTooHighLeadthru,"Suma, kurią įvedėte šiam kuponui, buvo per didelė. Ši sistema šio kupono priimti negali."
EnterCouponValueLeadthru,"Įveskite kupono vertę centais ir palieskite ""Įvesti""."
ItemQuantityExceededLeadthru,Viršijote leidžiamą šios prekės kiekį. Prašome padėti ją į šalį ir tęsti toliau.
ProcessingLeadthru,Apdorojama... Prašome palaukti.
VoidNoMatchLeadthru,Nepavyksta rasti nuskenuotos prekės. Ji dar nebuvo nupirkta arba ji jau yra panaikinta.
ConfirmAbortLeadthru,Ar norite sustabdyti prekių registravimą kasoje ir panaikinti visus savo pirkinius?
ContinueTransLeadthru,Ar norite tęsti pirkimą?
ConfirmQuantityTitle,Patvirtinti kiekį
ConfirmVoidTitle,Patvirtinti panaikinimą
CouponNoMatchTitle,Neatpažintas kuponas
CouponTooHighTitle,Kupono suma per didelė
CrateableItemTitle,Pirkti dėžę
EnterCouponValueTitle,Įveskite kupono vertę
EnterQuantityLeadthru,"Įveskite kiekį ir palieskite ""Įvesti""."
EnterWeightTitle,Sverti prekę
EnterWeightLeadthru,Nueikite prie kasos ir padėkite prekę ant svarstyklių.
AMItemQuantityExceededTitle,Kiekio apribojimas
ProcessingTitle,Apdorojama...
SelectContainerTitle,Pasirinkti pakuotę
SelectContainerLeadthru,"Iš sąrašo pasirinkite pakuotę ir palieskite ""Įvesti""."
VoidNoMatchTitle,Panaikinti prekės negalima
ConfirmAbortTitle,Panaikinti visas prekes
ContinueTransTitle,Tęsti?
ScaleBrokenTitle,Nustatyti svarstykles iš naujo
ScaleBrokenLeadthru,"Nuimkite prekę nuo svarstyklių ir paspauskite nulinės vertės nustatymo mygtuką (""Scale Zero"") ant skenerio."
UpdateNotAllowedTitle,Negalima atnaujinti prekės
UpdateNotAllowedLeadthru,Keisti pasvertos prekės kiekį neleidžiama.
SmEnterBirthdateTitle,Apribotos prekės
SmEnterBirthdateLeadthru,Įveskite kliento gimimo datą
SmVisualItemsTitle,Vizualiniai patvirtinimai
SmVisualItemsLeadthru,Patvirtinti vizualiai patvirtinamas prekes
SmCouponItemsTitle,Patvirtinti panaudotus kuponus
SmCouponItemsLeadthru,Patikrinti panaudotus kuponus
SmRestrictedItemsTitle,Apribotos prekės
SmRestrictedItemsLeadthru,Pasirinkite reikiamą funkciją.
KeyInBirthDateButtonText,Įveskite datą
KeyInCodeButtonText,Įveskite\nkodą
SmRunReportsTitle,Ataskaitos turinys
PrintReportButtonText,Atspausdinti ataskaitą
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Apribota prekė
AM_RestrictedNotAllowedLeadthru,Apribota prekė panaikinta – amžius neatitinka apribojimo. \n\nPrašome atidėti prekę į šalį.
TransactionCancelTitle,Operacijos panaikinimas
TransactionCancelLeadThru,Operacija panaikinta. Nuimkite prekes iš pakavimo \nvietos.
OutOfSyncNeedAssistTitle,PAGALBA
OutOfSyncNeedAssistLeadthru,"POS sinchronizacija nutrūko. Kad vėl sinchronizuotumėte, prašome pereiti į pagalbos režimą."
OutOfSyncStopTitle,PALEISTI IŠ NAUJO
OutOfSyncStopLeadthru,POS serverio sinchronizacija nutrūko. Išjunkite įrenginį jungikliu.
MultiPackItemTitle,"Patikrinti, ar pakuotė sudėtinė"
MultiPackItemLeadthru,"Jei prekė yra sudėtinė pakuotė, palieskite ""Pagalbos režimas"" ir panaikinkite ją, o tada nuskenuokite sudėtinės pakuotės brūkšninį kodą."
CancelActionButtonText,Atšaukti veiksmą
EnterIDFpLeadthru,"Kad prisijungtumėte, įveskite savo naudotojo ID ir palieskite ""Įvesti"" arba uždėkite pirštą ant pirštų atspaudų skaitytuvo"
ReEnterIDFpLeadthru,Neteisingi prisijungimo duomenys. Naudodami klaviatūrą arba pirštų atspaudų skaitytuvą pamėginkite prisijungti dar kartą.
HH_SuspendLeadthru1,Laikinai sustabdyti dabartinę operaciją? Patvirtinkite arba panaikinkite.
HH_SuspendLeadthru2,"Dabartinė operacija laikinai sustabdyta. Patvirtinkite. Norėdami atšaukti palieskite ""Grįžti atgal"" ir atšaukite."
HH_ReEnterIDLeadthru,Neteisingas ID arba slaptažodis. Prašome klaviatūra įvesti iš naujo.
HH_CheckAgeLeadthru,"Įveskite gimimo datą %s ir palieskite ""Įvesti"""
HH_CouponLimitExceededLeadthru,"""Patvirtinti"", jei kuponais įmokėti kasoje, arba ""Patvirtinti ir paimti"", jei paimti juos iš kliento."
HH_VisualApproveLeadthru,"Palieskite ""Vizualinis patvirtinimas"" arba ""Pagalbos režimas"", kad operacija būtų modifikuota."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Paimkite prekę, tada ""Apsaugos išjungimas"" arba ""Pagalbos režimas"", kad užbaigtumėte."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Paimkite prekę kasoje ir palieskite ""Apsaugos išjungimas""."
HH_NoInterventionLeadthru,Nereikia jokio įsikišimo.
HH_OffLineLeadthru,Takelis neprijungtas. Sistema mėgina prisijungi iš naujo.
HH_InvalidBirthDateFormatLeadthru,Datos formatas netinkamas \nĮveskite %s formatu.
HH_VoidLeadthru,"Paimkite panaikiną prekę ir palieskite ""Panaikinimo patvirtinimas""."
HH_SuspendTransactionLeadthru,"Palieskite ""Laikinai sustabdyti oper""., kad operacija būtų laikinai sustabdyta."
HH_DeactivateLeadthru,"Deaktyvinkite prekę arba nuimkite standžiąją žymeną ir palieskite ""Apsaugos išjungimas""."
HH_CompareSignatureLeadthru,"Palyginkite parašus ir palieskite ""Patvirtinti"" arba ""Pasirašyti dar kartą""."
HH_EnterPriceLeadthru,"Įveskite prekės kainą ir palieskite ""Įvesti""."
HH_CouponApprovalLeadthru,"Priimkite kuponus iš kliento ir palieskite ""Patvirtinti""."
HH_HelpRequestLeadthru,"Padėję klientui palieskite ""Panaikinti prašymą""."
HH_CancelTransactionGenericLeadthru,"Palieskite ""Taip"", jei operaciją norite panaikinti, arba ""Ne"", jei operaciją norite tęsti."
HH_IncorrectItemWeightLeadthru,"Nuimkite prekę nuo svarstyklių ir palieskite ""Apsaugos išjungimas"" arba ""Patvirtinti ir atnaujinti svorį""."
HH_UnexpectedIncreaseLeadthru,"Nuimkite papildomas prekes kasoje ir palieskite ""Apsaugos išjungimas""."
HH_SkipBaggingBtnThresholdLeadthru,"Paimkite prekes kasoje ir palieskite ""Apsaugos išjungimas""."
HH_NewWeightItemLeadthru,"Patikrinkite svorį ir palieskite ""Patvirtinti ir atnaujinti svorį"" arba palieskite ""Patvirtinti/neatnaujinti""."
HH_SafetyCoverOpenLeadthru,Nuimkite visas prekes nuo juostos. Uždarykite apsaugos gaubtą.
HH_VerifySignatureLeadthru,Palyginkite kliento parašą su esančiu kortelėje.
HH_AssistedEndorsementLeadthru,"Reikalingas pritarimas. Palaukite, kol operatorius suteiks pagalbą."
HH_HostOfflineLeadthru,Kasa neprijungta. Sistema mėgina prisijungi iš naujo.
HH_KeyInCodeLeadthru,"Įveskite prekės kodą ir palieskite ""Įvesti""."
HH_VoidItemLeadthru,"Nuskenuokite prekę arba susiraskite ją kvito sąraše. Palieskite ""Panaikinti prekę"" arba ""Panaikinti viską""."
HH_UpdateItemLeadthru,"Pasirinkite prekę kvito sąraše ir palieskite ""Įvesti""."
HH_CouponNoMatchLeadthru,Kuponas neatitinka jokios kvite įrašytos prekės. Kuponas nepriimtas.
HH_CouponTooHighLeadthru,Kupono suma per didelė. Sistema negali jo priimti.
HH_ItemQuantityExceededLeadthru,Leidžiamas kiekis viršytas. \n\nPadėkite prekę į šalį ir tęskite toliau.
HH_VoidNoMatchLeadthru,Nepavyksta rasti nuskenuotos prekės. Prekė nenupirkta arba buvo panaikinta.
HH_ConfirmAbortLeadthru,Ar norite sustabdyti prekių registravimą kasoje ir panaikinti visus savo pirkinius?
HH_ContinueTransLeadthru,Tęsti jūsų pirkimo veiksmus?
HH_EnterQuantityLeadthru,"Įveskite kiekį ir palieskite ""Įvesti""."
HH_SelectContainerLeadthru,"Iš sąrašo pasirinkite pakuotę ir palieskite ""Įvesti""."
