AmountSaved,Gespart
SMLogOutReceiptText,Abgemeldet bei Verwaltungsvorgängen
WLDBOffLineText,Gewichtsdatenbank offline
OperatorIDText,Bediener-Kennzeichen: 
SignOnButtonText,Anmeld.
SignOffButtonText,Abmeld.
AlertText,System-warnung:
SuspendInProgressText,Vorgang zurückgestellt
SuspendLeadthru1,"Es wurde gewünscht, den laufenden Vorgang zurückzustellen. \nBitte bestätigen oder die Anforderung löschen."
SuspendLeadthru2,"Laufender Vorgang wurde zurück-gestellt. Bitte diese Anforderung be-stätigen. Zum Löschen, ""Zurück"" drücken u. über NCR SelfServ Checkout löschen."
ReceiptText,Bon:
SuspendReasonText1,Zurückstellen:
CancelSuspendButtonText,Zurückstellung löschen
ConfirmSuspendNowButtonText,Bestätige Zurückstellung \nJetzt
ConfirmAllowSuspendButtonText,Bestätige Genehmigung \nZurückstellung
ConfirmSuspendRequestButtonText,Bestätige Zurückstellung \nWunsch
CancelSuspendNowButtonText,Lösche Zurückstellung \nJetzt
GoBackButtonText,Zurück
CancelSuspendRequestButtonText,Lösche Zurückstellung \nWunsch
CouponText,Gutscheine:
SuspendReasonText2,Zurückstellung: Gutscheine
CouponReceiptText,%d Gutschein-Summe €%.2f
SuspendNowButtonText,Jetzt zurückstellen
RequestSuspendButtonText,Wünsche \nZurückstellung
NotConnectedText,Nicht verbunden.
ConnectingText,Verbindung wird aufgebaut...Bitte warten
ApprovalNeededText,Andere Genehmigungen:
SuspendReasonText3,Zurückstellung: Andere
ClearRequestButtonText,Lösche Anforderung
ApproveButtonText,Genehmigen
RestrictedItemText,Beschränkte Artikel:
SuspendReasonText4,Zurückstellen: Beschränkte
SecurityLogText,Sicherheits-Log:
SuspendReasonText5,Zurückstellung: Sicherheit
SignatureText,Unterschrift:
SignatureAndNameText,Unterschrift: %s
ConnectingLeadthru,Verbindung zu NCR SelfServ Checkout wird aufgebaut... Bitte warten
EnterIDLeadthru,Identifikation auf dem Tastatur-Pad unterhalb eingeben.
EnterPasswordLeadthru,Passwort auf dem Tastatur-Pad unterhalb eingeben.
LoggingInLeadthru,Anmeldung in Arbeit...Bitte warten
ApproveSecurityButtonText,Genehmige\nSicherheits-Log
ApprovalNeededButtonText,Andere \nGenehmigungen
VerifySignatureButtonText,Prüfe \nUnterschrift
AllowSuspendButtonText,Erlaube \nZurückstellung
MainButtonText,Hauptmenue
SuspendTransactionButtonText,Transakt. unterbr.
ApproveAndCollectButtonText,Genehmigen & Sammeln
ClearApprovalsButtonText,Lösche Genehmigungen
BirthDateOver30ButtonText,Alter über 30
SignAgainButtonText,Nochmals unterschreiben
BackSpaceButtonText,Rücktaste
EnterButtonText,Eingabe
LaneNumberText,Kassenstelle: %d
RAPTitle,NCR SelfServ Checkout\nDezentrale Genehmigungsstation
CancelSuspendText,Zurückstellung löschen
OtherPaymentSelectedText,Andere Zahlungsart gewählt
CouponCollectionText,Coupon-Sammlung
PendingSuspendText,Zurückgestellte Transaktion in Wartestellung
SignatureApprovalText,Unterschriften-Authorisierung
LaneText,Kasse
VideoButtonText,Video
ClearButtonText,Löschen
QuantityButtonText,Menge
FeesAndCustomerAgreementsTitle,Fees && Customer Agreements:
FeesButtonText,Fees
CustomerAgreementButtonText,Customer Agreement
FeesAndCustomerAgreementsLeadthru,Fees & Customer Agreements
TransactionSuspendedText,Transaktion unterbrochen
POSMessageText,POS-Meldung:
ConnectingWaitingText,Bitte warten. Verbindung zu NCR SelfServ Checkout wird aufgebaut...
DateOfBirthNotNeededButtonText,Datum nicht erforderlich
AssistModeButtonText,Hilfe- modus
ClearSecurityButtonText,Beheben
VisualApproveButtonText,Visuell genehmigen
CheckAgeTitle,Alter des Kunden prüfen
CouponLimitExceededTitle,Couponlimit überschritten
VerifyItemAndPriceTitle,Artikel und Preis prüfen
UnknownItemTitle,Unbekannten Artikel beiseite legen
ItemNotForSaleTitle,Unverkäufl. Artkl.
ItemQuantityExceededTitle,Artikelmenge überschritten
TimeRestrictedItemTitle,Zeitlich begrenzter Artikel
CheckAgeLeadthru,"Geburtsdatum eingeben %s und ""Eingabe"" berühren"
InvalidBirthDateFormatLeadthru,Datumsformat ist ungültig\nGültiges Format: %s.
CouponLimitExceededLeadthru,"Berühren Sie ""Genehmigen"", um die Coupon-Abgabe an der Kasse zuzulassen, oder ""Genehmigen & Sammeln""."
VisualApproveLeadthru,"Bitte berühren Sie ""Visuell genehmigen"" oder ""Hilfemodus"", um die Transaktion zu ändern."
UnknownItemLeadthru,"Artikel abholen und ""Beheben"" berühren oder ""Hilfemodus"" berühren und Transaktion abschließen."
ItemNotForSaleLeadthru,"Bitte holen Sie den Artikel von der Kasse ab und berühren Sie ""Beheben""."
OffLineLaneButtonText,Offline
ExitText,Beenden
EnterDataLaneButtonText,Daten eingeben
AgeCheckLaneButtonText,Alter prüfen
CouponLaneButtonText,Coupon
VoidLaneButtonText,Stornieren
VerifyItemLaneButtonText,Artkl. prüfen
NotFoundLaneButtonText,Nicht gefunden
NoSaleLaneButtonText,Unverkäuflicher Artikel
QuantityLaneButtonText,Menge
HelpLaneButtonText,Hilfe
NoInterventionLeadthru,Zurzeit ist kein Eingriff erforderlich.
OffLineLeadthru,"Kasse ist momentan offline, und das System versucht, die Verbindung automatisch wiederherzustellen."
CancelRequestButtonText,Anfrage abbrechen
HelpRequestTitle,Hilfe angefordert
SecurityLaneButtonText,Sicherheit
VoidLeadthru,"Holen Sie den stornierten Artikel ab und berühren Sie ""Stornierung genehmigen""."
ApproveVoidButtonText,Stornierung genehmigen
SecurityLeadthru,"Kundeninteraktion auf Sicherheit überprüfen und ""Beheben"" berühren"
SecurityViolationText,Sicherheitsverletzung
OtherPaymentText,"""Andere Zahlungsart"" gewählt"
SuspendTransactionLeadthru,"Berühren Sie ""Transakt. unterbr."" oder ""Hilfemodus"" und akzeptieren Sie die Zahlung."
EASText,EAS-Artikel immer noch aktiv
DeactivateLeadthru,"Deaktivieren Sie den Artikel oder entfernen Sie das Sicherheitsetikett und berühren Sie ""Beheben""."
CompareSignatureTitle,Unterschriften vergleichen
CompareSignatureLeadthru,"Vergleichen Sie die Unterschriften und berühren Sie ""Genehmigen"" oder berühren Sie ""Unterschrift wiederholen""."
EnterPriceLeadthru,"Geben Sie den Preis des Artikels ein und berühren Sie ""Eingabe""."
UtilityButtonText,Hilfsprog.
ReturnToMainButtonText,Zurück zum Hauptmenü
GetDiagFilesButtonText,Diagnosedateien abrufen
CouponApprovalLeadthru,"Coupons vom Kunden an der Genehmigungsstation akzeptieren und ""Genehmigen"" berühren."
RebootSystemButtonText,System neu starten
ShutDownSystemButtonText,System herunterfahren
LaneStatusTitle,Kassen- status
LaneStatusLeadthru,Funktion wählen.
AgeRestrictedText,Jugendschutz-Artikel; %d Jahre alt
BirthdateEnterText,"Geburtsdatum eingegeben:%2d/%2d/%4d,%d Jahre alt"
HelpRequestLeadthru,"Berühren Sie ""Anfrage abbrechen"", nachdem Sie dem Kunden geholfen haben."
TotalText,Summe:
ItemText,Artikel:
MultimediaTrainingText,Multimedia-Training
VolumeControlButtonText,Lautstärkenregelung
SecurityViolationNumText,Sicherheitsverletzungen:
ItemPurchasedText,Gekaufte Artikel:
EnterPriceTitle,Preiseingabe
CancelTransactionGenericTitle,Abbrechen
CancelTransactionGenericLeadthru,"Berühren Sie ""Ja"", um die Transaktion abzubrechen, oder ""Nein"", um sie fortzusetzen."
YesButtonText,Ja
NoButtonText,Nein
ConfirmSuspendTitle,Unterbrechen:
ConfirmSuspendLeadthru,Unterbrechung bestätigen
ConfirmSuspendButtonText,Unterbrechung bestätigen
IncorrectItemWeightTitle,Falsches Gewicht auf Sicherheitswaage.
IncorrectItemWeightLeadthru,"Artikel entnehmen und ""Beheben"", oder ""Genehmigen & Gewicht aktualisieren"" berühren."
ApproveUpdateButtonText,Genehm. & Gew. aktual.
UnexpectedIncreaseTitle,Unerwarteter Artikel auf Sicherheitswaage.
UnexpectedIncreaseLeadthru,"Gehen Sie zur Kasse, entnehmen Sie die Extraartikel und berühren Sie ""Beheben""."
SkipBaggingBtnThresholdLeadthru,"Bitte prüfen Sie die Artikel an der Kasse und berühren Sie ""Beheben""."
NewWeightItemTitle,Kein Eintrag für Artikelgewicht.
NewWeightItemLeadthru,"Gewicht prüfen und ""Genehmigen & Gewicht aktualisieren"" oder ""Genehmigen & nicht aktualisier""."
ApproveNoUpdateButtonText,Genehmigen & nicht aktualisieren.
BagItemTimerExpiredTitle,Auf der Sicherheitswaage wurde ein Gewicht erwartet.
TakeChangeTimerExpiredTitle,Nehmen Sie Ihr Rückgeld
TakeChangeTimerExpiredBottomCaption,Zeitgeber abgelaufen
PickingUpItemsTimerExpiredTitle,Die Artikel wurden nicht in die Einpack-Station zurückgelegt.
DeviceFailureTitle,Gerätefehlfunktion
DeviceFailureLeadthru,Bitte gehen Sie zur Kasse und überprüfen Sie das Gerät.
WLDBFailureTitle,WLDB-Kommunikationsfehler.
WLDBFailureLeadthru,Prüfen Sie die Kommunikation.
UnexpectedDecreaseTitle,Artikel wurde von Sicherheitswaage genommen.
ClosedLaneTitle,"Bitte zur Kasse gehen und Kasse im ""Geschäftsmodus"" öffnen."
ClosedLaneLeadthru,\nKasse geschlossen
BagAreaBackupTitle,Restliche Artikel auf dem Band
BagAreaBackupLeadthru,Restliche Artikel vom Band nehmen.
MinimumAgeText,Jahre alt (Minimum).
SafetyCoverOpenLeadthru,Alle Artikel vom Band nehmen und Sicherheitsabdeckung schließen.
VerifySignatureLeadthru,Vergleichen Sie die Kunden-Unterschrift mit der auf der Karte.
AssistedTenderTitle,Zahlungsart erfordert Hilfe vom Personal
AssistedTenderLeadthru,"Berühren Sie ""Hilfemodus"", um den Scheck vom Kunden entgegenzunehmen."
AssistedTenderHHLeadthru,"Berühren Sie ""Hilfemodus"", um den Scheck vom Kunden entgegenzunehmen."
AssistedEndorsementLeadthru,Bestätigung erforderlich. Bitte warten Sie auf Hilfe vom Personal.
StartTransactionButtonText,Transaktion starten
StartTransactionTitle,Bedienerunterstützte Funktionen
StartTransactionLeadthru,Wähle gewünschte Funktion
StartTransactionAMButtonText,Starten & Hilfemodus
ItemsForgottenTitle,Gewicht wird\nimmer noch angezeigt.
InsertCouponTimerExpiredTitle,Bitte Coupon hineinstecken
CollectGiftCardTitle,Geschenkgutschein abholen
HostOfflineLeadthru,"Die Kasse ist offline und das System versucht, die Verbindung wiederherzustellen."
SpaceButtonText,Leertaste
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tMenge %s @ %s/für alle\t%s
LaneReceiptItemType4,%s\t%s\tMenge %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%s @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%s @ %s/%s\t%s
CloseLaneButtonText,Kasse Schließen
ReportingButtonText,Berichts-funktion
KeyInCodeTitle,Code eingeben
KeyInCodeLeadthru,Artikel-Nummer eingeben und OK tippen.
VoidItemButtonText,Artikel stornieren
ChangePriceButtonText,Preis- änderung
ChangeQuantityButtonText,Mengen-änderung
ReturnToShoppingButtonText,Zurück zur Artikelaufrechnung
BasicAssistModeTitle,Hilfefunktionen
BasicAssistModeLeadthru,Scannen Sie den Artikel oder wählen Sie eine Funktion.
ChangePriceTitle,Preis ändern
KeyInPriceLeadthru,Geben Sie den Preis ein für: %d %s
VoidAllButtonText,Alles stornieren
VoidItemTitle,Artikel stornieren
VoidItemLeadthru,"Scannen oder wählen Sie einen Artikel auf dem Bon und berühren Sie ""Artikel stornieren"" oder ""Alles stornieren""."
ChangeQuantityTitle,Menge ändern
KeyInQuantityLeadthru,Geben Sie die Menge ein für: %s
FullAssistButtonText,Erweiterte Hilfe
CloseButtonText,Schließen
UpdateItemLeadthru,"Wählen Sie einen Artikel auf dem Bon und berühren Sie ""Eingabe""."
OKButtonText,OK
CouponNoMatchLeadthru,Der Coupon stimmt mit keinem Artikel auf dem Bon überein. Dieser Coupon kann nicht akzeptiert werden.
CouponTooHighLeadthru,Der für diesen Coupon eingegebene Betrag ist zu hoch. Coupon kann nicht akzeptiert werden.
EnterCouponValueLeadthru,"Eingabe des Coupon-Werts und ""Eingabe"" drücken."
ItemQuantityExceededLeadthru,Zu hohe Menge für diesen Artikel. Diesen zur Seite legen und weitermachen.
ProcessingLeadthru,Verarbeitung...Bitte warten.
VoidNoMatchLeadthru,Gescannter Artikel nicht gefunden. Ist nicht registriert oder schon storniert.
ConfirmAbortLeadthru,Wollen Sie den Einkauf beenden und den Vorgang stornieren?
ContinueTransLeadthru,Möchten Sie weitermachen?
ConfirmQuantityTitle,Menge bestätigen
ConfirmVoidTitle,Storno bestätigen
CouponNoMatchTitle,ungültiger Coupon
CouponTooHighTitle,Coupon zu hoch.
CrateableItemTitle,Erfassung Flaschen-Kasten
EnterCouponValueTitle,Eingabe Coupon-Wert
EnterQuantityLeadthru,Menge eingeben und Eingabe tippen.
EnterWeightTitle,Gewichtsartikel
EnterWeightLeadthru,"Gehen Sie zur Kasse, legen Sie den Artikel auf die Waage."
AMItemQuantityExceededTitle,Mengen Limit
ProcessingTitle,in Arbeit...
SelectContainerTitle,Wähle Behälter
SelectContainerLeadthru,"Wählen Sie einen Behälter aus der Liste und berühren Sie ""Eingabe""."
VoidNoMatchTitle,kein Storno möglich
ConfirmAbortTitle,Alle Artikel stornieren
ContinueTransTitle,Weitermachen
ScaleBrokenTitle,Waage zurücksetzen
ScaleBrokenLeadthru,Ladenpersonal rufen
UpdateNotAllowedTitle,Artikel kann nicht aktualisiert werden
UpdateNotAllowedLeadthru,Mengenänderung ist für gewogene Artikel nicht erlaubt.
SmEnterBirthdateTitle,Jugendschutz-Artikel
SmEnterBirthdateLeadthru,Datum eingeben
SmVisualItemsTitle,Sichtkontrolle
SmVisualItemsLeadthru,genehmige Sichtkontrolle-Artikeln
SmCouponItemsTitle,genehmige Coupons
SmCouponItemsLeadthru,Prüfe benutzte Coupons
SmRestrictedItemsTitle,Jugendschutz-Artikel
SmRestrictedItemsLeadthru,Wähle gewünschte Funktion
KeyInBirthDateButtonText,Datum eingeben
KeyInCodeButtonText,Code \neingeben
SmRunReportsTitle,Inhalt des Berichts
PrintReportButtonText,Drucke Bericht
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Jugendschutz-Artikel
AM_RestrictedNotAllowedLeadthru,Jugendschutz-Artikel wurde storniert - Alterslimit. \n\nLegen Sie Artikel auf die Seite.
TransactionCancelTitle,Vorgangs-Abbruch
TransactionCancelLeadThru,Vorgangsabbruch. Entnehmen Alle Artikel dieser \nKassenstelle.
OutOfSyncNeedAssistTitle,Hilfe
OutOfSyncNeedAssistLeadthru,"Der POS-Server läuft nicht synchron. Benutzen Sie den Hilfemodus, um ihn neu zu synchronisieren."
OutOfSyncStopTitle,Neuboot
OutOfSyncStopLeadthru,Der POS-Server ist offline oder läuft nicht synchron. Bitte fahren Sie die Kasse herunter.
MultiPackItemTitle,"Prüfen Sie, ob es sich um eine Multipackung handelt"
MultiPackItemLeadthru,"Wenn ja, berühren Sie ""Hilfemodus"", stornieren Sie den Artikel und scannen Sie den Strichcode auf der Multipackung"
CancelActionButtonText,Aktion abbrechen
EnterIDFpLeadthru,"Benutzer-ID eingeben und ""Eingabe"" drücken oder Finger auf Fingerabdruck-Lesegerät legen."
ReEnterIDFpLeadthru,Ungültige Anmeldung. Bitte melden Sie sich erneut an und verwenden Sie die Tastatur oder Ihren Fingerabdruck.
HH_SuspendLeadthru1,Aktuelle Transaktion unterbrechen? Bitte bestätigen oder abbrechen.
HH_SuspendLeadthru2,"Aktuelle Transaktion unterbrochen. Bitte bestätigen oder ""Zurück"" berühren und Transaktion abbrechen."
HH_ReEnterIDLeadthru,Falsche ID oder falsches Passwort. Bitte neu eingeben.
HH_CheckAgeLeadthru,"Geburtsdatum eingeben %s und ""Eingabe"" berühren"
HH_CouponLimitExceededLeadthru,"Berühren Sie ""Genehmigen"", um die Coupon-Abgabe an der Kasse zuzulassen, oder ""Genehmigen & Sammeln""."
HH_VisualApproveLeadthru,"""Visuell genehmigen"" oder ""Hilfemodus"" berühren, um die Transaktion zu ändern."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Artikel von der Kasse abholen, ""Beheben"" oder ""Hilfemodus"" berühren, um die Transaktion abzuschließen."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Artikel von der Kasse abholen und ""Beheben""."
HH_NoInterventionLeadthru,Kein Eingriff erforderlich.
HH_OffLineLeadthru,Kasse ist offline. System versucht die Verbindung wiederherzustellen.
HH_InvalidBirthDateFormatLeadthru,Datumsformat ungültig.\nGültiges Format: %s.
HH_VoidLeadthru,"Stornierten Artikel abholen und ""Stornierung genehmigen""."
HH_SuspendTransactionLeadthru,"""Trans. unterbrech"". berühren, um die Transaktion zu unterbrechen."
HH_DeactivateLeadthru,"Artikel deaktivieren oder Sicherheitsetikett entfernen und ""Beheben""."
HH_CompareSignatureLeadthru,"Unterschriften vergleichen und ""Genehmigen"" oder ""Unterschrift wiederholen""."
HH_EnterPriceLeadthru,"Artikelpreis eingeben und ""Eingabe"" berühren."
HH_CouponApprovalLeadthru,"Coupons vom Kunden akzeptieren und ""Genehmigen""."
HH_HelpRequestLeadthru,"""Anfrage abbrechen"" berühren, nachdem Sie dem Kunden geholfen haben."
HH_CancelTransactionGenericLeadthru,"""Ja"", um die Transaktion abzubrechen, oder ""Nein"", um sie fortzusetzen."
HH_IncorrectItemWeightLeadthru,"Artikel entfernen und ""Beheben"" oder ""Genehmigen & Gewicht aktualisieren""."
HH_UnexpectedIncreaseLeadthru,"Zusätzliche Artikel an der Kasse entfernen und ""Beheben""."
HH_SkipBaggingBtnThresholdLeadthru,"Artikel an der Kasse überprüfen und ""Beheben""."
HH_NewWeightItemLeadthru,"Gewicht prüfen und ""Genehmigen & Gewicht aktualisieren"" oder ""Genehmigen/Nicht aktualisieren""."
HH_SafetyCoverOpenLeadthru,Alle Artikel vom Laufband nehmen. Sicherheitsabdeckung schließen.
HH_VerifySignatureLeadthru,Unterschrift des Kunden mit Unterschrift auf Karte vergleichen.
HH_AssistedEndorsementLeadthru,Bestätigung erforderlich. Bitte auf Bedienerunterstützung warten.
HH_HostOfflineLeadthru,Kasse ist offline. System versucht die Verbindung wiederherzustellen.
HH_KeyInCodeLeadthru,"Artikelcode eingeben und ""Eingabe"" berühren."
HH_VoidItemLeadthru,"Artikel scannen oder auf dem Bon wählen. ""Artikel stornieren"" oder ""Alles stornieren""."
HH_UpdateItemLeadthru,"Artikel auf dem Bon wählen und ""Eingabe"" berühren."
HH_CouponNoMatchLeadthru,Coupon stimmt mit keinem Artikel auf dem Bon überein. Coupon wird nicht akzeptiert.
HH_CouponTooHighLeadthru,Couponwert ist zu groß. System akzeptiert ihn nicht.
HH_ItemQuantityExceededLeadthru,Erlaubte Menge überschritten: \n\nArtikel beiseite legen und fortfahren.
HH_VoidNoMatchLeadthru,Gescannter Artikel wurde nicht gefunden. Artikel wurde nicht gekauft oder er wurde storniert.
HH_ConfirmAbortLeadthru,Checkout abbrechen und Einkauf insgesamt stornieren?
HH_ContinueTransLeadthru,Einkauf fortsetzen?
HH_EnterQuantityLeadthru,"Menge eingeben und ""Eingabe"" berühren."
HH_SelectContainerLeadthru,"Behälter aus der Liste wählen und ""Eingabe"" berühren."
HH_ScaleBrokenLeadthru,"Artikel von der Waage nehmen und ""Nulltaste"" am Scanner drücken."
HH_UpdateNotAllowedLeadthru,Änderung der Menge nicht erlaubt.
HH_AM_RestrictedNotAllowedLeadthru,Artikel wurde storniert - Mindestalter nicht erreicht. Legen Sie den Artikel beiseite.
HH_OutOfSyncNeedAssistLeadthru,"POS-Server läuft nicht synchron. ""Hilfemodus"" berühren, um ihn neu zu synchronisieren."
HH_OutOfSyncStopLeadthru,POS-Server ist offline oder läuft nicht synchron. Kasse herunterfahren.
HH_MultiPackItemLeadthru,"Falls Multipackung, ""Hilfemodus"" berühren, Artikel stornieren und dann Strichcode der Multipackung scannen."
HH_ReturnToShoppingButtonText,Zurück
DoneButtonText,Fertig
ConfirmSuspendFromLaneStatusLeadthruText,Bestätige oder lösche Zurückstellung
HH_SuspendTransactionButtonText,Trans. unterbrech.
HH_TransactionCancelTitle,Vorgangs-Abbruch
HH_TransactionCancelLeadThru,Vorgangsabbruch. Entnehmen Alle Artikel dieser Kassenstelle.
ShiftButtonText,Umschalt
FixLaterButtonText,Später beheben
HopperLaneButtonText,Münzersatz
