AmountSaved,Kazanılan Tutar
SearchKeyInItem,Ürünü Arayın veya Tuşlayın
SelectCashBack,Para Üstü Tutarını Seç
SelectLanguage,Bir Dil Seçin
SelectPaymentType,Ödeme Türü Seç
SellBags,"Kaç adet plastik poşet kullandınız? Hiç kullanmadıysanız 0'ı tuşlayın."
SignNeeded,İmza Gerekiyor
SignSignature,İmza pedini imzalayın.
SkipBagging,Poşetlemeyi Atla
Space,Boşluk Tuşu
StartScanning,Taramaya Başla
StoreLogin,Mağaza Oturum Açma
TakeCash,İade Edilen Paranızı Alın
TakeChange,Para Üstü Al
TakeReceipt,Fişi Al
Tax,Vergi
TimeRestrictedItem,Zaman Kısıtlamalı Ürünler
Total,Toplam
TouchCancel,"Ödemeyi iptal etmek için pin pedde iptal et'e basın."
TryAgain,Yeniden Dene
UnexpectedDecreaseMessage,Ürünü poşetleme alanına koyun.
UnexpectedIncreaseMessage,Ürünü poşetleme alanından alın.
UsePinpad,Pin pedi Kullan
VoidItem,"İstemediğiniz ürünleri taratarak makbuzda ""Kaldır""a basın."
Volume,Hacim
Yes,Evet
ItemNumberAmount,ÜA:
WeightExpected,BA:
WeightObserved,GA:
UnknownPriceMessage,Ürün fiyatı bilinmiyor.\nYardım geliyor.\n\nÜrünü kenara ayırın ve devam edin.
SetAllItemsAsideMessage,Tüm satın alma işlemi iptal edildi.\n\nTüm ürünleri kenara koyun.
ConfirmAbortMessage,Alışveriş sepetini boşaltmak istediğinize emin misiniz? İşlem iptal edilecek.
NoKeep,"Hayır, kalsın."
NoReturn,"Hayır, işleme geri dön."
YesEmpty,"Evet, alışveriş sepetini boşalt ve işlemi sonlandır."
YesRemove,"Evet, kaldır."
HostOfflineMessage,Kasa çevrimdışı ve sistem tekrar bağlanmaya çalışıyor.
LaneClosedMessage,Kasa Kapatıldı
LoadingText,Yükleniyor
VerifyBagsMessage,Poşetleme alanına yanlışlıkla poşetten başka bir şey koyduysanız lütfen kaldırın.
HelpOnWay,Yardım geliyor. Lütfen bekleyin.
OwnBagMessage,Lütfen ürünlerinizi tartıya yerleştirin.
UseOwnBag,Poşet/Kutu
AttendantMode,Sorumlu Modu
AttendantTrainingMode,Sorumlu & Eğitim Modu
TrainingMode,Eğitim Modu
ScaleBroken,"Ürünü tartıdan kaldırın ve tarayıcıda \n""Tartıyı Sıfırla"" tuşuna basın."
Refunded,Geri Ödenen:
EnterIDMessage,"Kullanıcı Kimliğinizi girin ve ""Giriş"" e basın."
EnterIDText,Kimlik Gir
EnterPasswordMessage,"Şifrenizi girin ve ""Giriş"" e basın."
EnterPasswordText,Şifre Gir
VisualVerify,Görsel Onaylama
SingleItemAddedFormat,{0} Alışveriş sepetine eklenecek ürün.
Approved,Onaylandı
VoidItemBeforeCouponMessage,Kuponu iptal edilmeden ürün iptal edilemiyor. Önce ürün kuponunu iptal edin.
VerifyBags,Sorumlu poşetlerinizi onaylayacak.
CancelItems,Ürünleri İptal Et
EnterQuantityTitle,Gerekli Miktar
SecUnExpectedIncreaseTitle,Paketleme Uyarısı
WeightMismatchTitle,Yardım Gerekiyor
AssistanceNeededTitle,Yardım Gerekiyor
CheckBasketTitle,Sepeti Kontrol Et
ConfirmDebitAmountTitle,Tutarı Onayla
DropoffCouponsTitle,Kuponları Teslim Edin.
InsufficientBalanceTitle,Yetersiz Bakiye
OperatorPasswordStateInvalidPasswordWithFPTitle,Parmak İziyle Giriş Başarısız
PurchaseCrateTitle,Kasa Satın Al
RestrictedItemTitle,İzne Tabi Ürün
SecBagAreaBackupTitle,Biriken Ürünler
SignChargeTitle,Fişi İmzala
TakeCardTitle,Kartı Al
ContinueTitle,Devam edilsin mi?
ApprovalNeededTitle,Onaylamanız Gerekiyor
IncorrectLoginTitle,Hatalı Sayı
RecalledItemTitle,Piyasadan Çekilmiş Ürün
RemovedItemTitle,Paketleme Uyarısı
SetAllItemsAsideTitle,Ürünleri Kenara Koy
TakeLoyaltyCardTitle,Müşteri Kartını Al
UnknownPriceTitle,Bilinmeyen Fiyat
ConfirmEBTAmountTitle,Tutarı Onayla
DisconnectedTitle,Bağlantı kesildi
ShuttingDown,Kapatılıyor
NoneText,Hiçbiri
SMText,Mağaza Modu
SMLogInReceiptText,Mağaza Modunda Oturum Açıldı
SMLogOutReceiptText,Mağaza Modunda Oturum Kapandı
WLDBOffLineText,Ağırlık Veri Tabanı: Çevrim Dışı
OperatorIDText,Operatör Kimliği
SignOnButtonText,Oturum Aç
SignOffButtonText,Oturumu Kapat
AlertText,İkazlar:
SuspendInProgressText,Askıya alma tamamlanıyor
SuspendLeadthru1,Mevcut işlemin askıya alınması talep edildi. \nLütfen talebi onaylayın veya iptal edin.
SuspendLeadthru2,"Mevcut işlemi askıya aldınız. Lütfen talebinizi onaylayın. İptal etmek için ""Geri"" tuşuna basın ve NCR SelfServ Checkout Terminali’nden işlemi iptal edin."
ReceiptText,Fiş:
SuspendReasonText1,Askıya alma: Genel
CancelSuspendButtonText,Askıya Alma İptal Et
ConfirmSuspendNowButtonText,Askıya Almayı Onayla \nŞimdi
ConfirmAllowSuspendButtonText,İzni Onayla \nAskıya Al
ConfirmSuspendRequestButtonText,Askıya Almayı Onayla \nTalep Et
CancelSuspendNowButtonText,Askıya Almayı İptal Et\nŞimdi
GoBackButtonText,Geri
CancelSuspendRequestButtonText,Askıya Almayı İptal Et\nTalep
CouponText,Kuponlar:
SuspendReasonText2,Askıya Al: Kuponlar
CouponReceiptText,%d $ tutarındaki %.2f kupon
SuspendNowButtonText,Şimdi Askıya Al
RequestSuspendButtonText,Askıya Alma Talep Et
NotConnectedText,Bağlantı Yok
ConnectingText,Bağlanıyor...Lütfen Bekleyin
ApprovalNeededText,Onay Gerekli:
SuspendReasonText3,Askıya Al: Diğer
ClearRequestButtonText,Talebi Sil
ApproveButtonText,Onayla
RestrictedItemText,İzne Tabi Ürünler
SuspendReasonText4,Askıya Al: İzne Tabi
SecurityLogText,Güvenlik Kaydı:
SuspendReasonText5,Askıya Al: Güvenlik
SignatureText,İmza:
SignatureAndNameText,İmza: %s
ConnectingLeadthru,NCR SelfServ Checkout’e Bağlanıyor...Lütfen bekleyin
EnterIDLeadthru,Aşağıdaki tuş takımını kullanarak kimliğinizi girin.
EnterPasswordLeadthru,Aşağıdaki tuş takımını kullanarak şifrenizi girin.
LoggingInLeadthru,Oturum açılıyor...Lütfen bekleyin
ApproveSecurityButtonText,Onayla\nGüvenlik
ApprovalNeededButtonText,Onay Gerekli
VerifySignatureButtonText,Doğrulama\n\nİmza
AllowSuspendButtonText,Askıya Almaya İzin Ver
MainButtonText,Ana
SuspendTransactionButtonText,İşlemi Askıya Al
ApproveAndCollectButtonText,Onayla ve Tahsil Et
ClearApprovalsButtonText,Onayları Sil
BirthDateOver30ButtonText,30 yaş üzerinde
SignAgainButtonText,Yeniden İmzala
BackSpaceButtonText,Geri Tuşu
EnterButtonText,Giriş
LaneNumberText,Kasa: %d
RAPTitle,NCR SelfServ Checkout\nUzaktan Onay İstasyonu
CancelSuspendText,Askıya Almayı İptal Et
OtherPaymentSelectedText,Diğer Ödeme seçildi
CouponCollectionText,Kupon Toplama
PendingSuspendText,Askıya Alınıyor
SignatureApprovalText,İmza Onayı
LaneText,Kasa
VideoButtonText,Video
ClearButtonText,Sil
QuantityButtonText,Miktar
FeesAndCustomerAgreementsTitle,Ek Ücretler ve Müşteri Anlaşmaları:
FeesButtonText,Ek Ücretler
CustomerAgreementButtonText,Müşteri Anlaşması
FeesAndCustomerAgreementsLeadthru,Ek Ücretler ve Müşteri Anlaşmaları
TransactionSuspendedText,İşlem Askıya Alındı
POSMessageText,POS Mesajı:
ConnectingWaitingText,"Lütfen bekleyin, NCR SelfServ Checkout’e bağlanılıyor..."
DateOfBirthNotNeededButtonText,Tarih gerekmiyor
AssistModeButtonText,Yardım Moduna
ClearSecurityButtonText,Güvenliği Kaldır
VisualApproveButtonText,Görsel Onay
CheckAgeTitle,Müşterinin Yaşını Kontrol Et
CouponLimitExceededTitle,Kupon Limiti Aşıldı
VerifyItemAndPriceTitle,Ürün ve Fiyatı Doğrula
UnknownItemTitle,Bilinmeyen Ürün Kenara Ayrıldı
ItemNotForSaleTitle,Ürün Satılık Değil
ItemQuantityExceededTitle,Ürün Miktarı Aşıldı
TimeRestrictedItemTitle,Zaman Kısıtlamalı Ürün
CheckAgeLeadthru,"Doğum tarihini %s tuşlayıp ""Giriş""ya basın"
InvalidBirthDateFormatLeadthru,Girilen Tarih Degeri geçersiz \n%s formatinda tekrar girin
CouponLimitExceededLeadthru,"Kuponla ödeme için kasada ""Onayla""ya basın veya ""Onayla ve Al""a basarak müşteriden alın."
VisualApproveLeadthru,"""Görsel Onay""a basın veya işlemi belirlemek için ""Yardım Modu""na basın."
UnknownItemLeadthru,"Ürünü kasadan alın ve ""Güvenliği Kaldır""a basın veya işlemi tamamlamak için ""Yardım Modu""na basın."
ItemNotForSaleLeadthru,"Ürünü kasadan alın ve ""Güvenliği Kaldır""a basın."
OffLineLaneButtonText,Çevrimdışı
ExitText,Çik
EnterDataLaneButtonText,Veri Gir
AgeCheckLaneButtonText,Yas Kontrolü
CouponLaneButtonText,Kupon
VoidLaneButtonText,İptal
VerifyItemLaneButtonText,Ürünü Onayla
NotFoundLaneButtonText,Bulunamadı
NoSaleLaneButtonText,Indirim Yok
QuantityLaneButtonText,Miktar
HelpLaneButtonText,Yardım
NoInterventionLeadthru,Şu anda müdahaleye gerek yok.
OffLineLeadthru,Kasa şu anda çevrimdışı ve sistem otomatik olarak tekrar bağlanmaya çalışıyor.
CancelRequestButtonText,Talebi İptal Et
HelpRequestTitle,Yardim Talep Edildi
SecurityLaneButtonText,Güvenlik
VoidLeadthru,"İptal edilen ürünü alın ve ""İptali Onayla""ya basın."
ApproveVoidButtonText,İptali Onayla
SecurityLeadthru,"Güvenlik için müşteri işlemini gözden geçirin ve ""Güvenliği Onayla"" ya  basın."
SecurityViolationText,Güvenlik İhlali
OtherPaymentText,"""Diğer Ödeme"" Seçildi"
SuspendTransactionLeadthru,"""İşlemi Askıya Al""a veya ""Yardım Modu""na basın ve ödemeyi kabul edin."
EASText,EAS etiketli ürün hala aktif  
DeactivateLeadthru,"Ürünü etkisiz hale getir veya sert etiketi kaldır ve ""Güvenliği Kaldır""a basın."
CompareSignatureTitle,İmzaları Karşılaştır
CompareSignatureLeadthru,"İmzaları karşılaştır ve ""Onayla"" veya ""Yeniden Oturum Aç""a basın."
EnterPriceLeadthru,"Ürünün fiyatını girin ve ""Giriş""e basın."
UtilityButtonText,Yardımcı araçlar
ReturnToMainButtonText,Ana Menüye Dön
GetDiagFilesButtonText,Tanı Dosyalarını Al
CouponApprovalLeadthru,"Müşteri kuponlarını onay istasyonunda kabul et ve ""Onayla""ya bas"
RebootSystemButtonText,Tüm Sistemi Yeniden Yükle
ShutDownSystemButtonText,Tüm Sistemi Kapat
LaneStatusTitle,Kasa Statüsü
LaneStatusLeadthru,İşlev Seç
AgeRestrictedText,Yaş kısıtlamalı ürün; %2d yaş ve üzeri
BirthdateEnterText,"Girilen doğum tarihi: %2d/%2d/%4d,%d yaşında"
HelpRequestLeadthru,"Müşteriye yardım ettikten sonra ""Talebi İptal Et""e basın."
TotalText,Toplam:
ItemText,Ürünler:
MultimediaTrainingText,Multimedya Eğitimi
VolumeControlButtonText,Ses Kontrolü
SecurityViolationNumText,Güvenlik İhlalleri
ItemPurchasedText,Satın Alınan Ürünler:
EnterPriceTitle,Fiyat Girişi
CancelTransactionGenericTitle,İşlemi İptal Et
CancelTransactionGenericLeadthru,"İşlemi iptal etmek için ""Evet""e, devam ettirmek için ""Hayır""a bas."
YesButtonText,Evet
NoButtonText,Hayır
ConfirmSuspendTitle,Askıya Al:
ConfirmSuspendLeadthru,Askıya Almayı Onayla.
ConfirmSuspendButtonText,Askıya Almayı Onayla
IncorrectItemWeightTitle,Güvenlik tartısında hatalı ağırlık.
IncorrectItemWeightLeadthru,"Ürünü çıkarın ve ""Güvenliği Kaldır""a basın veya ""Ağırlığı Onayla ve Güncelle""ye basın."
ApproveUpdateButtonText,Ağırlığı Onayla ve Güncelle
UnexpectedIncreaseTitle,Güvenlik tartısında beklenmeyen ürün.
UnexpectedIncreaseLeadthru,"Kasaya gidin, ekstra ürünleri çıkarın ve ""Güvenliği Kaldır""a basın."
SkipBaggingBtnThresholdLeadthru,"Kasadaki ürünleri kontrol edin ve ""Güvenliği Kaldır""a basın."
NewWeightItemTitle,Ürün ağırlığı kaydı yok.
NewWeightItemLeadthru,"Ürün ağırlığını onayla ve ""Ağırlığı Onayla ve Güncelle""ye bas veya ""Onayla/Güncelleme Yok""a bas."
ApproveNoUpdateButtonText,Onayla/Güncelleme Yok
BagItemTimerExpiredTitle,Güvenlik tartısında beklenen ağırlık
TakeChangeTimerExpiredTitle,Para üstü al
TakeChangeTimerExpiredBottomCaption,Süre doldu
PickingUpItemsTimerExpiredTitle,Ürünler paketleme alanına iade edilmedi.
DeviceFailureTitle,Cihaz Arızası
DeviceFailureLeadthru,Kasaya git ve cihazı kontrol et.
WLDBFailureTitle,WLDB bağlantısı doğru şekilde yapılamıyor.
WLDBFailureLeadthru,Bağlantıyı kontrol et.
UnexpectedDecreaseTitle,Ürün paketleme alanından kaldırıldı.
ClosedLaneTitle,Kasaya git ve kasayı açmak için Yükleme Modunda oturum aç
ClosedLaneLeadthru,Kasa kapatıldı
BagAreaBackupTitle,Bantta Birikmiş Ürün
BagAreaBackupLeadthru,Bantta biriken ürünleri kaldırın.
MinimumAgeText,Minimum yaş sınırı
SafetyCoverOpenLeadthru,Banttaki tüm ürünleri kaldırın ve güvenlik kapağını kapatın.
VerifySignatureLeadthru,Karttaki imzayla müşterinin imzasını karşılaştır.
AssistedTenderTitle,Operatör Yardımlı Ödeme
AssistedTenderLeadthru,Müşteriden çek kabul etmek için yardım modunu kullan.
AssistedTenderHHLeadthru,Ödemeyi kabul etmek için Görevli İstasyonunu kullanın.
AssistedEndorsementLeadthru,Kabul Gerekiyor. Lütfen operatör yardımı için bekleyin.
StartTransactionButtonText,İşlemi Başlat
StartTransactionTitle,Operatör Yardımlı Fonksiyonlar
StartTransactionLeadthru,İstediğiniz fonksiyonu seçin
StartTransactionAMButtonText,Başlat ve Yardım Et
ItemsForgottenTitle,Kalan ağırlık /npaket tartısında
InsertCouponTimerExpiredTitle,Kuponu Yerleştir
CollectGiftCardTitle,Hediye Kartını Al
HostOfflineLeadthru,Kasa çevrimdışı ve sistem yeniden bağlanmaya çalışıyor.
SpaceButtonText,Boşluk
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tMkt %s @ %s/adet başına \t%s
LaneReceiptItemType4,%s\t%s\tMkt %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Kasayı Kapat
ReportingButtonText,Bildiriyor
KeyInCodeTitle,Kodu Gir
KeyInCodeLeadthru,"Ürünün kodunu girin ve ""OK""e basın"
VoidItemButtonText,İptal Edilmiş Ürün
ChangePriceButtonText,Fiyat Değişikliği
ChangeQuantityButtonText,Miktar Değişikliği
ReturnToShoppingButtonText,Alışveriş Moduna Geri Dön
BasicAssistModeTitle,Yardım Fonksiyonları
BasicAssistModeLeadthru,Ürünü okut veya fonksiyon seç.
ChangePriceTitle,Fiyat Değiştir
KeyInPriceLeadthru,%d %s için fiyat gir
VoidAllButtonText,Tümünü İptal et
VoidItemTitle,Ürünleri İptal Et
VoidItemLeadthru,"Makbuzda ürünü tara veya ürüne git ""Ürünü İptal Et""  veya ""Tümünü İptal Et""e bas."
ChangeQuantityTitle,Miktar Değiştir
KeyInQuantityLeadthru,%s için miktar gir
FullAssistButtonText,Tam Yardım
CloseButtonText,Kapat
UpdateItemLeadthru,"Makbuzda ürüne git ve ""Giriş""e bas"
OKButtonText,OK
CouponNoMatchLeadthru,Kupon makbuzdaki herhangi bir ürünle eşleşmiyor. Bu kupon kabul edilemez.
CouponTooHighLeadthru,Bu kupon için girdiğiniz tutar çok yüksek. Bu sistem bu kuponu kabul edemez.
EnterCouponValueLeadthru,"Kupon değerini sent olarak girin ve ""Giriş""e basın."
ItemQuantityExceededLeadthru,Bu ürün için izin verilen miktarı aştınız. Lütfen ürünü çıkarın ve devam edin.
ProcessingLeadthru,İşlem gerçekleştiriliyor...Lütfen bekleyin.
VoidNoMatchLeadthru,Taranan ürün bulunamıyor. Henüz satın alınmamış veya iptal edilmiş.
ConfirmAbortLeadthru,Ödemeyi durdurup satın alma işleminizi iptal etmek istiyor musunuz?
ContinueTransLeadthru,Satın alma işlemine devam etmek istiyor musunuz?
ConfirmQuantityTitle,Miktarı Onayla
ConfirmVoidTitle,İptali Onayla
CouponNoMatchTitle,Uyumsuz Kupon
CouponTooHighTitle,Kupon Değeri Çok Yüksek
CrateableItemTitle,Kasa Satın Alın
EnterCouponValueTitle,Kupon Değeri Girin
EnterQuantityLeadthru,"Miktarı tuşlayın ve ""Giriş""e basın."
EnterWeightTitle,Ürünü Tart
EnterWeightLeadthru,Kasaya git ve ürünü tartıya koy
AMItemQuantityExceededTitle,Miktar Sınırı
ProcessingTitle,İşlem gerçekleştiriliyor...
SelectContainerTitle,Ambalaj Seç
SelectContainerLeadthru,"Listeden ambalaj seç ve ""Giriş""e bas."
VoidNoMatchTitle,Ürün İptal Edilemiyor
ConfirmAbortTitle,Tüm Ürünleri İptal Et
ContinueTransTitle,Devam Edilsin mi?
ScaleBrokenTitle,Tartıyı Sıfırla
ScaleBrokenLeadthru,"Ürünü tartıdan kaldır ve tarayıcıda ""Tartıyı Sıfırla""ya bas."
UpdateNotAllowedTitle,Ürün Güncellenemiyor
UpdateNotAllowedLeadthru,Tartılan üründe miktar değişikliği yapılamaz.
SmEnterBirthdateTitle,İzne Tabi Ürünler
SmEnterBirthdateLeadthru,Müşterinin doğum tarihini tuşla
SmVisualItemsTitle,Görsel Onaylamalar
SmVisualItemsLeadthru,Görsel Onay Ürünlerini Onayla
SmCouponItemsTitle,Kullanılan Kuponları Onayla
SmCouponItemsLeadthru,Kullanılan kuponları kontrol et
SmRestrictedItemsTitle,İzne Tabi Ürünler
SmRestrictedItemsLeadthru,İstenen fonksiyonu seç.
KeyInBirthDateButtonText,Tarih gir
KeyInCodeButtonText,Kodu \nTuşla
SmRunReportsTitle,İçeriği Raporla
PrintReportButtonText,Raporu Yazdır
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,İzne Tabi Ürün
AM_RestrictedNotAllowedLeadthru,İzne Tabi ürün iptal edildi-yaş sınırını aşıyor. \n\nLütfen ürünü çıkarın.
TransactionCancelTitle,İşlem İptali
TransactionCancelLeadThru,İşlem iptal edildi. Ürünleri bu çıkış \nnoktasından çıkartın.
OutOfSyncNeedAssistTitle,YARDIM
OutOfSyncNeedAssistLeadthru,"POS makinesi senkronsuz, senkronize etmek için lütfen Yardım Modu’ na geçin."
OutOfSyncStopTitle,YENİDEN YÜKLE
OutOfSyncStopLeadthru,"POS sunucusu işlev dışı veya senkronsuz, lütfen düğmeyi kullanarak terminali kapatın."
MultiPackItemTitle,Çoklu paket kontrolü yap
MultiPackItemLeadthru,"Eğer ürün çoklu paketse, ""Yardım Modu""na basın ve iptal edin, daha sonra çoklu paket barkodunu okutun."
CancelActionButtonText,İşlemi İptal Et
EnterIDFpLeadthru,Kullanıcı Adınızı girin ve “Giriş”e basın veya giriş yapmak için parmağınızı parmak izi okuyucusuna yerleştirin.
ReEnterIDFpLeadthru,Geçersiz Giriş. Lütfen klavyeyi veya parmak izinizi kullanarak tekrar giriş yapın.
HH_SuspendLeadthru1,Mevcut işlem askıya alınsın mı? Onayla veya İptal et.
HH_SuspendLeadthru2,"Mevcut işlem askıya alındı. Onayla. İptal etmek için ""Geri""ye bas ve iptal et."
HH_ReEnterIDLeadthru,Hatalı Kimlik veya şifre. Lütfen tuş takımını kullanarak tekrar giriş yapın.
HH_CheckAgeLeadthru,"Doğum tarihini %s\n tuşlayıp ""Giriş""ya basın"
HH_CouponLimitExceededLeadthru,"Kuponları kasada ""Onayla""ya basın veya müşteriden almak için ""Onayla ve Al""ı seçin."
HH_VisualApproveLeadthru,"İşlemi değiştirmek için ""Görsel Onay"" veya ""Yardım Modu""nu seçin."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Ürün alımını tamamlamak için ""Güvenliği Kaldır""ı veya ""Yardım Modu""nu seçin."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Ürünü kasada al ve ""Güvenliği Kaldır""."
HH_NoInterventionLeadthru,Müdahale gerekmiyor.
HH_OffLineLeadthru,Kasa çevrimdışı. Sisteme tekrar bağlanılmaya çalışılıyor.
HH_InvalidBirthDateFormatLeadthru,Tarih formatı geçersiz\n %s formatında giriş yapın.
HH_VoidLeadthru,"İptal edilen ürünü al ve ""İptali Onayla""."
HH_SuspendTransactionLeadthru,"İşlemi askıya almak için ""İşlemi Askıya Al""a basın."
HH_DeactivateLeadthru,"Ürünü etkisiz hale getirin veya sert etiketi çıkarın ve ""Güvenliği Kaldır""a basın."
HH_CompareSignatureLeadthru,"İmzaları karşılaştır ve ""Onayla"" veya ""Tekrar Giriş Yap""ı seç."
HH_EnterPriceLeadthru,"Ürün fiyatını gir ve ""Giriş""e bas."
HH_CouponApprovalLeadthru,"Müşteriden kupon kabul et ve ""Onayla""."
HH_HelpRequestLeadthru,"Müşteriye yardım ettikten sonra ""Talebi İptal Et""."
HH_CancelTransactionGenericLeadthru,"İşlemi iptal etmek için ""Evet"", devam etmek için ""Hayır""a basın."
HH_IncorrectItemWeightLeadthru,"Ürünü kaldır ve ""Güvenliği Kaldır"" veya ""Onayla ve Ağırlığı Güncelle""."
HH_UnexpectedIncreaseLeadthru,"Ekstra ürünleri kasadan çıkar ve ""Güvenliği Kaldır""."
HH_SkipBaggingBtnThresholdLeadthru,"Ürünleri kasada kontrol et ve ""Güvenliği Kaldır""."
HH_NewWeightItemLeadthru,"Ağırlığı doğrula ve ""Onayla ve Ağırlığı Güncelle"" veya ""Onayla/Güncelleme Yok""a basın."
HH_SafetyCoverOpenLeadthru,Tüm ürünleri banttan kaldır. Güvenlik kapağını kapat.
HH_VerifySignatureLeadthru,Müşterinin imzasını karttaki imzayla karşılaştır.
HH_AssistedEndorsementLeadthru,Kabul Gerekiyor. Operatör yardımı için bekleyin.
HH_HostOfflineLeadthru,Kasa çevrimdışı. Sisteme yeniden bağlanılmaya çalışılıyor.
HH_KeyInCodeLeadthru,"Ürün kodunu tuşlayın ve ""Giriş""e basın."
HH_VoidItemLeadthru,"Makbuzda ürünü tara veya ara. ""Ürünü İptal Et"" veya ""Tümünü İptal Et""."
HH_UpdateItemLeadthru,"Makbuzda ürünü ara ve ""Giriş""e bas."
HH_CouponNoMatchLeadthru,Kupon makbuzdaki hiçbir ürüne uymuyor. Kupon kabul edilmedi.
HH_CouponTooHighLeadthru,Kupon tutarı çok yüksek. Sistem kuponu kabul edemez.
HH_ItemQuantityExceededLeadthru,İzin verilen miktar aşıldı. Ürünü çıkarın ve devam edin.
HH_VoidNoMatchLeadthru,Taranan ürün bulunamıyor. Ürün satın alınmamış veya iptal edilmiş.
HH_ConfirmAbortLeadthru,Hesap kapama durdurulup tüm satın alma işlemi iptal edilsin mi?
HH_ContinueTransLeadthru,Satın alma işlemine devam edilsin mi?
HH_EnterQuantityLeadthru,"Miktarı tuşlayın ve ""Giriş""e basın."
HH_SelectContainerLeadthru,"Listeden ambalaj seçin ve ""Giriş""e basın."
HH_ScaleBrokenLeadthru,"Ürünü tartıdan kaldırın ve tarayıcıdan ""Tartıyı Sıfırla""ya basın."
HH_UpdateNotAllowedLeadthru,Miktar değişikliği yapılamaz.
HH_AM_RestrictedNotAllowedLeadthru,İzne tabi ürün iptal edildi-yaş sınırını aşıyor. \n\nÜrünü çıkarın.
HH_OutOfSyncNeedAssistLeadthru,"POS makinesi senkronsuz, yeniden senkronize etmek için ""Yardım Modu""."
HH_OutOfSyncStopLeadthru,"POS sunucusu devre dışı veya senkronsuz, düğmeyi kullanarak terminali kapatın."
HH_MultiPackItemLeadthru,"Ürün çoklu paketse, ""Yardım Modu’na geçerek iptal edin ve ardından çoklu paket barkodunu okutun.  "
HH_ReturnToShoppingButtonText,İade
DoneButtonText,Bitti.
ConfirmSuspendFromLaneStatusLeadthruText,Askıya almayı onayla veya iptal et.
HH_SuspendTransactionButtonText,İşlemi Askıya Al.
HH_TransactionCancelTitle,İşlem İptali
HH_TransactionCancelLeadThru,İşlem iptal edildi. Ürünleri bu çıkış noktasından çıkartın.
ShiftButtonText,Değiştir
FixLaterButtonText,Daha Sonra Onar
