AmountSaved,Заощаджено
CloseLaneButtonText,Закрити касу
ReportingButtonText,Звіти
KeyInCodeTitle,Введіть код
KeyInCodeLeadthru,Введіть код товару і натисніть “OK”.
VoidItemButtonText,Скасувати товар
ChangePriceButtonText,ціну Змінити
ChangeQuantityButtonText,кількість Змінити
ReturnToShoppingButtonText,Назад у режим “Покупки”
BasicAssistModeTitle,Функції в режимі “Касир”
BasicAssistModeLeadthru,Відскануйте товар або виберіть функцію.
ChangePriceTitle,Змінити ціну
KeyInPriceLeadthru,Введіть ціну на товар: %d %s
VoidAllButtonText,Скасувати все
VoidItemTitle,Скасувати товар
VoidItemLeadthru,Відскануйте або знайдіть у списку товар на чеку і натисніть “Скасувати товар” або “Скасувати все”.
ChangeQuantityTitle,Змінити кількість
KeyInQuantityLeadthru,Введіть кількість товару: %s
FullAssistButtonText,повний Касир
CloseButtonText,Закрити
UpdateItemLeadthru,Знайдіть у списку товар на чеку і натисніть “Ввести”.
OKButtonText,ОК
CouponNoMatchLeadthru,Купон не відповідає придбаним товарам. Прийняти купон неможливо.
CouponTooHighLeadthru,Введено завелику вартість купона.\nПрийняти купон неможливо.
EnterCouponValueLeadthru,Введіть вартість купона в гривнях і натисніть “Ввести”.
ItemQuantityExceededLeadthru,Завелика кількість одиниць товару. Відкладіть товар і продовжіть.
ProcessingLeadthru,Обробляється...Зачекайте.
VoidNoMatchLeadthru,Відсканований товар не знайдено. Цей товар ще не придбано або вже скасовано.
ConfirmAbortLeadthru,Припинити оформлення покупки та скасувати її повністю?
ContinueTransLeadthru,Бажаєте продовжити купівлю?
ConfirmQuantityTitle,Підтвердити кількість
ConfirmVoidTitle,"Так, скасувати"
CouponNoMatchTitle,Невідповідний купон
CouponTooHighTitle,Вартість купона завелика
CrateableItemTitle,Купити ящик
EnterCouponValueTitle,Введіть вартість купона
EnterQuantityLeadthru,Введіть кількість і натисніть “Ввести”.
EnterWeightTitle,Зважити товар
EnterWeightLeadthru,Перейдіть до каси і покладіть товар на ваги.
AMItemQuantityExceededTitle,Ліміт кількості
ProcessingTitle,Обробляється...
SelectContainerTitle,Вибір ємності
SelectContainerLeadthru,Обрати ємність зі списку і натисніть “Ввести”.
VoidNoMatchTitle,Скасувати товари не можна
ConfirmAbortTitle,Скасувати всі товари
ContinueTransTitle,Продовжити?
ScaleBrokenTitle,Обнулити ваги
ScaleBrokenLeadthru,"Зніміть товар з ваг, натисніть на сканері кнопку “Обнулити ваги”."
UpdateNotAllowedTitle,Неможливо оновити товар
UpdateNotAllowedLeadthru,Змінювати кількість зваженого товару не можна.
SmEnterBirthdateTitle,Обмежений відпуск
SmEnterBirthdateLeadthru,Введіть дату народження покупця
SmVisualItemsTitle,Візуальний контроль
SmVisualItemsLeadthru,Дозвіл на відпуск товарів візуального контролю
SmCouponItemsTitle,Прийняти використані купони
SmCouponItemsLeadthru,Перевірити використані купони
SmRestrictedItemsTitle,Обмежений відпуск
SmRestrictedItemsLeadthru,Виберіть потрібну функцію.
KeyInBirthDateButtonText,Введіть дату
KeyInCodeButtonText,Введіть \nкод
SmRunReportsTitle,Зміст звіту
PrintReportButtonText,Друкувати звіт
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Обмежений відпуск
AM_RestrictedNotAllowedLeadthru,Товари обмеженого відпуску скасовано: вікові обмеження.\n\nВідкладіть товар.
TransactionCancelTitle,Скасування операції
TransactionCancelLeadThru,Операцію скасовано. товари з цієї касової стійки.
OutOfSyncNeedAssistTitle,КАСИР
OutOfSyncNeedAssistLeadthru,Касовий термінал працює несинхронно. Відновіть зв’язок у режимі “Касир”.
OutOfSyncStopTitle,ПЕРЕЗАВАНТАЖЕННЯ
OutOfSyncStopLeadthru,Сервер касових терміналів не працює або працює несинхронно. Вимкніть термінал вимикачем.
MultiPackItemTitle,"Перевірте, чи є товар набором"
MultiPackItemLeadthru,"Якщо так, скасуйте товар у режимі “Касир” і відскануйте штрих-код набору."
CancelActionButtonText,Скасувати дію
EnterIDFpLeadthru,Для входу наберіть код користувача і натисніть “Ввести” або покладіть палець на дактилоскоп.
ReEnterIDFpLeadthru,Невірний код користувача. Введіть код ще раз або покладіть палець на дактилоскоп.
HH_SuspendLeadthru1,Відкласти поточну операцію? Підтвердіть або скасуйте.
HH_SuspendLeadthru2,"Поточну операцію відкладено. Так, відкласти. Щоб скасувати, натисніть “Назад” і скасуйте."
HH_ReEnterIDLeadthru,Невірний код чи пароль. Введіть на клавіатурі ще раз.
HH_CheckAgeLeadthru,Введіть дату народження %s і натисніть “Ввести”.
HH_CouponLimitExceededLeadthru,Внести купони на касі: “Прийняти”. Взяти у покупця: “Прийняти і взяти”.
HH_VisualApproveLeadthru,“Візуальна перевірка” або відредагуйте операцію в режимі “Касир”.
HH_VisualApproveLeadthru2,"""Visual Прийнято"", or ""Режим “Касир”"" at Lane to modify."
HH_UnknownItemLeadthru,"Візьміть товар, “Зняти контроль”; або закінчіть у режимі “Касир”."
HH_UnknownItemLeadthru2,"Візьміть картку item, ""Зняти контроль"", or use ""Режим “Касир”"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Візьміть товар на касі, натисніть “Зняти контроль”."
HH_NoInterventionLeadthru,Втручання не потрібне.
HH_OffLineLeadthru,Каса не в мережі. Іде спроба відновити зв’язок.
HH_InvalidBirthDateFormatLeadthru,Невірний формат дати. \nВведіть у форматі %s.
HH_VoidLeadthru,"Візьміть картку voided item and ""Скасувати""."
HH_SuspendTransactionLeadthru,"Щоб відкласти операцію, натисніть “Відкласти опер”."
HH_DeactivateLeadthru,На касі відключіть або зніміть з товару протикрадіжковий давач і натисніть “Зняти контроль”.
HH_CompareSignatureLeadthru,"Порівняти підпис and ""Прийнято"", or ""Другий підпис""."
HH_EnterPriceLeadthru,"Введіть ціну товару, “Ввести”."
HH_CouponApprovalLeadthru,"Приміть купони у покупця, “Прийняти”."
HH_HelpRequestLeadthru,Після надання допомоги - “Скасувати запит”.
HH_CancelTransactionGenericLeadthru,"Скасувати операцію - натисніть “Так”, продовжити - натисніть “Ні”."
HH_IncorrectItemWeightLeadthru,Зніміть товар і натисніть “Зняти контроль” або натисніть “Підтвердити і змінити вагу”.
HH_UnexpectedIncreaseLeadthru,"Підійдіть до каси, зніміть зайві товари і натисніть “Зняти контроль”."
HH_SkipBaggingBtnThresholdLeadthru,Перевірте товари на касі і натисніть “Зняти контроль”.
HH_NewWeightItemLeadthru,Перевірте вагу товару і натисніть “Підтвердити і змінити вагу” або натисніть “Прийняти без змін”.
HH_SafetyCoverOpenLeadthru,Зніміть з конвеєра всі товари і закрийте захисну кришку.
HH_VerifySignatureLeadthru,Порівняйте підпис покупця з підписом на картці.
HH_AssistedEndorsementLeadthru,Потрібен підпис. Дочекайтеся оператора.
HH_HostOfflineLeadthru,Каса не в мережі. Іде спроба відновити зв’язок.
HH_KeyInCodeLeadthru,Введіть код товару і натисніть “Ввести”.
HH_VoidItemLeadthru,Відскануйте або знайдіть у списку товар на чеку. “Скасувати товар” або “Скасувати все”.
HH_UpdateItemLeadthru,"Знайдіть у списку товар на чеку, “Ввести”."
HH_CouponNoMatchLeadthru,Купон не відповідає придбаним товарам. Прийняти купон неможливо.
HH_CouponTooHighLeadthru,Введено завелику вартість купона.\nПрийняти купон неможливо.
HH_ItemQuantityExceededLeadthru,Завелика кількість одиниць товару. \n\nВідкладіть товар і продовжіть.
HH_VoidNoMatchLeadthru,Відсканований товар не знайдено. Цей товар ще не придбано або вже скасовано.
HH_ConfirmAbortLeadthru,Припинити оформлення покупки та скасувати її повністю?
HH_ContinueTransLeadthru,Бажаєте продовжити купівлю?
HH_EnterQuantityLeadthru,Введіть кількість і натисніть “Ввести”.
HH_SelectContainerLeadthru,"Обрати ємність зі списку and ""Ввести""."
HH_ScaleBrokenLeadthru,"Зніміть товар з ваг, натисніть на сканері кнопку “Обнулити ваги”."
HH_UpdateNotAllowedLeadthru,Змінити кількість не можна.
HH_AM_RestrictedNotAllowedLeadthru,Товари обмеженого відпуску скасовано: вікові обмеження. \n\nВідкладіть товар.
HH_OutOfSyncNeedAssistLeadthru,Касовий термінал працює несинхронно. Відновіть зв’язок у режимі “Касир”.
HH_OutOfSyncStopLeadthru,Сервер касових терміналів не працює або працює несинхронно. Вимкніть термінал вимикачем.
HH_MultiPackItemLeadthru,"Якщо набір: режим “Касир”, скасуйте, відскануйте штрих-код набору."
HH_ReturnToShoppingButtonText,Повернутися
DoneButtonText,Готово
ConfirmSuspendFromLaneStatusLeadthruText,Підтвердіть чи скасуйте відкладення операції.
HH_SuspendTransactionButtonText,Відкласти операцію
HH_TransactionCancelTitle,Скасування операції
HH_TransactionCancelLeadThru,Операцію скасовано. товари з цієї касової стійки.
ShiftButtonText,Shift
FixLaterButtonText,Виправити пізніше
HopperLaneButtonText,Заміна монет
HopperLeadThru,"%sНа касі внести монети чи ліквідувати затор або продовжити, натиснувши “Виправити пізніше”."
TransactionCountText,Кількість:
SecurityDisableText,Контроль відключено
SecurityDisableButtonOn,Увімкнути
SecurityDisableButtonOff,Вимкнути
SecurityDisableStatusTextOn,Контроль на пак. вагах увімкнено
SecurityDisableStatusTextOff,Контроль на пак. вагах вимкнено
SuspendDeclinedLaneButtonText,Відкласти Declined
ConfirmSuspendDeclinedLeadthru,"Підтвердіть, чи запит відкласти операцію відхилено."
ConfirmSuspendDeclinedButtonText,Відхилити запит
CancelSuspendDeclinedButtonText,Назад
TMTransLeadthru,Каса працює в режимі навчання. Продовжити операцію?
HH_TMTransLeadthru,Каса працює в режимі навчання. Продовжити операцію?
TMTransLaneButtonText,Опер.: навч.
DateFormat1,(ммддрррр)
DateFormat2,(ммддрр)
DateFormat3,(ддммрррр)
DateFormat4,(ддммрр)
DateFormat5,(ррррммдд)
DateFormat6,(ррммдд)
GoBackCouponButtonText,Назад
ApproveCouponButtonText,Прийняти купон
CouponExceededLimitLeadthru,"Прийняти - натисніть “Прийняти купон”, скасувати - перейдіть у режим “Касир”."
CouponExceededLimitFinalizationLeadthru,Для оплати використано купон вартістю понад встановлений магазином ліміт.
ClearSecurityFinalizationButtonText,Зняти контроль
ExpandReceiptButtonText,Розгорнути чек
CollapseReceiptButtonText,Згорнути чек
InvalidBarcodeLeadThru,Візьміть картку item at lane and Зніміть скасований товар з пакувальних ваг.
InvalidBarcodeLaneButtonText,Прврк товару
HH_InvalidBarcodeLeadThru,"Щоб продовжити операцію, візьміть товар, натисніть “Прийняти”."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru,"Щоб дозволити/прийняти, підійдіть до каси"
DisableRapApprovalText,Відключити контроль на ПС
DisableHHRapApprovalText,Відключити контроль на ППС
UpdateItemButtonText,Оновити товар
SuspendConfirmationTitle,Відкласти Confirmation
DoNotApproveButtonText,Не приймати
SmVoidAndRemoveItemLeadthru,Зніміть скасований товар з пакувальних ваг.
RestrictedItemsNotApprovedTitle,Товари обмеженого відпуску не дозволено
HH_AssistAtLaneLeadthru,Перейдіть до каси для скасування товару.
XM_Acceptor,Приймач
XM_CashStatus,Запас готівки
XM_CashStatusLeadthru,Виберіть потрібну функцію.
XM_Cassette,Касета
XM_CoinAcceptor,Приймач монет
XM_CoinOverflow,Зайві монети
XM_CoinOverflowText,Надлишок
XM_CoinRecycler,Монетник
XM_Coins,Монети
XM_NoteOverflow,Надлишок купюр
XM_NoteOverflowText,Касовий ящик
XM_NoteRecycler,Банкнотник
XM_Notes,Купюри
XM_PurgeOperationText,Операції з браком
XM_TerminalNumber,Номер терміналу
XM_TotalCount,Загальна кількість:
XM_TotalValue,Загальна сума:
XM_CoinsSubtotal,Монет:
XM_NotesSubtotal,Купюр:
XM_GrandTotal,Разом:
XM_PurgeInstruction,Операції з браком:  знайдено відбраковані купюри. Перейти до каси і перевірити пристрій.
XM_RAP_NegativeAlert,Знайдено від’ємне число. Перейти до каси і перевірити пристрій.
XM_AreYouSure,Дійсно виконати перелічені нижче дії?
XM_Attendant,Консультант
XM_Backspace,Стерти
XM_BillAcceptor,Приймач купюр
XM_BillDispenser,Роздавач купюр
XM_Bins,Лотки
XM_BothDispenseFailure,Не вдалося видати %s.\nЗамало готівки або збій роздавача.
XM_CancelChanges,Скасувати зміни
