SingleItemAddedFormat,{0} vara som ska läggas till i varukorgen.
Approved,Godkänt
VoidItemBeforeCouponMessage,Det går inte att ta bort varan före kupongen. Ta bort kupongen först.
VerifyBags,Kassören kommer att kontrollera dina kassar.
CancelItems,Ta bort varor
EnterQuantityTitle,Du måste ange kvantitet
SecUnExpectedIncreaseTitle,Nedpackningsvarning
WeightMismatchTitle,Hjälp behövs
AssistanceNeededTitle,Hjälp behövs
CheckBasketTitle,Kontrollera korgen
ConfirmDebitAmountTitle,Godkänn beloppet
DropoffCouponsTitle,Avdrag för kuponger.
InsufficientBalanceTitle,Otillräckligt saldo
OperatorPasswordStateInvalidPasswordWithFPTitle,Fel vid fingeravtrycksinlogging
PurchaseCrateTitle,Köpa back
RestrictedItemTitle,Vara med åldersbegränsning
SecBagAreaBackupTitle,Varustockning
SignChargeTitle,Signera kvittot
TakeCardTitle,Ta kortet
ContinueTitle,Fortsätta?
ApprovalNeededTitle,Avdragen rabatt
IncorrectLoginTitle,Fel nummer
RecalledItemTitle,Indragen vara
RemovedItemTitle,Nedpackningsvarning
SetAllItemsAsideTitle,Lägg varorna åt sidan
TakeLoyaltyCardTitle,Ta stamkundskort
UnknownPriceTitle,Okänt pris
ConfirmEBTAmountTitle,Godkänn beloppet
DisconnectedTitle,Frånkopplad
ShuttingDown,Stänger ned
NoneText,Inget
SMText,Läget Personal
SMLogInReceiptText,Inloggad på läget Personal
SMLogOutReceiptText,Utloggad från läget Personal
WLDBOffLineText,Viktdatabas: Offline
OperatorIDText,Användar-ID: 
SignOnButtonText,Logga in
SignOffButtonText,Logga ut
AlertText,Larm:
SuspendInProgressText,Transaktionen har pausats
SuspendLeadthru1,Du har begärt att den aktuella transaktionen ska pausas. \nBekräfta eller avbryt denna begäran.
SuspendLeadthru2,"Du har pausat den aktuella transaktionen.  Bekräfta denna begäran.  Om du vill avbryta trycker du på ""Gå tillbaka"" och avbryter från NCR SelfServ Checkout-terminalen."
ReceiptText,Kvitto:
SuspendReasonText1,Pausa: Allmänt
CancelSuspendButtonText,Avbryt paus
ConfirmSuspendNowButtonText,Bekräfta paus \nnu
ConfirmAllowSuspendButtonText,Bekräfta att \npaus tillåts
ConfirmSuspendRequestButtonText,Bekräfta begäran \nom paus
CancelSuspendNowButtonText,Avbryt paus \nnu
GoBackButtonText,Gå tillbaka
CancelSuspendRequestButtonText,Avbryt begäran \nom paus
CouponText,Kuponger:
SuspendReasonText2,Pausa: Kuponger
CouponReceiptText,%d kuponger till ett värde av kr%.2f
SuspendNowButtonText,Pausa nu
RequestSuspendButtonText,Begär paus
NotConnectedText,Inte ansluten.
ConnectingText,Ansluter...Vänta
ApprovalNeededText,Detta måste godkännas:
SuspendReasonText3,Pausa: Annat
ClearRequestButtonText,Radera begäran
ApproveButtonText,Godkänn
RestrictedItemText,Varor med åldersbegränsning
SuspendReasonText4,Pausa: Åldersbegränsning
SecurityLogText,Säkerhetslogg:
SuspendReasonText5,Pausa: Säkerhet
SignatureText,Signatur:
SignatureAndNameText,Signatur: %s
ConnectingLeadthru,Ansluter till NCR SelfServ Checkout...Vänta
EnterIDLeadthru,Ange ID med knappsatsen nedan.
EnterPasswordLeadthru,Ange lösenordet med med knappsatsen nedan.
LoggingInLeadthru,Loggar in...Vänta
ApproveSecurityButtonText,Godkänn\nsäkerhet
ApprovalNeededButtonText,Detta måste godkännas
VerifySignatureButtonText,Bekräfta\nsignatur
AllowSuspendButtonText,Tillåt paus
MainButtonText,Huvudskärm
SuspendTransactionButtonText,Pausa transaktion
ApproveAndCollectButtonText,Godkänn och hämta
ClearApprovalsButtonText,Radera godkännanden
BirthDateOver30ButtonText,Äldre än 30
SignAgainButtonText,Signera igen
BackSpaceButtonText,Backsteg
EnterButtonText,Enter
LaneNumberText,Kassa: %d
RAPTitle,Fjärrkassa för\nNCR SelfServ Checkout
CancelSuspendText,Avbryt paus
OtherPaymentSelectedText,Annan betalning har valts
CouponCollectionText,Kuponginsamling
PendingSuspendText,Paus pågår
SignatureApprovalText,Signaturgodkännande
LaneText,Kassa
VideoButtonText,Video
ClearButtonText,Radera
QuantityButtonText,Kvantitet
FeesAndCustomerAgreementsTitle,Avgifter och kundavtal:
FeesButtonText,Avgifter
CustomerAgreementButtonText,Kundavtal
FeesAndCustomerAgreementsLeadthru,Avgifter och kundavtal
TransactionSuspendedText,Transaktionen pausad
POSMessageText,Meddelande bemannad kassa:
ConnectingWaitingText,"Vänta, ansluter till NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Datum behövs inte
AssistModeButtonText,Läget Hjälp
ClearSecurityButtonText,Kvittera säkerhet
VisualApproveButtonText,Visuellt godkän-nande
CheckAgeTitle,Kontrollera kundens ålder
CouponLimitExceededTitle,Kuponggränsen har överskridits
VerifyItemAndPriceTitle,Kontrollera vara och pris
UnknownItemTitle,Okänd vara Lägg åt sidan
ItemNotForSaleTitle,Varan är inte till salu
ItemQuantityExceededTitle,Varukvantiteten har överskridits
TimeRestrictedItemTitle,Tidsbegränsad vara
CheckAgeLeadthru,"Slå in kundens födelsedatum %s och tryck på ""Enter"""
InvalidBirthDateFormatLeadthru,Ogiltigt datumformat har angetts \nAnge igen i formatet %s.
CouponLimitExceededLeadthru,"Tryck på ""Godkänn"" för att tillåta kuponger i kassan eller på ""Godkänn och hämta"" och hämta kupongerna från kunden."
VisualApproveLeadthru,"Tryck på ""Visuellt godkännande"" eller på ""Hjälp"" för att ändra transaktionen."
UnknownItemLeadthru,"Hämta varan i kassan och tryck på ""Kvittera säkerhet"" eller på ""Hjälp"" för att slutföra transaktionen."
ItemNotForSaleLeadthru,"Hämta varan i kassan och tryck på ""Kvittera säkerhet""."
OffLineLaneButtonText,Offline
ExitText,Avsluta
EnterDataLaneButtonText,Ange data
AgeCheckLaneButtonText,Ålderskontroll
CouponLaneButtonText,Kupong
VoidLaneButtonText,Stoppa
VerifyItemLaneButtonText,Kontrollera vara
NotFoundLaneButtonText,Hittades inte
NoSaleLaneButtonText,Ingen försäljning
QuantityLaneButtonText,Kvantitet
HelpLaneButtonText,Hjälp
NoInterventionLeadthru,Ingen åtgärd behövs för ögonblicket.
OffLineLeadthru,Kassan är för närvarande offline och systemet försöker att ansluta automatiskt.
CancelRequestButtonText,Radera begäran
HelpRequestTitle,Hjälp begärd
SecurityLaneButtonText,Säkerhet
VoidLeadthru,"Hämta stoppad vara och tryck på ""Godkänn stopp""."
ApproveVoidButtonText,Godkänn stopp
SecurityLeadthru,"Övervaka kundens transaktion och tryck på ""Kvittera kontroll""."
SecurityViolationText,Säkerhetsfel
OtherPaymentText,"""Annan betalning"" har valts"
SuspendTransactionLeadthru,"Tryck på ""Pausa transaktion"" för att godkänna betalningen."
EASText,EAS-vara fortfarande aktiv
DeactivateLeadthru,"Deaktivera varan eller ta bort stöldskyddet och tryck på ""Kvittera säkerhet""."
CompareSignatureTitle,Jämför signaturer
CompareSignatureLeadthru,"Jämför signaturer och tryck på ""Godkänn"" eller ""Signera igen""."
EnterPriceLeadthru,"Slå in varans pris och tryck på ""Enter""."
UtilityButtonText,Verktyg
ReturnToMainButtonText,Återgå till huvudskärmen
GetDiagFilesButtonText,Hämta diag-filer
CouponApprovalLeadthru,"Acceptera kuponger från kunden vid fjärrkassan och tryck på ""Godkänn""."
RebootSystemButtonText,Starta om hela systemet
ShutDownSystemButtonText,Stäng ned hela systemet
LaneStatusTitle,Kassastatus
LaneStatusLeadthru,Välj funktion.
AgeRestrictedText,Åldersbegränsad vara: %2d års åldersgräns
BirthdateEnterText,"Angiven födelsedag:%2d/%2d/%4d,%d år gammal"
HelpRequestLeadthru,"Tryck på ""Radera begäran"" när kunden har fått hjälp."
TotalText,Summa:
ItemText,Varor:
MultimediaTrainingText,Multimediaövning
VolumeControlButtonText,Volyminställning
SecurityViolationNumText,Säkerhetsfel:
ItemPurchasedText,Inköpta varor:
EnterPriceTitle,Ange pris
CancelTransactionGenericTitle,Avbryt transaktionen
CancelTransactionGenericLeadthru,"Tryck på ""Ja"" för att avbryta transaktionen och på ""Nej"" för att fortsätta transaktionen."
YesButtonText,Ja
NoButtonText,Nej
ConfirmSuspendTitle,Pausa:
ConfirmSuspendLeadthru,Bekräfta paus.
ConfirmSuspendButtonText,Bekräfta paus
IncorrectItemWeightTitle,Fel vikt på kontrollvågen.
IncorrectItemWeightLeadthru,"Ta bort varan och tryck på ""Kvittera säkerhet"" eller på ""Godkänn och uppdatera vikt""."
ApproveUpdateButtonText,Godkänn och uppdatera vikt
UnexpectedIncreaseTitle,Oförutsedd vara på kontrollvågen.
UnexpectedIncreaseLeadthru,"Gå till kassan, ta bort extra varor och tryck på ""Kvittera säkerhet""."
SkipBaggingBtnThresholdLeadthru,"Kontrollera varorna i kassan och tryck på ""Kvittera säkerhet""."
NewWeightItemTitle,Ingen registrering av varans vikt.
NewWeightItemLeadthru,"Kontrollera varans vikt och tryck på ""Godkänn och uppdatera vikt"" eller på ""Godkänn/Uppdatera inte""."
ApproveNoUpdateButtonText,Godkänn/Uppdatera inte.
BagItemTimerExpiredTitle,Förväntad vikt på kontrollvågen.
TakeChangeTimerExpiredTitle,Ta växeln
TakeChangeTimerExpiredBottomCaption,Tiden har löpt ut
PickingUpItemsTimerExpiredTitle,Varorna har inte lagts tillbaka på packhyllan.
DeviceFailureTitle,Fel på enhet
DeviceFailureLeadthru,Gå till kassan och kontrollera enheten.
WLDBFailureTitle,Kommunikationen med WLDB fungerar inte.
WLDBFailureLeadthru,Kontrollera kommunikationen.
UnexpectedDecreaseTitle,Varan är borttagen från packhyllan.
ClosedLaneTitle,Gå till kassan och logga in på läget Personal för att öppna kassan.
ClosedLaneLeadthru,Kassan stängd
BagAreaBackupTitle,För många varor på bandet
BagAreaBackupLeadthru,Ta bort en del av varorna på bandet.
MinimumAgeText,Minimiåldersgräns.
SafetyCoverOpenLeadthru,Ta bort alla varor från bandet och stäng säkerhetsskyddet.
VerifySignatureLeadthru,Jämför kundens signatur med den på kortet.
AssistedTenderTitle,Manuell betalning
AssistedTenderLeadthru,Använd läget Hjälp när du tar emot en check från kunden.
AssistedTenderHHLeadthru,Ta emot betalningen i fjärrkassan.
AssistedEndorsementLeadthru,Påskrift behövs. Vänta en stund så får du hjälp.
StartTransactionButtonText,Starta transaktionen
StartTransactionTitle,Manuella funktioner
StartTransactionLeadthru,Välj funktion.
StartTransactionAMButtonText,Starta och hjälp
ItemsForgottenTitle,Vikten finns kvar\npå kontrollvågen.
InsertCouponTimerExpiredTitle,Mata in kupongen
CollectGiftCardTitle,Hämta presentkortet
HostOfflineLeadthru,Kassan är offline och systemet försöker att ansluta.
SpaceButtonText,Blanksteg
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tkvt %s @ %s/styck\t%s
LaneReceiptItemType4,%s\t%s\tkvt %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,Stäng kassan
ReportingButtonText,Rapporterar
KeyInCodeTitle,Slå in koden
KeyInCodeLeadthru,"Slå in varans kod och tryck på ""OK""."
VoidItemButtonText,Stoppa vara
ChangePriceButtonText,Ändra pris
ChangeQuantityButtonText,Ändra kvantitet
ReturnToShoppingButtonText,Återgå
BasicAssistModeTitle,Hjälpfunktioner
BasicAssistModeLeadthru,Läs in varan eller välj en funktion.
ChangePriceTitle,Ändra pris
KeyInPriceLeadthru,Slå in priset för: %d %s
VoidAllButtonText,Stoppa alla
VoidItemTitle,Stoppa varor
VoidItemLeadthru,"Läs in eller bläddra till varan på kvittot och tryck sedan på ""Stoppa vara"" eller ""Stoppa alla""."
ChangeQuantityTitle,Ändra kvantitet
KeyInQuantityLeadthru,Slå in kvantiteten för: %s
FullAssistButtonText,Fullständig hjälp
CloseButtonText,Stäng
UpdateItemLeadthru,"Bläddra till varan på kvittot och tryck på ""Enter""."
OKButtonText,OK
CouponNoMatchLeadthru,Kupongen gäller inte för någon vara på kvittot. Den här kupongen kan inte tas emot.
CouponTooHighLeadthru,Beloppet som du har angett för kupongen är för högt.  Systemet kan inte ta emot kupongen.
EnterCouponValueLeadthru,"Ange kupongvärdet i ören och tryck på ""Enter""."
ItemQuantityExceededLeadthru,Du har överskridit tillåten kvantitet för den här varan.  Lägg den åt sidan och fortsätt sedan.
ProcessingLeadthru,Behandlar...Vänta.
VoidNoMatchLeadthru,Det går inte att hitta den inlästa varan.  Den har inte köpts ännu eller så har inköpet av den redan avbrutits.
ConfirmAbortLeadthru,Vill du avbryta inköpet och inte köpa något alls?
ContinueTransLeadthru,Vill du fortsätta med dina inköp?
ConfirmQuantityTitle,Godkänn kvantiteten
ConfirmVoidTitle,Bekräfta att du vill avbryta
CouponNoMatchTitle,Ogiltig kupong
CouponTooHighTitle,För högt kupongvärde
CrateableItemTitle,Köpa back
EnterCouponValueTitle,Ange kupongvärdet
EnterQuantityLeadthru,"Slå in kvantiteten och tryck på ""Enter""."
EnterWeightTitle,Väg varan
EnterWeightLeadthru,Gå till kassan och lägg varan på vågen.
AMItemQuantityExceededTitle,Kvantitetsgräns
ProcessingTitle,Behandlar...
SelectContainerTitle,Välj förpackning
SelectContainerLeadthru,"Välj förpackning i listan och tryck på ""Enter""."
VoidNoMatchTitle,Det går inte att ta bort varan
ConfirmAbortTitle,Ta bort alla varor
ContinueTransTitle,Fortsätta?
ScaleBrokenTitle,Nollställ vågen
ScaleBrokenLeadthru,"Ta bort varan från vågen och tryck på ""Scale Zero"" på avläsningsenheten."
UpdateNotAllowedTitle,Det går inte att uppdatera varan
UpdateNotAllowedLeadthru,Du får inte ändra kvantitet på en vägd vara.
SmEnterBirthdateTitle,Varor med åldersbegränsning
SmEnterBirthdateLeadthru,Slå in kundens födelsedatum
SmVisualItemsTitle,Visuella godkännanden
SmVisualItemsLeadthru,Godkänn visuellt godkända varor
SmCouponItemsTitle,Godkänn använda kuponger
SmCouponItemsLeadthru,Kontrollera använda kuponger
SmRestrictedItemsTitle,Varor med åldersbegränsning
SmRestrictedItemsLeadthru,Välj funktion.
KeyInBirthDateButtonText,Slå in datum
KeyInCodeButtonText,Slå in \nkoden
SmRunReportsTitle,Rapportinnehåll
PrintReportButtonText,Skriv ut rapport
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Vara med åldersbegränsning
AM_RestrictedNotAllowedLeadthru,Inköpet av åldersbegränsad vara stoppat. Åldersgränsen uppfylls inte. \n\nLägg varan åt sidan.
TransactionCancelTitle,Transaktionen avbruten
TransactionCancelLeadThru,Transaktionen avbruten. Ta bort varorna \nfrån den här kassan.
OutOfSyncNeedAssistTitle,HJÄLP
OutOfSyncNeedAssistLeadthru,Affärens kassasystem är osynkroniserat. Öppna läget Hjälp för att synkronisera.
OutOfSyncStopTitle,STARTA OM SYSTEMET
OutOfSyncStopLeadthru,Affärens kassasystem är ur funktion eller osynkroniserat. Stäng av terminalen med strömbrytaren.
MultiPackItemTitle,Flerpackskontroll
MultiPackItemLeadthru,"Om varan är en flerpacksvara trycker du på läget ""Hjälp"" och stoppar den. Läs sedan in flerpackskoden."
CancelActionButtonText,Avbryt åtgärden
EnterIDFpLeadthru,Skriv ditt användar-ID och tryck på ”Enter” eller sätt fingret på fingeravtrycksläsaren för att logga in.
ReEnterIDFpLeadthru,Ogiltig inloggning. Logga in igen och använd knappsatsen eller ditt fingeravtryck.
HH_SuspendLeadthru1,Pausa aktuell transaktion? Bekräfta eller Avbryt.
HH_SuspendLeadthru2,"Aktuell transaktion är pausad. Bekräfta. Om du vill avbryta trycker du på ""Gå tillbaka"" och avbryter."
HH_ReEnterIDLeadthru,Fel ID eller lösenord. Ange på nytt med knappsatsen.
HH_CheckAgeLeadthru,"Slå in kundens födelsedatum %s och tryck på ""Enter"""
HH_CouponLimitExceededLeadthru,"Tryck på ""Godkänn"" för att tillåta kuponger i kassan eller på ""Godkänn och hämta"" och hämta kupongerna från kunden."
HH_VisualApproveLeadthru,"""Visuellt godkännande"" eller ""Hjälp"" för att ändra transaktionen."
HH_VisualApproveLeadthru2,"""Visuellt godkännande"" eller ""Hjälp"" för att ändra transaktionen."
HH_UnknownItemLeadthru,"Hämta varan, ""Kvittera säkerhet"" eller läget ""Hjälp"" för att slutföra."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Hämta varan i kassan och ""Kvittera säkerhet""."
HH_NoInterventionLeadthru,Ingen åtgärd behövs.
HH_OffLineLeadthru,Kassan är offline. Systemet försöker att  ansluta på nytt.
HH_InvalidBirthDateFormatLeadthru,Datumformatet är ogiltigt. \nAnge i formatet %s.
HH_VoidLeadthru,"Hämta stoppad vara och ""Godkänn stopp""."
HH_SuspendTransactionLeadthru,"Tryck på ""Pausa trans"" för att pausa transaktionen."
HH_DeactivateLeadthru,"Deaktivera varan eller ta bort stöldskyddet och ""Kvittera säkerhet""."
HH_CompareSignatureLeadthru,"Jämför signaturer och ""Godkänn"" eller ""Signera igen""."
HH_EnterPriceLeadthru,"Slå in varans pris och ""Enter""."
HH_CouponApprovalLeadthru,"Ta emot kupongerna från kunden och ""Godkänn""."
HH_HelpRequestLeadthru,"""Radera begäran"" när kunden har fått hjälp."
HH_CancelTransactionGenericLeadthru,"""Ja"" för att avbryta transaktionen och ""Nej"" för att fortsätta transaktionen."
HH_IncorrectItemWeightLeadthru,"Ta bort varan och ""Kvittera säkerhet"" eller ""Godkänn och uppdatera vikt""."
HH_UnexpectedIncreaseLeadthru,"Ta bort extra varor i kassan och ""Kvittera säkerhet""."
HH_SkipBaggingBtnThresholdLeadthru,"Kontrollera varorna i kassan och ""Kvittera säkerhet""."
HH_NewWeightItemLeadthru,"Kontrollera vikten och ""Godkänn och uppdatera vikt"" eller ""Godkänn/Uppdatera inte""."
HH_SafetyCoverOpenLeadthru,Ta bort alla varor från bandet. Stäng säkerhetsskyddet.
HH_VerifySignatureLeadthru,Jämför kundens signatur med den på kortet.
HH_AssistedEndorsementLeadthru,Påskrift behövs. Vänta en stund så får du hjälp.
HH_HostOfflineLeadthru,Kassan är offline. Systemet försöker att  ansluta på nytt.
HH_KeyInCodeLeadthru,"Slå in varans kod och ""Enter""."
HH_VoidItemLeadthru,"Läs in eller bläddra till varan på kvittot. ""Stoppa vara"" eller ""Stoppa alla""."
HH_UpdateItemLeadthru,"Bläddra till varan på kvittot och ""Enter""."
HH_CouponNoMatchLeadthru,Kupongen gäller inte för någon vara på kvittot. Kupongen kan inte godkännas.
HH_CouponTooHighLeadthru,Kupongvärdet är för högt. Systemet kan inte godkänna.
HH_ItemQuantityExceededLeadthru,Tillåten kvantitet överskriden. Lägg varan åt sidan och fortsätt.
HH_VoidNoMatchLeadthru,Det går inte att hitta den inlästa varan. Varan är inte köpt eller inköpet har avbrutits.
HH_ConfirmAbortLeadthru,Stoppa dina inköp och inte handla alls?
HH_ContinueTransLeadthru,Fortsätta med inköpen?
HH_EnterQuantityLeadthru,"Slå in kvantiteten och ""Enter""."
HH_SelectContainerLeadthru,"Välj förpackning i listan och ""Enter""."
HH_ScaleBrokenLeadthru,"Ta bort varan från vågen och ""Scale Zero"" på avläsningsenheten."
HH_UpdateNotAllowedLeadthru,Kvantiteten får inte ändras.
HH_AM_RestrictedNotAllowedLeadthru,Inköpet av åldersbegränsad vara stoppat. Åldersgränsen uppfylls inte. \n\nLägg varan åt sidan.
HH_OutOfSyncNeedAssistLeadthru,"Affärens kassasystem är osynkroniserat. ""Hjälp"" för att synkronisera."
HH_OutOfSyncStopLeadthru,Affärens kassasystem är ur funktion eller är osynkroniserat. Stäng av terminalen med strömbrytaren.
HH_MultiPackItemLeadthru,"Om flerpack, läget ""Hjälp"", stoppa, läs sedan in flerpackskoden."
HH_ReturnToShoppingButtonText,Återgå
DoneButtonText,Klart
ConfirmSuspendFromLaneStatusLeadthruText,Bekräfta eller avbryt paus.
HH_SuspendTransactionButtonText,Pausa trans
HH_TransactionCancelTitle,Transaktionen avbruten
HH_TransactionCancelLeadThru,Transaktionen avbruten. Ta bort varorna från den här kassan.
ShiftButtonText,Skift
FixLaterButtonText,Åtgärda senare
HopperLaneButtonText,Ersättningsvalör
HopperLeadThru,"%sGå till kassan och fyll på mynt eller åtgärda stopp, eller tryck på ""Åtgärda senare"" för att fortsätta."
TransactionCountText,Antal:
SecurityDisableText,Kontroll inaktiverat
SecurityDisableButtonOn,Slå på
SecurityDisableButtonOff,Stäng av
SecurityDisableStatusTextOn,Kontrollvågen är på
SecurityDisableStatusTextOff,Kontrollvågen är avstängd
SuspendDeclinedLaneButtonText,Paus avvisad
ConfirmSuspendDeclinedLeadthru,Bekräfta eller avbryt Pausa Avvisa.
ConfirmSuspendDeclinedButtonText,Bekräfta Avvisa
CancelSuspendDeclinedButtonText,Gå tillbaka
TMTransLeadthru,Kassan är i övningsläge.\nVill du fortsätta med transaktionen?
HH_TMTransLeadthru,Kassan är i övningsläge.\nVill du fortsätta med transaktionen?
TMTransLaneButtonText,Övn.trans
DateFormat1,(mmddaaaa)
DateFormat2,(mmddaa)
DateFormat3,(ddmmaaaa)
DateFormat4,(ddmmaa)
DateFormat5,(aaaammdd)
DateFormat6,(aammdd)
GoBackCouponButtonText,Gå tillbaka
ApproveCouponButtonText,Godkänn kupong
CouponExceededLimitLeadthru,"Tryck på ""Godkänn kupong"" för att godkänna kupongen eller öppna läget Hjälp för att avvisa den."
CouponExceededLimitFinalizationLeadthru,Transaktionen slutfördes med hjälp av en kupong som överskred affärens kupongbegränsning.
ClearSecurityFinalizationButtonText,Kvittera säkerhet
ExpandReceiptButtonText,Visa fler kvittorader
CollapseReceiptButtonText,Visa färre kvittorader
InvalidBarcodeLeadThru,"Ta hand om varan på bandet och tryck på ""Godkänna"" för att fortsätta transaktionen."
InvalidBarcodeLaneButtonText,Kontrollera vara
HH_InvalidBarcodeLeadThru,"Ta hand om varan. Tryck på ""Godkänna"" för att fortsätta transaktionen."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Gå till kassan för godkännande
DisableRapApprovalText, Inaktivera FKP-godkännande
DisableHHRapApprovalText, Inaktivera HHRAP-godkännande
UpdateItemButtonText,Uppdatera varan
SuspendConfirmationTitle,Avbryt bekräftelse
DoNotApproveButtonText,Godkänn inte
SmVoidAndRemoveItemLeadthru,Ta bort den oinlästa varan från packhyllan.
RestrictedItemsNotApprovedTitle,Vara med begränsning – Ej godkänt
HH_AssistAtLaneLeadthru,Gå till kassan för att ta bort varan.
XM_Acceptor,Inmatare
XM_CashStatus,Kontantstatus
XM_CashStatusLeadthru,Välj funktion.
XM_CoinAcceptor,Myntinmatare
XM_CoinOverflow,Myntbox
XM_CoinOverflowText,Spill
XM_CoinRecycler,Myntrecykler
XM_Coins,Mynt
XM_NoteOverflow,Sedelbox
