AgeCheckLaneButtonText,Age Check
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials."
LoadingText,A carregar
LoggingInLeadthru,Logging in...Please wait
MainButtonText,Main
MinimumAgeText,Years old minimum.
MinMaxFastLaneBtnPrimaryShowConfirmation,"To minimize SelfServ Checkout, touch the ""Minimize SelfServ Checkout"" button."
MinMaxFastLaneBtnPrimaryTxt,Minimize SelfServ Checkout
MinMaxFastLaneBtnSecondaryShowConfirmation,"To maximize SelfServ Checkout, touch the ""Maximize SelfServ Checkout"" button."
MinMaxFastLaneBtnSecondaryTxt,Maximize SelfServ Checkout
MinMaxRAPBtnPrimaryShowConfirmation,"To minimize RAP, touch the ""Minimize RAP"" button."
MinMaxRAPBtnPrimaryTxt,Minimize RAP
MinMaxRAPBtnSecondaryShowConfirmation,"To maximize RAP, touch the ""Maximize RAP"" button."
MinMaxRAPBtnSecondaryTxt,Maximize RAP
MultimediaTrainingText,Multimedia Training
MultiPackItemLeadthru,"If item is a multi-pack, touch ""Assist Mode"" and void it, then scan multi-pack barcode."
MultiPackItemTitle,Check for multi-pack
NCRCorp,NCR Corp
NewWeightItemLeadthru,"Verify item weight and touch ""Approve & Update Weight"", or touch ""Approve/No Update""."
NewWeightItemTitle,No record of item weight.
No,Não
NoButtonText,Não
NoInterventionLeadthru,No Intervention is currently required.
NoKeep,"Não, manter."
NoneText,None
NoReturn,"Não, regressar à transação."
NoSaleLaneButtonText,No Sale
NotConnectedText,Not connected.
NoText,Não
NotFoundLaneButtonText,Not Found
OffLineLaneButtonText,Offline
OffLineLeadthru,The Lane is currently offline and the system is attempting to automatically reconnect.
OK,OK
OKButtonText,OK
OperatorIDText,Operator ID: 
OperatorPasswordStateInvalidPasswordWithFPTitle,Falha Início Sessão Impressão Digital
OperatorRegistrationUtility,Operator Registration Utility
Or,ou
OtherPayment,Outro Pagamento
OtherPaymentMethod,Outros métodos de pagamento
OtherPaymentSelectedText,Other Payment selected
OtherPaymentText,Other Payment Selected
OutOfSyncNeedAssistLeadthru,"POS is out-of-sync, please go to Assist Mode to resynchronize."
OutOfSyncNeedAssistTitle,ASSIST
OutOfSyncStopLeadthru,"POS server is down or out-of-sync, please shutdown the terminal using switch."
OutOfSyncStopTitle,REBOOT
OwnBag,Saco Próprio
OwnBagMessage,Coloque os seus sacos na balança.
PageIndicatorLabelFormat,Página {0} de {1}
Paid,Pago:{0}
PayAnotherWay,Pagar de outra forma
PendingSuspendText,Pending Suspend
PickingUpItemsTimerExpiredTitle,Items not returned to bagging area.
PicklistConfirm,Are you sure you want to start the Picklist Editor?
PickListEditor,Pick List Editor
PointsEarned,Pontos Ganhos
POSMessageText,POS Message:
PrintReceipt,Imprimir Factura
PrintReportButtonText,Imprimir Relatório
Proceed,Continuar
ProcessingLeadthru,Processing...Please wait.
ProcessingTitle,Processing...
ProfileManagerConfirm,Are you sure you want to start the Profile Manager?
ProfileManagerFLConfirm,Are you sure you want to stop SelfServ Checkout and run Profile Manager?
ProfileManagerRAPConfirm,Are you sure you want to stop RAP and run Profile Manager?
PurchaseCrateTitle,Comprar Caixa
QuantityButtonText,Quantity
QuantityLaneButtonText,Quantity
RapConfigureBtnPrimaryTxt,RAP Configure
RAPTitle,NCR SelfServ Checkout\nRemote Approval Station
RebootConfirm,Are you sure you want to reboot the entire system?
RebootSystemBtnPrimaryTxt,Reboot Entire System
RebootSystemButtonText,Reboot Entire System
RecalledItemTitle,Artigo Cancelado
ReceiptText,Receipt:
ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
Refunded,Reembolso:
Remove,Remover
RemovedItem,Removi o item
RemovedItemTitle,Alerta Saco
ReportingButtonText,Reporting
RequestSuspendButtonText,Request Suspend
RestrictedItem,Artigo Restrito
RestrictedItemsNotApprovedTitle,Restricted Items - Not Approved
RestrictedItemText,Restricted Items:
RestrictedItemTitle,Artigo Restrito
ReturnToMainButtonText,Return to Main
ReturnToScan,Voltar
ReturnToShoppingButtonText,Return to Shopping Mode
RSMLEConfirm,Are you sure you want to start the Retail Systems Manager LE?
RSMLEPrimaryTxt,Retail Systems Manager LE
RunADDConfirm,Are you sure you want to run Automatic Device Detection on the next reboot?
RunADDTxt,Run ADD on Next Reboot
SafetyCoverOpenLeadthru,Remove all items from belt and close safety cover.
ScaleBroken,"Retire os artigos da balança e prima o botão\n""Balança a Zero"" no leitor."
ScaleBrokenLeadthru,"Remove item from scale, and press ""Scale Zero"" button on scanner."
ScaleBrokenTitle,Reiniciar Balança
ScanAndBag,"Digitalize, procure ou introduza o código do item para começar."
ScanCoupon,Ler Cupões
ScanGiftCard,Digitalizar o Cartão de Oferta
ScanNextItem,Digitalize o próximo item.
ScanVoucher,Passar Vales
SearchKeyInItem,Procure ou introduza um item
SearchResultsFor,"Resultados da pesquisa por ""{0}"""
SearchWatermark,Introduza o Nome ou o Código do Item
SearchItemNameWatermark,Enter Item Name
SecBagAreaBackupTitle,Artigos Acumulados
SecUnExpectedIncreaseTitle,Alerta Saco
SecurityDisableButtonOff,Turn Off
SecurityDisableButtonOn,Turn On
SecurityDisableStatusTextOff,Bagging Security is off
SecurityDisableStatusTextOn,Bagging Security is on
SecurityDisableText,Security Disabled
SecurityLaneButtonText,Security
SecurityLeadthru,"Monitor customer transaction for security and touch ""Clear Security""."
SecurityLogText,Security Log:
SecurityViolationNumText,Security Violations:
SecurityViolationText,Security Violation
SelectCashBack,Seleccionar Valor Reembolso
SelectContainerLeadthru,"Select container from list and touch ""Enter""."
SelectContainerTitle,Seleccionar Recipiente
SelectLanguage,Selecione um Idioma
SelectPaymentType,Seleccionar Tipo de Pagamento
SellBags,Quantos sacos de plástico utilizou? Introduza 0 se não utilizou nenhum.
SetAllItemsAsideMessage,Compra cancelada.\n\nPonha todos os artigos de parte.
SetAllItemsAsideTitle,Pôr Artigos de Parte
ShiftButtonText,Shift
ShutdownConfirm,Are you sure you want to shutdown the entire system?
ShutdownSystemBtnPrimaryTxt,Shut Down Entire System
ShutDownSystemButtonText,Shut Down Entire System
ShuttingDown,A Desligar
SignAgainButtonText,Sign Again
SignatureAndNameText,Signature: %s
SignatureApprovalText,Signature Approval
SignatureText,Signature:
SignBelow,Assine em baixo.
SignChargeTitle,Assinar Recibo
SignedOffButtonText,Signed Off
SignNeeded,Assinatura Necessária
SignOffButtonText,Sign Off
SignOnButtonText,Sign On
SignOnTitle,NCR SelfServ Checkout Log In
SignSignature,Assine com assinatura digital.
SingleItemAddedFormat,{0} item a ser adicionado ao carrinho.
SkipBagging,Saltar o saco.
SkipBaggingBtnThresholdLeadthru,"Check items at lane and touch ""Clear Security""."
SmCouponItemsLeadthru,Check used coupons
SmCouponItemsTitle,Approve Used Coupons
SmEnterBirthdateLeadthru,"Key in customer's birth date"
SmEnterBirthdateTitle,Restricted Items
SMLogInReceiptText,Logged into Store Mode
SMLogOutReceiptText,Logged out of Store Mode
SmRestrictedItemsLeadthru,Select desired function.
SmRestrictedItemsTitle,Restricted Items
SmRunReportsTitle,Conteúdo Relatório
SMText,Store Mode
SmVisualItemsLeadthru,Approve Visual Validation Items
SmVisualItemsTitle,Visual Validations
SmVoidAndRemoveItemLeadthru,Please remove the cancelled item from the bagging area.
Space,Space
SpaceButtonText,Space
StartFastLaneConfirm,Are you sure you want to start SelfServ Checkout?
StartRAPConfirm,Are you sure you want to start RAP?
StartScanning,Começar Digitalização
StartTitle,System Startup
StartTransactionAMButtonText,Start & Assist
StartTransactionButtonText,Start Transaction
StartTransactionLeadthru,Select desired function.
StartTransactionTitle,Operator Assisted Functions
StopFastLaneConfirm,Are you sure you want to stop SelfServ Checkout?
StopRAPConfirm,Are you sure you want to stop RAP?
StopStartFastLaneBtnPrimaryTxt,Stop SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Start SelfServ Checkout
StopStartRAPButtonPrimaryTxt,Stop RAP
StopStartRAPButtonSecondaryTxt,Start RAP
StoreLogin,Store Log In
SuspendConfirmationTitle,Suspend Confirmation
SuspendDeclinedLaneButtonText,Suspend Declined
SuspendInProgressText,Suspend in progress
SuspendLeadthru1,A request was made to suspend the current transaction.\nPlease confirm or cancel this request.
SuspendLeadthru2,"You have suspended the current transaction.  Please confirm this request.  To cancel, touch ""Go Back"" and cancel from NCR SelfServ Checkout Terminal."
SuspendNowButtonText,Suspend Now
SuspendReasonText1,Suspend: General
SuspendReasonText2,Suspend: Coupons
SuspendReasonText3,Suspend: Other
SuspendReasonText4,Suspend: Restricted
SuspendReasonText5,Suspend: Security
SuspendTransactionButtonText,Suspend Transaction
SuspendTransactionLeadthru,"Touch ""Suspend Transaction"" or ""Assist Mode"" and accept payment."
SwitchToFastLaneBtnPrimaryTxt,Switch To SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Switch To RAP
SystemStartup,System starting...please wait
TakeCardTitle,Retirar Cartão
TakeCash,Retire o Dinheiro Devolvido
TakeChange,Retirar Troco
TakeChangeTimerExpiredBottomCaption,Timer expired
TakeChangeTimerExpiredTitle,Take Change
TakeLoyaltyCardTitle,Retire o Cartão de Cliente
TakeReceipt,Retirar Factura
Tax,Imposto
TerminalID,Terminal ID: 
TerminalInfoBtnPrimaryTxt,Terminal Information
TerminalInfoConfirm,Are you sure you want to view the terminal information?
TimeRestrictedItem,Tempo Artigo Restrito
TimeRestrictedItemTitle,Tempo Artigo Restrito
TMTransLaneButtonText,Training Trx
TMTransLeadthru,"Lane is in training mode, \ncontinue with the transaction?"
Total,Total
TotalText,Total:
TouchCancel,Toque em cancelar no PINpad para cancelar o pagamento.
TouchWareTxt,Calibrate Touchscreen
TrainingConfirm,Are you sure you want to start the Training Program?
TrainingMode,Modo de Treino
TrainingProgramPrimaryTxt,Training Program
TransactionCancelLeadThru,Transaction cancelled. Remove items from \ncheckstand.
TransactionCancelTitle,Cancelar Transacção
TransactionCountText,Count:
TransactionSuspendedText,Transaction Suspended
TryAgain,Tentar Novamente
UnexpectedDecreaseMessage,Devolva o item à zona de ensacagem.
UnexpectedDecreaseTitle,Item removed from bagging area.
UnexpectedIncreaseLeadthru,"Go to lane, remove extra items and touch ""Clear Security""."
UnexpectedIncreaseMessage,Remova o item da zona de ensacagem.
UnexpectedIncreaseTitle,Unexpected item on security scale.
UnknownItemLeadthru,"Collect item at lane and touch ""Clear Security"", or touch ""Assist Mode"" to complete transaction."
UnknownItemTitle,Unknown Item Set Aside
