ConfirmQuantityTitle,Confirmeu quantitat
ScotApp_41,Articles restringits
ScotApp_31,Cupons
ScotApp_21,21unused
ScotApp_11,11unused
ScotApp_90,90unused
ScotApp_1164,La impressora no està col·locada correctament.
ScotApp_1174,PES DIVERGENT
ScotApp_1144,El dispensador no respon.
ScotApp_1154,"Error a l'escàner"
ScotApp_1124,1124unused
ScotApp_1134,El caixetí de bitllets està ple.
ScotApp_1104,e=d=0.01 lb Màx. 30.00 lb mín. 0.2 lb Nmax 3000
ScotApp_1114,"«Finalitzar període d'informe» s'ha actualitzat correctament"
ScotApp_872,Cancel·lar suspensió
SuspendReasonText1,Suspensió: General
ItemsAddedFormat,{0} articles que cal afegir al carro.
ScotApp_1184,MÉS DADES
ScotApp_1194,"NÚMERO D'AUTORITZACIÓ"
ScotApp_507,Articles de verificació visual
ScotApp_1805,Sortiu del mode Només efectiu
ScotApp_1567,Total dispensador: %s
ScotApp_1577,Recompte total:
ScotApp_1547,"Consulteu el manual del dispositiu per solucionar l'error."
DepositCard,Dipositeu la targeta regal esgotada a la ranura dels cupons.
ScotApp_1527,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1537,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1507,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1517,"Consulteu el manual del dispositiu per solucionar l'error."
CouponLimitExceededLeadthru,Toqueu «Autoritzar» per permetre que es dipositi el cupó al carril o toqueu «Autoritzar & Recollir» i recolliu-lo del client.
ScotApp_1876,%s %s observat
ScotApp_1846,"Escanegeu l'article o toqueu «Introduir codi»."
ScotApp_1856,No embosseu
ScotApp_1836,CODI DE BARRES NO VÀLID
ScotApp_1806,\n* Toqueu «Només targetes» per finalitzar la transacció i donar manualment el canvi al client.
ScotApp_1816,Les monedes estan encallades o la porta està oberta.
UnexpectedDecreaseTitle,Item removed from bagging area.
ScotApp_1886,Comproveu si hi ha més articles.
ScotApp_643,Article suprimit. Escanegeu el següent article.
HH_ItemQuantityExceededLeadthru,"Quantitat permesa superada. Retireu l'article i continueu."
TerminalInfoBtnPrimaryTxt,Informació del terminal
InvalidBarcodeLaneButtonText,"Verifiqueu l'article"
ScotApp_1760,És possible que la cubeta de cupons estigui plena o que la ranura dels cupons estigui bloquejada.Retireu els articles que bloquegin la ranura dels cupons i buideu la cubeta dels cupons.
ScotApp_1770,Seleccioneu dels resultats de la cerca.
ScotApp_1740,Verifiqueu bossa
ScotApp_1720,WR:
NotFoundLaneButtonText,"No s'ha trobat"
ScotApp_1700,"No s'ha pogut dispensar %s.%s\nComproveu els dispensadors de monedes i bitllets.\nSi estan buits, recarregueu-los.\nSi no estan buits, traieu-ne els elements encallats.\nToqueu «Condició corregida»."
ScotApp_1710,Recolliu el canvi retornat
CouponLaneButtonText,Cupó
ScotApp_933,El pes no concorda
SecurityViolationText,Violació de seguretat
ScotApp_1780,INICIEU TRANSACCIÓ
ScotApp_1790,Només crèdit / dèbit
ScotApp_916,Comproveu els articles del carril i toqueu «Eliminar protecció».
ScotApp_74,Autoritzar anul·lats
ScotApp_64,Cancel·lar seleccionat
OutOfSyncNeedAssistTitle,ASSISTÈNCIA
ScotApp_44,44unused
CancelSuspendDeclinedButtonText,Enrere
ScotApp_24,Anul·lat
ScotApp_14,14unused
XM_AddCashLeadthru3,"Toqueu el cilindre i introduïu l'import, o bé establiu els recomptes."
ScotApp_1169,"Obriu la porta de l'armari de la impressora.\n* Estireu amb cura la impressora fins que encaixi a la seva posició.\n* Tanqueu i bloquegeu la porta de l'armari de la impressora."
ScotApp_1179,EL TEMPS DE RECORREGUT HA CADUCAT
No,No
ScotApp_1159,PinPad / EFT no responen.
ScotApp_1129,"L'acció correctiva no s'ha realitzat correctament.\n\nIntenteu-ho de nou."
CouponTooHighLeadthru,"L'import que heu introduït per a aquest cupó és massa elevat.  El sistema no pot acceptar aquest cupó."
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1119,"El dispensador de bitllets no funciona si la porta d'accés està oberta.\n\nTanqueu i assegureu la porta del dispensador o la porta de seguretat.\n\nSi l'error es repeteix, poseu-vos en contacte amb el servei tècnic."
WLDBOffLineText,Base de dades de pesos: Fora de línia
SuspendReasonText2,Suspensió: Cupons
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
AlertStatusTextOn,!!!
ScotApp_886,"Article retirat de la zona d'embossar.\nRetorneu l'article."
ScotApp_1189,ARTICLE INTRODUÏT
ScotApp_1199,DATA DE CADUCITAT INTRODUÏDA
ScotApp_670,Entreu al Mode de formació
ScotApp_472,Es requereix ajuda
ScotApp_1564,Introduïu el recompte de càrrega per %s
ScotApp_1574,El valor introduït per %s no és vàlid.\nIntroduïu-lo novament.
ScotApp_1544,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1554,Receptor
ScotApp_1524,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1534,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1504,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1514,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1865,Consulteu article\nsense pes
ScotApp_1875,%s %s esperat
OK,OK
ScotApp_1855,Opcional
ScotApp_1825,Deseu preferències
ScotApp_1584,Cubetes              Recompte  Canvi en el recompte
ScotApp_1594,Apagueu i reinicieu de forma adequada el terminal.
ScotApp_1815,"* Desbloquegeu i extraieu la safata de la tremuja.\n* Reinseriu les tremuges que faltin i assegureu-vos que totes les tremuges estiguin ben col·locades.\n* Assegureu-vos que la tremuja de la denominació de moneda inferior estigui inserida i ben col·locada.\n* Assegureu-vos que les tremuges de les monedes adequades estiguin inserides.Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic."
OperatorRegistrationUtility,"Utilitat de registre d'agents"
ScotApp_504,504unused
SignatureText,Signatura:
ScotApp_1885,Article no escanejat
ScotApp_1895,Genr Excp
ScotApp_94,94unused
ScotApp_988,"Article inesperat a la cinta. Retireu l'article."
ScotApp_989,989unused
ScotApp_1175,"S'HA SUPERAT EL LÍMIT DE NO EMBOSSAMENT"
ScotApp_987,"Article retirat de la cinta. Retorneu l'article."
ScotApp_946,Autorització bossa/caixa
ScotApp_985,"Col·loqueu l'article a la cinta."
ScotApp_982,Error de dispositiu
ScotApp_983,Carregant Cinta de transport...
ScotApp_396,"S'ha requerit l'assistència del personal de la botiga per:"
ScotApp_981,981unused
NoneText,Cap
MinMaxRAPBtnSecondaryShowConfirmation,"Per maximitzar PAR, toqueu el botó de «Maximitzar PAR»."
ScotApp_484,Es requereix signatura
ScotApp_642,Article afegit. Escanegeu el següent article.
ScotApp_939,Ha caducat el temps
ScotApp_265,265unused
XM_SelectFunc1,Seleccionar la funció del sistema
TakeChangeTimerExpiredBottomCaption,Ha expirat el temps
ScotApp_859,No
ScotApp_1553,Estat alt de monedes:
ScotApp_62,Sí
ScotApp_822,Autoritzar article anul·lat
XM_ConfirmManualCoinEmpty,* Poseu a zero els recomptes de monedes\nImport per retirar:%s\nRecompte per retirar: %d
Enter,Entrar
SkipBagging,Ometre embossament
ScotApp_773,Import desat:
HH_IncorrectItemWeightLeadthru,"Retireu l'article i toqueu «Eliminar protecció» o «Autoritzar & actualitzar pes»."
ScotApp_1561,Denominació
ScotApp_1571,Confirmar ignorar canvis
ScotApp_1541,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1551,nivell alt de monedes  (%s)
HH_AssistAtLaneLeadthru,Aneu al carril per anul·lar articles.
ScotApp_1531,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1501,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1511,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_948,\n* Assistència remota
HH_ReturnToShoppingButtonText,Tornar
ScotApp_1581,Dispensador de monedes
ScotApp_1591,Comproveu les connexions de cable al dispensador de monedes
ScotApp_306,Sense envàs
ScotApp_84,Carregar opcions
XM_CashReplenishment,Afegiu efectiu
XM_ManualBothFillAlert,Obriu la porta del carril i dipositeu els bitllets als caixetins i les monedes a les tremuges. No els introduïu als receptors.
XM_Clear,Esborrar
ScotApp_406,406unused
ScotApp_588,Carregant Fàbrica de dispositius...
Proceed,Continuar
ScotApp_1350,%s\n%s %s afegit
TMTransLaneButtonText,Training Trx
IncorrectItemWeightTitle,Pes incorrecte a la balança de seguretat.
ScotApp_505,Número incorrecte
ProfileManagerRAPConfirm,Esteu segur que voleu aturar PAR i iniciar el Gestor de perfils?
ScotApp_887,Article retirat
ScotApp_1766,"Error de l'escàner/balança"
ScotApp_1776,"Autorització de l'establiment"
ScotApp_1756,"Seleccioneu dels resultats de la cerca o ""Tornar enrere""."
ScotApp_1726,Finalitzar la consulta
ScotApp_1736,"Col·loqueu les bosses a la zona d'embossar i toqueu «Fet» quan hàgiu finalitzat."
ScotApp_1706,"El dispositiu no està preparat.Tanqueu qualsevol altra aplicació que pugui estar accedint al dispositiu i toqueu «He solucionat el problema».Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic de Gunnebo."
CalibrateConfirm,Esteu segur que voleu calibrar la pantalla tàctil?
XM_LeadThruCashBoxTransfer,"Seleccioneu la funció de transferència desitjada. Un cop hàgiu acabat, toqueu «Aplicar els canvis»."
VoidItemButtonText,Anul·lar article
XM_PurgeNoteRecycler,Purgar el reciclador de bitllets
SuspendDeclinedLaneButtonText,Suspendre rebutjat
ScotApp_1786,Càrrec bossa de plàstic
ScotApp_961,"Error a la Base de dades d'aprenentatge de pesos: Comproveu si hi ha errors al visor d'esdeveniments i, després, toqueu «He solucionat el problema»."
HopperLaneButtonText,Substitució de moneda
ScotApp_641,Mitja Pes   Autoritzat   Nombre     Tol.Tipus     Tol.Valor     Data
DisconnectedTitle,Desconnectat
ScotApp_46,Ajuda
ScotApp_36,Reintegrat:
ScotApp_26,26unused
ScotApp_16,%s es carregarà a la vostra targeta.
TerminalInfoConfirm,Esteu segur que voleu veure la informació del terminal?
ScotApp_264,264unused
TrainingMode,Mode de formació
ScotApp_589,Fàbrica de dispositius carregat.
ScotApp_1880,Article inesperat a la balança de bosses.
ScotApp_86,86unused
ReturnToShoppingButtonText,Tornar al Mode de compres
ScotApp_393,Impressora del registre de transaccions
Change,Canvi:
ScotApp_914,"Aneu al carril, retireu els articles addicionals i toqueu «Eliminar protecció»."
ScotApp_1566,Reposició completa
ScotApp_1576,"Estat del dispensador d'efectiu:"
ScotApp_1546,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1556,Recollida receptor
ScotApp_1526,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1536,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1506,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1516,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_348,348unused
KeyInCodeLeadthru,"Introduïu el codi de l'article i toqueu «OK»."
ScotApp_885,"Alerta d'embossament"
ScotApp_52,Cancel·lar cupons
XM_DispenseNoteFullPreemptive,"Agafeu els bitllets \nEls bitllets es dispensen en feixos de 15.\nLa dispensació es posarà en pausa fins que no s'hagin agafat tots els bitllets."
ScotApp_1586,%s    %s  %s
XM_No,No
ScotApp_934,Augment de pes
EASText,"L'article EAS continua actiu."
ScotApp_1857,No ho poseu a la cinta
ScotApp_967,967unused
OwnBag,Bossa pròpia
XM_LoanFailure,Fallada en la càrrega
ScotApp_1773,"Toqueu «Autoritzar cupó» per acceptar el cupó o accediu al Mode d'assistència per anul·lar-lo."
ScotApp_1743,"Introduïu el vostre ID d'usuari i toqueu «Entrar» o situeu el dit sobre el lector d'empremtes dactilars per entrar."
ScotApp_1753,"No s'ha trobat l'article"
ScotApp_1723,Transacció de formació
ScotApp_1733,Seleccioneu «Enrere» per continuar.
ScotApp_1703,(+)
ScotApp_1713,Toqueu Aprovar per declinar la suspensió
HH_NewWeightItemLeadthru,Verifiqueu el pes i toqueu «Autoritzar & Actualitzar pes» o «Aprovar/No actualitzar».
ScotApp_554,No passeu targetes de dèbit en aquest moment.
ScotApp_1320,Iniciar el pagament amb val.
ScotApp_1783,TAPA DE SEGURETAT OBERTA
XM_KeyPadEnterCoinAmount,"Introduïu l'import de monedes %s emprant el teclat."
XM_AreYouSure,"Esteu segur que voleu realitzar les accions que s'indiquen a continuació?"
MultiPackItemLeadthru,"Si l'article és un multipaquet, toqueu «Assist Mode» i anul·leu-lo, després escanegeu el codi de barres del multipaquet."
GiftCard,Saldo de targeta regal
ScotApp_55,Cancel·lar tot
ScotApp_45,45unused
ScotApp_35,Canvi pendent:
ScotApp_25,Data de naixement
ScotApp_15,"Codi de l'article:"
ScotApp_1168,La impressora no està encaixada a la posició avançada.
ScotApp_1178,"S'HA RETIRAT EL LÍMIT SUPERAT"
ScotApp_1148,Han fallat els components de seguretat de la balança
ScotApp_1158,Error al PinPad / EFT Device
ScotApp_1128,%s\n
ScotApp_1138,"No s'ha pogut dispensar %s."
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1118,"Problema a l'hora de dispensar %s bitllets.\n\n%s bitllets no s'han pogut recuperar del caixetí de bitllets.\n\nRetireu %s el caixetí de bitllets i comproveu l'estat dels bitllets."
SuspendReasonText5,Suspensió: Seguretat
SMText,Store Mode
XM_CashStatus,"Estat de l'efectiu"
VoidNoMatchTitle,"No es pot cancel·lar l'article"
ScotApp_1188,QUANTITAT INTRODUÏDA
ScotApp_1198,NÚMERO DE COMPTE INTRODUÏT
SmCouponItemsTitle,Autoritzeu els cupons utilitzats
XM_ConfirmCoinDispense,* Dispenseu monedes\nImport a dispensar: %s\nImport a dispensar: %d
HH_CouponTooHighLeadthru,"L'import del cupó és massa elevat. El sistema no el pot acceptar."
ScotApp_1563,Carregar
ScotApp_1573,Toqueu els botons de Càrrega per reomplir o toqueu els botons de Recollida del receptor i Recollida del dispensador per descarregar.
ScotApp_1543,"Consulteu el manual del dispositiu per solucionar l'error."
HH_UpdateNotAllowedLeadthru,No està permès el canvi de quantitat.
ScotApp_1523,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1533,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1503,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1513,"Consulteu el manual del dispositiu per solucionar l'error."
ContinueTransTitle,Voleu continuar?
ScotApp_1417,"Si l'article és un multipaquet, toqueu «Mode d'assistència» i anul·leu-lo, després escanegeu el codi de barres del multipaquet."
ScotApp_1583,nivell baix de monedes (%s)
ScotApp_1593,Retireu les monedes
XM_OperatorID,"ID de l'agent %s"
ScotApp_965,965unused
ItemsForgottenTitle,Es manté el pes\na la balança de bosses.
ScotApp_915,Massa peticions per ometre la cinta.  Màx. = %d.
ScotApp_900,"Col·loqueu l'article a la zona d'embossar."
XM_NoteOverflow,Sobrecàrrega de bitllets
EnterIDText,"Introduïu l'ID"
ScotApp_899,Autoritzeu anul·lar per
ScotApp_884,Cancel·lar suspensió
HH_UnexpectedIncreaseLeadthru,Comproveu els articles addicionals del carril i toqueu «Eliminar protecció».
ConfirmAllowSuspendButtonText,Confirmar permís \nsuspensió
SecurityDisableButtonOn,Activeu
XM_NoteRecycler,Reciclador de bitllets
ScotApp_78,Caixer (no efectiu)
ScotApp_68,68unused
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_38,38unused
ScotApp_28,Cancel·lar compra
ScotApp_18,Total
ConfirmSuspendFromLaneStatusLeadthruText,Confirmar o cancel·lar suspensió.
HH_HelpRequestLeadthru,"Toqueu «Cancel·lar sol·licitud» després d'ajudar el client."
ScotApp_70,70unused
ScotApp_98,98unused
ScotApp_88,88unused
XM_BillAcceptor,Receptor de bitllets
ScotApp_998,Quantitat
EnterPriceLeadthru,"Introduïu el preu de l'article i toqueu «Entrar»."
XM_ConfirmManualCoinFill,* Establiu els recomptes de monedes\nNou import: %ds\nNou recompte: %d
ScotApp_853,Quatre articles
VoidItem,"Escanegeu els articles no desitjats o bé toqueu ""Retireu"" al tiquet."
XM_UndoPickUp,Desfer la recollida
InsertCouponTimerExpiredTitle,Introduïu el cupó
UseOwnBag,Utilitzo la meva bossa
ScotApp_1560,Total receptor:  %s
ScotApp_1570,Ignorar canvis
ScotApp_1540,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1550,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1520,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1530,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1500,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1510,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1191,ES REQUEREIX MESURA
StopFastLaneConfirm,Esteu segur que voleu aturar SelfServ Checkout?
Refunded,Reintegrat:
ScotApp_151,"Recolliu l'efectiu"
ScotApp_1580,Dispensador de bitllets
ScotApp_1590,CUBETA %s LES MONEDES ESTAN ENCALLADES
ScotApp_780,780unused
TMTransLeadthru,"El carril està en Mode de formació,\nvoleu continuar amb la transacció?"
ScotApp_647,N
XM_CoinAllowedDispenseExceeded,"S'estan intentant dispensar %d monedes. El nombre màxim de monedes que es poden dispensar és %d."
ScotApp_266,Sec.Finalitzant agent...
ScotApp_1769,Introduïu el codi
ScotApp_1779,"No es pot anul·lar l'article fins que no s'anul·li el cupó. Anul·leu primer el cupó de l'article"
ScotApp_1749,Processant empremta dactilar
ScotApp_1759,La cubeta de cupons està plena
ScotApp_1729,Consultar els articles:
ScotApp_1719,WA:
SwitchToFastLaneBtnPrimaryTxt,Canviar a SelfServ Checkout
ScotApp_821,821unused
ScotApp_1789,CUPÓ
ScotApp_1799,Mode només targetes
BackSpaceButtonText,Retrocés
XM_CannotCompleteTransfer,Cannot complete transfer.The cash box\ndoes not have sufficient space.\nPlease empty the cash box before performing this operation.
ScotApp_893,Carregant DBM...
XM_EmptyCoinAcceptorLT,Retirar les monedes del receptor de monedes
XM_TransfertoCashBoxLeadThruText,"Per transferir %s bitllet(s) a la caixa de recaptació, toqueu «Aplicar els canvis». Per desfer tots els canvis pendents, toqueu «Cancel·lar els canvis»."
UpdateItemLeadthru,"Desplaceu-vos pel rebut fins a trobar l'article i toqueu «Entrar»."
ScotApp_631,Nom del titular:
EnterWeight,"Col·loqueu l'article a la balança:"
ScotApp_883,Confirmar suspensió
ScotApp_949,949unused
StartTransactionLeadthru,Seleccioneu la funció desitjada.
SignChargeTitle,Signeu el rebut
ScotApp_935,Disminució de pes
ScotApp_1620,Desbloquegeu la tapa dels bitllets
VoidLeadthru,"Recolliu l'article anul·lat i toqueu «Autoritzar anul·lat»."
ScotApp_191,"Corredor d'operacions carregat."
CouponExceededLimitFinalizationLeadthru,"La transacció s'ha finalitzat utilitzant un cupó que excedeix el límit de cupons de l'establiment."
ScotApp_1332,Espai
XM_ClearPrompt1,"Un cop completat, seleccioneu una altra funció o «Sortir»."
ScotApp_327,"Dispositiu fora de línia, comproveu les connexions i/o el registre d'esdeveniments:"
ScotApp_54,Cancel·lar
ScotApp_60,Sol·licitar ajuda
ScotApp_974,974unused
StopStartRAPButtonPrimaryTxt,Aturar PAR
ScotApp_999,"S'ha superat el límit"
EnterQuantityTitle,Quantitat requerida
ItemNumberAmount,NOI :
ScotApp_1565,Introduïu valor de càrrega per %s
ScotApp_1575,Estat del dispensador monedes:
ScotApp_1545,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1555,Dispensador
ScotApp_1525,"Consulteu el manual del dispositiu per solucionar l'error."
ScanNextItem,"Escanegeu l'article següent."
ScotApp_1505,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1515,"Consulteu el manual del dispositiu per solucionar l'error."
XM_GloryDispenseNoteFullPreemptive,"Agafeu els bitllets \nEls bitllets es dispensen en feixos de 10. La dispensació es posarà en pausa fins que no s'hagin agafat tots els bitllets."
ScotApp_942,942unused
ScotApp_1259,USERDEFINED1
ScotApp_1585,Cubetes              Valor  Canvi en el valor
ScotApp_1595,Idioma preferit
PrintReportButtonText,Imprimir informe
ReEnterIDFpLeadthru,"Nom d'usuari no vàlid. Torneu a iniciar sessió utilitzant el teclat o la vostra empremta dactilar."
ExpandReceiptButtonText,Ampliar rebut
ScotApp_781,781unused
ScotApp_1772,Cupó
ScotApp_1742,BOSSA NO VÀLIDA
HH_TMTransLeadthru,"El carril està en Mode de formació,\nvoleu continuar amb la transacció?"
ScotApp_1722,"El carril està en Mode de formació, voleu continuar amb la transacció?"
ScotApp_1732,Imatges de llista de selecció carregades.
ScotApp_1702,*** REBUT DUPLICAT ***
ScotApp_1712,Suspensió declinada
CancelAll,Cancel·lar tot
ApproveNoUpdateButtonText,Autoritzar/No actualitzar.
ScotApp_1782,INICIEU TRANSACCIÓ EN AM
ScotApp_1792,Només targetes
XM_GrandTotal,Suma total:
XM_LoanPickUpCashierOverrides,ID del personal de caixa %s substitució de càrrega/recollida: %s / %d  lliurat.\n\n
ScotApp_913,Article inesperat a la balança de seguretat
ScotApp_871,Confirmar suspensió
XM_Collect,Recolliu
LaneText,Carril
ScotApp_777,777unused
ScaleBroken,"Retireu l'article de la balança i \npremeu el botó «Balança a zero» de l'escàner."
ScotApp_369,"Error d'ordres d'impressora"
ScotApp_466,Article desconegut escanejat
DoNotApproveButtonText,No autoritzeu
ScotApp_752,Resum ahir
ScotApp_882,Confirmar suspensió.
XM_TotalCount,Recompte total:
ScotApp_462,Autorització remota carregada.
RemovedItemTitle,"Alerta d'embossament"
ScotApp_1869,Es visualitza la mà
CouponText,Cupons:
ClearApprovalsButtonText,Esborrar les autoritzacions
ScotApp_1562,Recompte
ScotApp_1572,Esteu segur que voleu ignorar els canvis en la pantalla Gestor de monedes?
EnterDataLaneButtonText,Entrar dades
ScotApp_1552,la cubeta està plena
ScotApp_1522,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1532,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1502,"Consulteu el manual del dispositiu per solucionar l'error."
ScotApp_1512,"Consulteu el manual del dispositiu per solucionar l'error."
HH_SuspendTransactionLeadthru,Toqueu «Suspendre trans.» per suspendre la transacció
ScotApp_1582,Estat dels mitjans
ScotApp_1592,Retireu les monedes de la cubeta encallada.Cubeta inclinada.Gireu el cargol cap a la dreta fins que pugueu retirar la moneda.No feu massa força.
ScotApp_996,Entrada de preu
ScotApp_917,"Massa peticions per retirar articles de la zona d'embossar.  Màx. = %d."
ScotApp_542,"No es pot crear el codi de barres de l'agent."
ScotApp_475,Suspensió de transacció
FullAssistButtonText,Assistència completa
SmEnterBirthdateLeadthru,Introduïu la data de naixement del client
BagItemCart,Article de bossa
